OMIM Search - '+cs_neurologic_exists:true (Search in: Prefixes: #, Chromosomes: 13, 14, 15, 16, 17, 18, 19, 20)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.
#600274	FRONTOTEMPORAL DEMENTIA; FTD	PICK COMPLEX, INCLUDED	14q24.2, 17q21.31		
#600348	BAND HETEROTOPIA; BH		14q32.2		
#600363	SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT; SPG6		15q11.2		
#600373	CODAS SYNDROME		19p13.3		
#600513	EPILEPSY, NOCTURNAL FRONTAL LOBE, 1; ENFL1		20q13.33		
#600638	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT; CFEOM3A		16q24.3		
#600740	HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III; HHC3		19q13.32		
#600775	CRANIOSYNOSTOSIS 4; CRS4		19q13.2		
#600802	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-NEGATIVE		19p13.11		
#600987	CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR		15q14		
#601088	AYME-GRIPP SYNDROME; AYGRP		16q23.2		
#601098	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1C; CMT1C		16p13.13		
#601104	SUPRANUCLEAR PALSY, PROGRESSIVE, 1; PSNP1		17q21.31		
#601186	MICROPHTHALMIA, SYNDROMIC 9; MCOPS9	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 8, INCLUDED; MCOPCB8, INCLUDED	15q24.1		
#601238	CEREBELLAR ATAXIA, CAYMAN TYPE; ATCAY		19p13.3		
#601321	NEUROFIBROMATOSIS-NOONAN SYNDROME; NFNS		17q11.2		
#601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURAL HEARING LOSS; CAPOS		19q13.2		
#601367	STROKE, ISCHEMIC		1q24.2, 7q36.1, 11p11.2, 13q12.3, 14q23.1		
#601675	TRICHOTHIODYSTROPHY 1, PHOTOSENSITIVE; TTD1		19q13.32		
#601678	BARTTER SYNDROME, TYPE 1, ANTENATAL; BARTS1		15q21.1		
#601776	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 1; EDSMC1		15q15.1		
#601780	CEROID LIPOFUSCINOSIS, NEURONAL, 6; CLN6		15q23		
#601808	CHROMOSOME 18q DELETION SYNDROME		18q	18:18500000-80373285	
#602066	CONVULSIONS, FAMILIAL INFANTILE, WITH PAROXYSMAL CHOREOATHETOSIS; ICCA		16p11.2		
#602099	AMYOTROPHIC LATERAL SCLEROSIS 5, JUVENILE; ALS5		15q21.1		
#602471	SHORT STATURE, AUDITORY CANAL ATRESIA, MANDIBULAR HYPOPLASIA, AND SKELETAL ABNORMALITIES; SAMS		14q32.13		
#602473	ENCEPHALOPATHY, ETHYLMALONIC; EE		19q13.31		
#602535	MARSHALL-SMITH SYNDROME; MRSHSS		19p13.13		
#602579	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ib; CDG1B		15q24.1-q24.2		
#603218	HUNTINGTON DISEASE-LIKE 1; HDL1		20p13		
#603387	MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 1; MPPH1		19p13.11		
#603457	BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS		18p11.32		
#603546	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 2; SEMDJL2		16p11.2		
#603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	VANISHING WHITE MATTER LEUKODYSTROPHY WITH OVARIAN FAILURE, INCLUDED	1p34.1, 2p23.3, 3q27.1, 12q24.31, 14q24.3		
#604121	CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT; ADCADN		19p13.2		
#604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN		18q23		
#604233	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1; GEFSP1		19q13.11		
#604273	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1; MC5DN1		17p11.2		
#604308	MASS SYNDROME		15q21.1		
#604317	MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT CORTICAL MALFORMATIONS; MCPH2		19q13.12		
#604321	MICROCEPHALY 4, PRIMARY, AUTOSOMAL RECESSIVE; MCPH4		15q15.1		
#604360	SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSIVE; SPG11		15q21.1		
#604432	SPINOCEREBELLAR ATAXIA 11; SCA11		15q15.2		
#604805	SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINANT; SPG12		19q13.32		
#605013	MICROHYDRANENCEPHALY; MHAC		16p13.11		
#605021	MYOCLONIC EPILEPSY, FAMILIAL INFANTILE; FIME		16p13.3		
#605039	BOHRING-OPITZ SYNDROME; BOPS		20q11.21		
#225753	PONTOCEREBELLAR HYPOPLASIA, TYPE 4; PCH4		17q25.1		
#225790	PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY-HYDROCEPHALY SYNDROME; PVHH		14q24.3		
#226750	KOHLSCHUTTER-TONZ SYNDROME; KTZS		16p13.3		
#227500	FACTOR VII DEFICIENCY		13q34		
#227600	FACTOR X DEFICIENCY		13q34		
#227650	FANCONI ANEMIA, COMPLEMENTATION GROUP A; FANCA	FANCONI ANEMIA, ESTREN-DAMESHEK VARIANT, INCLUDED	16q24.3		
#229050	FOLATE MALABSORPTION, HEREDITARY		17q11.2		
#230200	GALACTOSEMIA II; GALAC2		17q25.1		
#231670	GLUTARIC ACIDEMIA I; GA1		19p13.13		
#231680	MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD	GLUTARIC ACIDEMIA IIA, INCLUDED; GA2A, INCLUDED	4q32.1, 15q24.2-q24.3, 19q13.41		
#232300	GLYCOGEN STORAGE DISEASE II; GSD2		17q25.3		
#233910	HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B; HPABH4B	DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE, INCLUDED	14q22.2		
#234200	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1		20p13		
#235510	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 1; HKLLS1		18q21.32		
#236600	HYDROCEPHALUS, CONGENITAL, 1; HYC1		14q32.11-q32.12		
#236792	L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA		14q21.3		
#237310	N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY; NAGSD		17q21.31		
#238970	HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME; HHHS		13q14.11		
#239100	VAN BUCHEM DISEASE; VBCH		17q21.31		
#240500	IMMUNODEFICIENCY, COMMON VARIABLE, 2; CVID2		17p11.2		
#240900	HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY; HIHGHH		19q13.2		
#242840	VICI SYNDROME; VICIS		18q12.3-q21.1		
#242860	IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1; ICF1		20q11.21		
#243500	ISOVALERIC ACIDEMIA; IVA		15q15.1		
#243800	JOHANSON-BLIZZARD SYNDROME; JBS		15q15.2		
#244200	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA; HH3		20p12.3		
#245200	KRABBE DISEASE		14q31.3		
#245300	KURU, SUSCEPTIBILITY TO		20p13		
#245570	EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT MENTAL RETARDATION; FESD	LANDAU-KLEFFNER SYNDROME, INCLUDED; LKS, INCLUDED	16p13.2		
#245800	LAURENCE-MOON SYNDROME; LNMS		19p13.2		
#247200	MILLER-DIEKER LISSENCEPHALY SYNDROME; MDLS	CHROMOSOME 17p13.3 DELETION SYNDROME, INCLUDED	17p13.3		
#248360	MALONYL-CoA DECARBOXYLASE DEFICIENCY		16q23.3		
#248500	MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA		19p13.13		
#248600	MAPLE SYRUP URINE DISEASE; MSUD	MAPLE SYRUP URINE DISEASE, CLASSIC, INCLUDED	1p21.2, 6q14.1, 19q13.2		
#248700	MARDEN-WALKER SYNDROME; MWKS		18p11.22-p11.21		
#248900	MAST SYNDROME		15q22.31		
#249000	MECKEL SYNDROME, TYPE 1; MKS1		17q22		
#249100	FAMILIAL MEDITERRANEAN FEVER; FMF		16p13.3		
#250220	SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE; SMDS		19p13.3		
#251255	JAWAD SYNDROME; JWDS		18q11.2		
#251300	GALLOWAY-MOWAT SYNDROME 1; GAMOS1		15q25.2		
#251450	DESBUQUOIS DYSPLASIA 1; DBQD1	DESBUQUOIS DYSPLASIA, KIM VARIANT, INCLUDED	17q25.3		
#251900	MITOCHONDRIAL MYOPATHY, EPISODIC, WITH OR WITHOUT OPTIC ATROPHY AND REVERSIBLE LEUKOENCEPHALOPATHY; MEOAL		19p13.2		
#252011	MITOCHONDRIAL COMPLEX II DEFICIENCY		5p15.33, 11q23.1, 19q13.12		
#252605	MUCOLIPIDOSIS III GAMMA		16p13.3		
#252650	MUCOLIPIDOSIS IV; ML4		19p13.2		
#252900	MUCOPOLYSACCHARIDOSIS, TYPE IIIA; MPS3A		17q25.3		
#252920	MUCOPOLYSACCHARIDOSIS, TYPE IIIB; MPS3B		17q21.2		
#253000	MUCOPOLYSACCHARIDOSIS, TYPE IVA; MPS4A		16q24.3		
#253250	MULIBREY NANISM		17q22		
#255320	MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA		19q13.2		
#256540	GALACTOSIALIDOSIS; GSL		20q13.12		
#256731	CEROID LIPOFUSCINOSIS, NEURONAL, 5; CLN5	NEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, FINNISH VARIANT, INCLUDED	13q22.3		
#256850	GIANT AXONAL NEUROPATHY 1, AUTOSOMAL RECESSIVE; GAN1		16q23.2		
#257220	NIEMANN-PICK DISEASE, TYPE C1; NPC1	NIEMANN-PICK DISEASE, TYPE D, INCLUDED	18q11.2		
#257300	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1		15q15.1		
#258450	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 1; PEOB1		15q26.1		
#258501	3-METHYLGLUTACONIC ACIDURIA, TYPE III; MGCA3		19q13.32		
#259420	OSTEOGENESIS IMPERFECTA, TYPE III; OI3		7q21.3, 17q21.33		
#259710	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 2; OPTB2		13q14.11		
#260500	PAPILLOMA OF CHOROID PLEXUS; CPP	CHOROID PLEXUS CARCINOMA, INCLUDED; CPC, INCLUDED	17p13.1		
#260540	PARKINSON-DEMENTIA SYNDROME	SUPRANUCLEAR PALSY, PROGRESSIVE, 1, ATYPICAL, INCLUDED	17q21.31		
#260565	PEHO SYNDROME; PEHO		17q12		
#261540	PETERS-PLUS SYNDROME; PTRPLS		13q12.3		
#261680	PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY, CYTOSOLIC; PCKDC		20q13.31		
#262190	PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES		19p13.2		
#263800	GITELMAN SYNDROME; GTLMNS		16q13		
#264470	PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY		17q25.1		
#264800	PSEUDOXANTHOMA ELASTICUM; PXE	PSEUDOXANTHOMA ELASTICUM, MODIFIER OF SEVERITY OF, INCLUDED	16p13.11, 16p12.3, 17q21.33		
#266130	GLUTATHIONE SYNTHETASE DEFICIENCY; GSSD		20q11.22		
#266510	PEROXISOME BIOGENESIS DISORDER 3B; PBD3B		17q12		
