OMIM Search - '+cs_neurologic:("language impairment" OR "language delay" OR "Language development deficit" OR "Poor language" OR "No language" OR "Poor language development " OR "Absence of language development " OR "Delayed language development " OR "No language development " OR "Language difficulties" OR "Deficits in language expression" OR "Language delayed" OR "Delayed speech development" OR "Delayed linguistic development" OR "Delayed verbal development" OR "Speech limited" OR "Lack of verbal communication" OR "Impaired expressive speech" OR "Verbal delay" OR "Poor speech" OR "Speech delay" OR "Absent language" OR "Speech and language disorders" OR "No speech or language development" OR "Language disabilities" OR "Speech impairment" OR "Delayed speech and language" OR "Speech and language regression" OR "Impaired language development" OR "Lack of language development" OR "Limited memory, attention, language" OR "Language limited to short repetitive phrases" OR "Delayed language acquisition" OR "Limited expressive language" OR "Language development limited to a few words" OR "Delayed language" OR "Limited language acquisition" OR "No acquisition of language milestones" OR "Delayed speech" OR "Speech deficits" OR "Lack of expressive speech" OR "poor expressive speech" OR "Poor or absent speech" OR "absent speech" OR "Impaired speech" OR "Loss of speech" OR "Lack of speech" OR "Speech disability" OR "Loss of language" OR "Disorganized speech" OR "Speech disturbance" OR "Verbal outbursts" OR "language deterioration" OR "sparing of language" OR "Social, language, and cognitive development impaired" OR "Limited memory, attention, language" OR "Specific severe delayed spoken language development" OR "Language acquisition difficulties" OR "Speech defects" OR "Speech deterioration" OR "Slow speech" OR "Speech disorder" OR "Speech abnormality" OR "No speech acquisition" OR "Speech problems" OR "No or limited speech" OR "Expressive speech absent" OR "Speech, learning and behavior modifier" OR "No speech development" OR "Unintelligible speech" OR "Delayed motor and speech development" OR "No speech" OR "Speech sound disorder" OR "Speech never acquired" OR "Absent or limited speech development" OR "Speech absent or delayed" OR "Speech difficulties" OR "Speech development delayed" OR "No expressive speech" OR "Decreased speech" OR "Absence of speech" OR "Speech severely limited or absent" OR "Speech articulation disorder" OR "Speech apraxia" OR "Speech articulation defects" OR "Limited speech" OR "No communication") (Search in: Prefixes: #)'
Downloaded:	Nov 17, 2020
#618770	SPASTIC PARAPLEGIA 82, AUTOSOMAL RECESSIVE; SPG82		17q25.3		
#615474	PRIMARY ALDOSTERONISM, SEIZURES, AND NEUROLOGIC ABNORMALITIES; PASNA		3p21.1		
#601536	ATHABASKAN BRAINSTEM DYSGENESIS SYNDROME; ABDS	BOSLEY-SALIH-ALORAINY SYNDROME, INCLUDED; BSAS, INCLUDED	7p15.2		
#300261	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA		Xq28	X:148000000-156040895	
#300434	STOCCO DOS SANTOS X-LINKED MENTAL RETARDATION SYNDROME; SDSX		Xp11.22		
#300884	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 36; DEE36	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Is, INCLUDED; CDG1S, INCLUDED	Xq23		
#300912	MENTAL RETARDATION, X-LINKED 98; MRX98		Xq13.3		
#300983	MENTAL RETARDATION, X-LINKED 104; MRX104		Xp22.2		
#300984	MENTAL RETARDATION, X-LINKED 105; MRX105		Xp11.23		
#300986	MENTAL RETARDATION, X-LINKED, SYNDROMIC, BAIN TYPE; MRXSB		Xq22.1		
#301032	BASILICATA-AKHTAR SYNDROME; MRXSBA		Xp22.2		
#309585	WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME; WTS		Xq12		
#612337	MENTAL RETARDATION, AUTOSOMAL DOMINANT 22; MRD22	CHROMOSOME 1q43-q44 DELETION SYNDROME, INCLUDED	1q44		
#611087	POLYHYDRAMNIOS, MEGALENCEPHALY, AND SYMPTOMATIC EPILEPSY; PMSE		17q23.3		
#613792	CHROMOSOME 3pter-p25 DELETION SYNDROME		3pter-p25		
#614207	HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 3; HPMRS3		11p15.4		
#614254	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT; NDHMSD		9q34.3		
#614255	NESCAV SYNDROME; NESCAVS		2q37.3		
#614483	BRAIN SMALL VESSEL DISEASE 2; BSVD2		13q34		
#614739	3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME; MEGDEL		6q25.3		
#614922	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11; COXPD11		6q25.1		
#614969	PONTOCEREBELLAR HYPOPLASIA, TYPE 7; PCH7		1p34.1		
#615485	BAINBRIDGE-ROPERS SYNDROME; BRPS		18q12.1		
#615938	MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 3; MPPH3		12p13.32		
#616025	GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 11; GPIBD11		17q12		
#616056	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 26; DEE26		20q13.13		
#616158	MENTAL RETARDATION, AUTOSOMAL DOMINANT 31; MRD31		5q31.3		
#616268	ARBOLEDA-THAM SYNDROME; ARTHS		8p11.21		
#616269	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 48; MRT48		1p13.3		
#616354	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 20; SCAR20		6q14.3		
#616355	MENTAL RETARDATION, AUTOSOMAL DOMINANT 35; MRD35		6p21.1		
#616362	MENTAL RETARDATION, AUTOSOMAL DOMINANT 36; MRD36		19q13.41		
#616366	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 32; DEE32		1p13.3		
#616393	MENTAL RETARDATION, AUTOSOMAL DOMINANT 38; MRD38		20q13.33		
#616418	HYPOMAGNESEMIA, SEIZURES, AND MENTAL RETARDATION 1; HOMGSMR1		10q24.32		
#616459	AL-RAQAD SYNDROME; ARS		11q24.2		
#616486	NEURODEVELOPMENTAL DISORDER WITH PROGRESSIVE MICROCEPHALY, SPASTICITY, AND BRAIN IMAGING ABNORMALITIES; NEDMISBA		1p34.2		
#616579	MENTAL RETARDATION, AUTOSOMAL DOMINANT 40; MRD40		13q34		
#616586	SPASTIC PARAPLEGIA 9B, AUTOSOMAL RECESSIVE; SPG9B		10q24.1		
#616657	SPASTIC TETRAPLEGIA, THIN CORPUS CALLOSUM, AND PROGRESSIVE MICROCEPHALY; SPATCCM		2p14		
#616682	SEIZURES, SCOLIOSIS, AND MACROCEPHALY/MICROCEPHALY SYNDROME; SSMS		11p11.2		
#616683	LEUKODYSTROPHY, HYPOMYELINATING, 12; HLD12		11q23.3		
#616737	TAKENOUCHI-KOSAKI SYNDROME; TKS		1p36.12		
#616819	CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA; CCAFCA		10p13		
#616881	LEUKODYSTROPHY, HYPOMYELINATING, 13; HLD13		11q14.2		
#616917	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 53; MRT53		4p16.3		
#616977	MENTAL RETARDATION, AUTOSOMAL DOMINANT 43; MRD43		6q24.2		
#617011	MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR		15q22.31		
#617013	HYPERMANGANESEMIA WITH DYSTONIA 2; HMNDYT2		8p21.3		
#617026	PONTOCEREBELLAR HYPOPLASIA, TYPE 2F; PCH2F		1q25.3		
#617162	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 46; DEE46		19q13.33		
#617171	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND IMPAIRED EXPRESSIVE LANGUAGE AND WITH OR WITHOUT SEIZURES; NEDHELS		11p15.5		
#617188	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 57; MRT57		19q13.42		
#617193	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND THIN CORPUS CALLOSUM; PEBAT		17q25.3		
#617201	PERIVENTRICULAR NODULAR HETEROTOPIA 7; PVNH7		18q21.31		
#617219	CHROMOSOME 19q13.11 DELETION SYNDROME, PROXIMAL		19q13.11	19:31900000-35100000	
#617255	LISSENCEPHALY 8; LIS8		12q21.32		
#617270	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 58; MRT58		18q12.2		
#617302	OPTIC ATROPHY 11; OPA11		10p12.1		
#617391	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54		1q44		
#617435	LOPES-MACIEL-RODAN SYNDROME; LOMARS		4p16.3		
#617493	NEURODEVELOPMENTAL DISORDER WITH INVOLUNTARY MOVEMENTS; NEDIM		16q13		
#617601	MENTAL RETARDATION, AUTOSOMAL DOMINANT 46; MRD46		6q13		
#617616	SKRABAN-DEARDORFF SYNDROME; SKDEAS		1q42.11-q42.12		
#617698	3-METHYLGLUTACONIC ACIDURIA, TYPE IX; MGCA9		19q13.2		
#617711	EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 1; IECEE1		4q24		
#617796	MENTAL RETARDATION, AUTOSOMAL DOMINANT 52; MRD52		1q22		
#617799	MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54		7p13		
#617822	ALKURAYA-KUCINSKAS SYNDROME; ALKKUCS		4q27		
#617829	EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 2; IECEE2		5q34		
#617830	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 58; DEE58		9q21.33		
#617862	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, EPILEPSY, AND BRAIN ATROPHY; NEDMEBA		14q21.1		
#617864	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT SEIZURES AND GAIT ABNORMALITIES; NEDSGA		11q22.3		
#617865	NEURODEVELOPMENTAL DISORDER WITH MOVEMENT ABNORMALITIES, ABNORMAL GAIT, AND AUTISTIC FEATURES; NEDMAGA		5q12.1		
#617873	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 35; COXPD35		1p34.2		
#617913	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, CATARACTS, AND RENAL ABNORMALITIES; NEDMCR		17p13.3		
#617930	CHROMOSOME 1p35 DELETION SYNDROME		1p35	1:27600000-34300000	
#617976	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 63; EIEE63		4p16.3		
#618004	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 64; EIEE64		8p21.3		
#618012	EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 3; IECEE3		3q13.31		
#618076	NEURODEVELOPMENTAL DISORDER WITH SPASTICITY AND POOR GROWTH; NEDSG		1q23.3		
#618090	NEURODEVELOPMENTAL DISORDER WITH EPILEPSY AND HYPOPLASIA OF THE CORPUS CALLOSUM; NEDEHCC		2q31.1		
#618103	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 64; MRT64		15q24.3		
#618143	GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 18; GPIBD18		17q11.2		
#618147	INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF	CHROMOSOME 14q32 DELETION SYNDROME, INCLUDED	14q32.2		
#618218	BAKER-GORDON SYNDROME; BAGOS		12q21.2		
#618273	MEGA-CORPUS-CALLOSUM SYNDROME WITH CEREBELLAR HYPOPLASIA AND CORTICAL MALFORMATIONS; MCCCHCM		19p13.13		
#618276	NEURODEGENERATION, CHILDHOOD-ONSET, WITH CEREBELLAR ATROPHY; CONDCA		9q21.33		
#618292	NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA; NEDIDHA		3p21.2		
#618298	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 70; EIEE70		6p24.1		
#618325	LISSENCEPHALY 9 WITH COMPLEX BRAINSTEM MALFORMATION; LIS9		1p34.3		
#618342	INTELLECTUAL DEVELOPMENTAL DISORDER WITH ABNORMAL BEHAVIOR, MICROCEPHALY, AND SHORT STATURE; IDDABS		7q22.3		
#618374	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 72; EIEE72		17q12		
#618383	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 69; MRT69		3q12.3		
#618443	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT VARIABLE BRAIN ABNORMALITIES; NEDBA		16p13.3		
#618480	NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT; NEDSSWI		19p13.13		
#618493	HYPOTONIA, HYPOVENTILATION, IMPAIRED INTELLECTUAL DEVELOPMENT, DYSAUTONOMIA, EPILEPSY, AND EYE ABNORMALITIES; HIDEA		3p21.31		
#618494	CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA		12p13.31		
#618557	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 78; EIEE78		4p12		
#618571	NEURODEVELOPMENTAL DISORDER WITH CATARACTS, POOR GROWTH, AND DYSMORPHIC FACIES; NDCAGF		7p22.3		
#618577	NEURODEVELOPMENTAL DISORDER WITH STRUCTURAL BRAIN ANOMALIES AND DYSMORPHIC FACIES; NEDBAF		17q25.3		
#618590	NEURODEVELOPMENTAL DISORDER WITH BRAIN ANOMALIES, SEIZURES, AND SCOLIOSIS; NEDBSS		20q11.22		
#618622	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ARTHROGRYPOSIS, AND STRUCTURAL BRAIN ANOMALIES; NEDMABA		2q21.1		
#618635	SIDDIQI SYNDROME; SIDDIS		20q13.12		
#618665	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72		2q31.1		
#618687	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE AND BEHAVIORAL ABNORMALITIES; IDDSSBA		3p25.2-p25.1		
#618718	NEURODEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES, ABSENT SPEECH, AND HYPOTONIA; NEDBASH		9q34.13		
#618724	HEYN-SPROUL-JACKSON SYNDROME; HESJAS		2p23.3		
#618732	POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME; POBINDS		6p21.33		
#618859	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND/OR STRUCTURAL BRAIN ABNORMALITIES; NEDASB		19q13.32		
#618877	LEUKOENCEPHALOPATHY, DEVELOPMENTAL DELAY, AND EPISODIC NEUROLOGIC REGRESSION SYNDROME; LEUDEN		2p22.2		
#618879	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND CEREBELLAR ATROPHY, WITH OR WITHOUT SEIZURES; NEDHCAS		1p31.1		
#618890	NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS		3p21.31		
#618916	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87		6q21		
#618917	NEURODEVELOPMENTAL DISORDER WITH LANGUAGE IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; NEDLIB		4q32.1		
#618947	ARTHROGRYPOSIS MULTIPLEX CONGENITA 5; AMC5		9q34.11		
#618951	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 45; COXPD45		17q25.3		
#619004	DEEAH SYNDROME; DEEAH		11p11.2		
#619005	NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, IMPAIRED SPEECH, AND HYPOTONIA; NEDDISH		11p11.2		
#619026	NEURODEVELOPMENTAL DISORDER WITH PROGRESSIVE SPASTICITY AND BRAIN WHITE MATTER ABNORMALITIES; NEDSWMA		1p34.1		
#618205	SNIJDERS BLOK-CAMPEAU SYNDROME; SNIBCPS		17p13.1		
#618567	MITOCHONDRIAL DNA DEPLETION SYNDROME 17; MTDPS17		7p22.3		
#610042	PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1		7q35-q36		
#617468	ARTHROGRYPOSIS MULTIPLEX CONGENITA 1, NEUROGENIC, WITH MYELIN DEFECT; AMC1		19q13.12		
#601358	NICOLAIDES-BARAITSER SYNDROME; NCBRS		9p24.3		
#251300	GALLOWAY-MOWAT SYNDROME 1; GAMOS1		15q25.2		
#300860	MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN		Xq24		
#300894	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5; NBIA5		Xp11.23		
#300928	MENTAL RETARDATION, X-LINKED 101; MRX101		Xq22.3		
#614833	MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES; MSSP		18q22.2		
#614961	PONTOCEREBELLAR HYPOPLASIA, TYPE 8; PCH8		16q24.3		
#615419	HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 1; IHPRF1		13q32.3-q33.1		
#617166	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 47; DEE47		3q28-q29		
#605021	MYOCLONIC EPILEPSY, FAMILIAL INFANTILE; FIME		16p13.3		
#609056	SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS		2p11.2		
#618008	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 65; EIEE65		5q33.3		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#300354	MENTAL RETARDATION, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC		Xq24		
#618672	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF		19q13.42		
#245600	MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS; JDSCD		11q12.3		
#252650	MUCOLIPIDOSIS IV; ML4		19p13.2		
#300260	LUBS X-LINKED MENTAL RETARDATION SYNDROME; MRXSL		Xq28		
#608443	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 3; MRT3		19p13.12		
#613776	CHROMOSOME 17p13.1 DELETION SYNDROME		17p13.1	17:6500000-10800000	
#618010	GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT 17; GPIBD17		14q24.1		
#618820	GENITOURINARY AND/OR BRAIN MALFORMATION SYNDROME; GUBS		12q21.2-q21.3		
#260600	LEUKODYSTROPHY, HYPOMYELINATING, 3; HLD3		4q24		
#613026	CHROMOSOME 19q13.11 DELETION SYNDROME, DISTAL		19q13.11	19:31900000-35100000	
#239300	HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 1; HPMRS1		1p36.11		
#618454	DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA		7q22.1		
#606812	FUMARASE DEFICIENCY; FMRD		1q43		
#607432	LISSENCEPHALY 1; LIS1	SUBCORTICAL LAMINAR HETEROTOPIA, INCLUDED; SCLH, INCLUDED	17p13.3		
#612164	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4		9q34.11		
#610442	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, GENEVIEVE TYPE; SEMDG		9q22.33		
#610156	MENTAL RETARDATION, TRUNCAL OBESITY, RETINAL DYSTROPHY, AND MICROPENIS SYNDROME; MORMS		9q34.3		
#617101	INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN		2p16.1		
#612713	KAHRIZI SYNDROME; KHRZ		4q12		
#618906	INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS		17q23.2-q23.3		
#618885	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIt; CDG2T		1q42.13		
#214150	CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1		10q11.23		
#226750	KOHLSCHUTTER-TONZ SYNDROME; KTZS		16p13.3		
#252940	MUCOPOLYSACCHARIDOSIS, TYPE IIID; MPS3D		12q14.3		
#300243	MENTAL RETARDATION, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH		Xq26.3		
#300672	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2		Xp22.13		
#300749	MENTAL RETARDATION AND MICROCEPHALY WITH PONTINE AND CEREBELLAR HYPOPLASIA; MICPCH		Xp11.4		
#300868	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2		Xp22.2		
#300886	MENTAL RETARDATION, X-LINKED, SYNDROMIC 32; MRXS32		Xq28		
#301835	ARTS SYNDROME; ARTS		Xq22.3		
#611523	PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6		6q15		
#612936	SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50		7q22.1		
#612949	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 39; DEE39		2q31.1		
#613135	PARKINSONISM-DYSTONIA, INFANTILE, 1; PKDYS1		5p15.33		
#613156	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 2; MDDGB2		14q24.3		
#613402	MICROCEPHALY, SEIZURES, AND DEVELOPMENTAL DELAY; MCSZ		19q13.33		
#613443	MENTAL RETARDATION, AUTOSOMAL DOMINANT 20; MRD20	CHROMOSOME 5q14.3 DELETION SYNDROME, PROXIMAL, INCLUDED	5q14.3		
#613454	RETT SYNDROME, CONGENITAL VARIANT		14q12		
#613457	CHROMOSOME 14q11-q22 DELETION SYNDROME		14q11-q22	14:17200000-57600000	
#613477	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 5; DEE5		9q34.11		
#613489	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj; CDG2J		16q22.1		
#609180	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE If; CDG1F		17p13.1		
#611225	SPASTIC PARAPLEGIA 18, AUTOSOMAL RECESSIVE; SPG18		8p11.23		
#613661	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ip; CDG1P		13q14.3		
#613744	SPASTIC PARAPLEGIA 51, AUTOSOMAL RECESSIVE; SPG51		15q21.2		
#614067	SPASTIC PARAPLEGIA 52, AUTOSOMAL RECESSIVE; SPG52		14q12		
#614482	CONGENITAL CATARACTS, HEARING LOSS, AND NEURODEGENERATION; CCHLND		3q25.31		
#614501	PSYCHOMOTOR RETARDATION, EPILEPSY, AND CRANIOFACIAL DYSMORPHISM; PMRED		1p34.3		
#614507	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ir; CDG1R		1p36.12		
