OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 1, 2)'
Downloaded:	Nov 17, 2020
#126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO; MS	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1, INCLUDED; MS1, INCLUDED	2q37.3, 6p21.32, 6p21.32		
#126600	DOYNE HONEYCOMB RETINAL DYSTROPHY; DHRD	MALATTIA LEVENTINESE, INCLUDED; MLVT, INCLUDED	2p16.1		
#126700	BASAL LAMINAR DRUSEN		1q31.3		
#127400	DYSCHROMATOSIS SYMMETRICA HEREDITARIA; DSH		1q21.3		
#127750	DEMENTIA, LEWY BODY; DLB	DIFFUSE LEWY BODY DISEASE WITH GAZE PALSY, INCLUDED	1q22, 4q22.1, 5q35.2		
#129490	ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMAL DOMINANT; ECTD10A		2q13		
#130010	EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 2; EDSCL2		2q32.2		
#130050	EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC		2q32.2		
#601626	LEUKEMIA, ACUTE MYELOID; AML	LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED	2p23.3, 3q21.3, 3q27-q28, 4q12, 4q12, 5p15.33, 5q35.1, 9p24.1, 9q34.13, 10p12.31, 11q14.2, 12p13.2, 12p12.1, 13q12.2, 16q22.1, 19p13.3, 19q13.11, 21q22.12		
#601634	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE; NTDFS	SPINA BIFIDA, FOLATE-SENSITIVE, INCLUDED	1p36.22, 1q43, 5p15.31, 14q23.3		
#220111	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 5; MC4DN5		2p21		
#220290	DEAFNESS, AUTOSOMAL RECESSIVE 1A; DFNB1A	DEAFNESS, DIGENIC, GJB2/GJB6, INCLUDED	1p34.3, 13q12.11, 13q12.11		
#222448	DONNAI-BARROW SYNDROME		2q31.1		
#222765	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 2; RCDP2		1q42.2		
#223000	LACTASE DEFICIENCY, CONGENITAL		2q21.3		
#223100	LACTOSE INTOLERANCE, ADULT TYPE	LACTASE PERSISTENCE, INCLUDED	2q21.3		
#224410	DYSSEGMENTAL DYSPLASIA, SILVERMAN-HANDMAKER TYPE; DDSH		1p36.12		
#224500	DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE; DYT2		1p35.1		
#224690	MEIER-GORLIN SYNDROME 1; MGORS1		1p32.3		
#224750	SCHOPF-SCHULZ-PASSARGE SYNDROME; SSPS		2q35		
#224900	ECTODERMAL DYSPLASIA 10B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMAL RECESSIVE; ECTD10B		2q13		
#225100	ECTOPIA LENTIS 2, ISOLATED, AUTOSOMAL RECESSIVE; ECTOL2		1q21.2		
#225200	ECTOPIA LENTIS ET PUPILLAE		1q21.2		
#605280	SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT; SPG13		2q33.1		
#607115	CINCA SYNDROME; CINCA		1q44		
#600101	DEAFNESS, AUTOSOMAL DOMINANT 2A; DFNA2A		1p34.2		
#600105	RETINITIS PIGMENTOSA 12; RP12		1q31.3		
#609033	POSTERIOR COLUMN ATAXIA WITH RETINITIS PIGMENTOSA; AXPC1		1q32.3		
#609056	SALT AND PEPPER DEVELOPMENTAL REGRESSION SYNDROME; SPDRS		2p11.2		
#609070	HEMOGLOBIN, HIGH ALTITUDE ADAPTATION; HALAH		1q42.2		
#609140	CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 2; PPCD2		1p34.3		
#609153	PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK2		2q35-q36	2:214500000-230100000	
#130600	ELLIPTOCYTOSIS 2; EL2		1q23.1		
#133020	ERYTHERMALGIA, PRIMARY	NEUROPATHY, SMALL FIBER, INCLUDED; SFNP, INCLUDED	2q24.3		
#133200	ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 1; EKVP1	GREITHER DISEASE, INCLUDED	1p34.3		
#135100	FIBRODYSPLASIA OSSIFICANS PROGRESSIVA; FOP		2q24.1		
#135300	FIBROMATOSIS, GINGIVAL, 1; GINGF1		2p22.1		
#135500	ZIMMERMANN-LABAND SYNDROME 1; ZLS1		1q32.2		
#136760	FRONTONASAL DYSPLASIA 1; FND1		1p13.3		
#136800	CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 1; FECD1		1p34.3		
#137215	GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC	BREAST CANCER, LOBULAR, INCLUDED; LBC, INCLUDED	2q14.1, 2q14.1, 12p12.1, 16q22.1		
#137550	MELANOCYTIC NEVUS SYNDROME, CONGENITAL; CMNS	NEVUS SPILUS, INCLUDED	1p13.2, 11p15.5		
#137750	GLAUCOMA 1, OPEN ANGLE, A; GLC1A	GLAUCOMA 1, OPEN ANGLE, L, INCLUDED; GLC1L, INCLUDED	1q24.3		
#137800	GLIOMA SUSCEPTIBILITY 1; GLM1	GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED	2q34, 17p13.1, 17q12		
#138000	GLOMUVENOUS MALFORMATIONS; GVM		1p22.1		
#140600	OSTEOARTHRITIS SUSCEPTIBILITY 2; OS2	HEBERDEN NODES, INCLUDED	2p24.1		
#141200	HEMATURIA, BENIGN FAMILIAL; BFH		2q36.3, 2q36.3		
#142690	ACNE INVERSA, FAMILIAL, 1; ACNINV1		1q23.2		
#143500	GILBERT SYNDROME		2q37.1		
#143870	HYPERCALCIURIA, ABSORPTIVE, 2; HCA2		1q24.2		
#143890	HYPERCHOLESTEROLEMIA, FAMILIAL, 1; FHCL1	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2, INCLUDED; LDLCQ2, INCLUDED	1q23.3, 5p13-p12, 7p14.3, 8p21.2-p21.1, 19p13.2		
#144010	HYPERCHOLESTEROLEMIA, FAMILIAL, 2; FCHL2		2p24.1		
#145000	HYPERPARATHYROIDISM 1; HRPT1	PARATHYROID ADENOMA, FAMILIAL, INCLUDED	1q31.2		
#145001	HYPERPARATHYROIDISM 2 WITH JAW TUMORS; HRPT2	PARATHYROID ADENOMATOSIS, FAMILIAL CYSTIC, INCLUDED	1q31.2		
#145500	HYPERTENSION, ESSENTIAL		1p36.12, 1q23.3, 1q24.2, 1q42.2, 2p25-p24, 3q24, 4p16.3, 5p13-q12, 7q22.1, 7q36.1, 12p13.31, 12p12.2-p12.1, 15q, 17q, 20q11-q13, 20q13.13		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#146300	HYPOPHOSPHATASIA, ADULT	ODONTOHYPOPHOSPHATASIA, INCLUDED	1p36.12		
#146700	ICHTHYOSIS VULGARIS		1q21.3		
#146750	ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT; ADLI		2p13.3		
#148200	KERATOENDOTHELIITIS FUGAX HEREDITARIA; KEFH		1q44		
#148820	WAARDENBURG SYNDROME, TYPE 3; WS3		2q36.1		
#149700	LACRIMAL DUCT DEFECT; LCDD		1p13.1		
#150400	TOOTH AGENESIS, SELECTIVE, 4; STHAG4		2q35		
#150800	HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER; HLRCC		1q43		
#151660	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2; FPLD2		1q22		
#152700	SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	EXCESS LYMPHOCYTE LOW MOLECULAR WEIGHT DNA, INCLUDED	1p13.2, 1q23.3, 1q23.3, 2q33.2, 3p21.31, 16p13.3		
#153800	MACULAR DEGENERATION, AGE-RELATED, 2; ARMD2		1p22.1		
#154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1		1q21.2		
#154780	MARSHALL SYNDROME; MRSHS		1p21.1		
#155255	MEDULLOBLASTOMA; MDB	MEDULLOBLASTOMA, DESMOPLASTIC, INCLUDED	1p34.1, 3p22.1, 10q24.32, 13q13.1		
#155310	VISCERAL MYOPATHY; VSCM		2p13.1		
#156200	MENTAL RETARDATION, AUTOSOMAL DOMINANT 1; MRD1	CHROMOSOME 2q23.1 DELETION SYNDROME, INCLUDED	2q23.1		
#156240	MESOTHELIOMA, MALIGNANT; MESOM		1p22.3, 11p13		
#157170	HOLOPROSENCEPHALY 2; HPE2		2p21		
#158320	MUIR-TORRE SYNDROME; MRTES		2p21-p16, 3p22.2		
#158330	MULLERIAN APLASIA AND HYPERANDROGENISM		1p36.12		
#158580	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA; HMN7A		2q12.3		
#158810	BETHLEM MYOPATHY 1; BTHLM1		2q37.3, 21q22.3, 21q22.3		
#161800	NEMALINE MYOPATHY 3; NEM3	MYOPATHY, ACTIN, CONGENITAL, WITH EXCESS OF THIN MYOFILAMENTS, INCLUDED	1q42.13		
#162900	NEVUS, EPIDERMAL	NEVUS SEBACEOUS, INCLUDED	1p13.2, 3q26.32, 4p16.3, 11p15.5		
#163200	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM		1p13.2, 11p15.5, 12p12.1		
#164280	FEINGOLD SYNDROME 1; FGLDS1		2p24.3		
#164750	OMPHALOCELE, AUTOSOMAL		1p31.3	1:60800000-68500000	
#165720	OSTEOARTHRITIS SUSCEPTIBILITY 1; OS1		2q32.1		
#167400	PAROXYSMAL EXTREME PAIN DISORDER		2q24.3		
#167800	PANCREATITIS, HEREDITARY; PCTT	PANCREATITIS, CHRONIC, SUSCEPTIBILITY TO, INCLUDED	1p36.21, 5q32, 7q31.2, 7q34, 7q34		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#168605	PERRY SYNDROME		2p13.1		
#169400	PELGER-HUET ANOMALY; PHA		1q42.12		
#170400	HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1; HOKPP1		1q32.1		
#171300	PHEOCHROMOCYTOMA		1p36.22, 1p36.13, 2q11.2, 3p25.3, 5p13.2, 10q11.21, 11q23.1, 14q23.3		
#172870	PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY; PPCRA		1q31.3		
#174000	MEDULLARY CYSTIC KIDNEY DISEASE 1; MCKD1		1q22		
#174300	OROFACIODIGITAL SYNDROME V; OFD5		1q32.1		
#175800	POROKERATOSIS 1, MULTIPLE TYPES; POROK1		1q21.3		
#176100	PORPHYRIA CUTANEA TARDA	PORPHYRIA, HEPATOERYTHROPOIETIC, INCLUDED; HEP, INCLUDED	1p34.1, 6p22.2		
#176200	VARIEGATE PORPHYRIA; VP	VARIEGATE PORPHYRIA, HOMOZYGOUS VARIANT, INCLUDED	1q23.3, 6p22.2		
#176410	PRECOCIOUS PUBERTY, MALE-LIMITED	LEYDIG CELL ADENOMA, SOMATIC, WITH MALE-LIMITED PRECOCIOUS PUBERTY, INCLUDED	2p16.3		
#176670	HUTCHINSON-GILFORD PROGERIA SYNDROME; HGPS	PROGERIA SYNDROME, CHILDHOOD-ONSET, INCLUDED	1q22		
#176860	THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT; THPH3	PROTEIN C DEFICIENCY, ACQUIRED, INCLUDED	2q14.3		
#178600	PULMONARY HYPERTENSION, PRIMARY, 1; PPH1	PULMONARY HYPERTENSION, PRIMARY, DEXFENFLURAMINE-ASSOCIATED, INCLUDED	2q33.1-q33.2		
#180800	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA		1q23.3, 17p12		
#181350	EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUTOSOMAL DOMINANT; EDMD2		1q22		
#181400	SCAPULOPERONEAL SYNDROME, NEUROGENIC, KAESER TYPE; SCPNK		2q35		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#182212	SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS		1p36.33-p36.32		
#182250	SINGLETON-MERTEN SYNDROME 1; SGMRT1		2q24.2		
#182601	SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT; SPG4		2p22.3		
#182940	NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO; NTD	SPINA BIFIDA, INCLUDED	1p13.1, 1q23.2, 6q27, 17q12, 19q13.33		
#184255	SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE; SMDCF		2q35		
#185900	CHROMOSOME 2q35 DUPLICATION SYNDROME	CRANIOSYNOSTOSIS, PHILADELPHIA TYPE, INCLUDED	2q34-q36	2:208200000-230100000	
#186000	SYNPOLYDACTYLY 1; SPD1		2q31.1		
#186300	SYNDACTYLY, TYPE V; SDTY5		2q31.1		
#188050	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	THROMBOSIS, PROTECTION AGAINST, INCLUDED	1p36.22, 6p25.1, 10q25.3, 11p11.2		
#188055	THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2	THROMBOPHILIA DUE TO FACTOR V LEIDEN, INCLUDED	1q24.2		
#188470	THYROID CANCER, NONMEDULLARY, 2; NMTC2		1p13.2, 10q23.2, 11p15.5, 12q14.2		
#188580	THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 1; TTPP1		1q32.1		
#191480	UNCOMBABLE HAIR SYNDROME 1; UHS1		1p36.13		
#191900	MUCKLE-WELLS SYNDROME; MWS		1q44		
#192950	VERTICAL TALUS, CONGENITAL; CVT		2q31.1		
#193230	VITREORETINAL DEGENERATION, SNOWFLAKE TYPE; SVD		2q37.1		
#193500	WAARDENBURG SYNDROME, TYPE 1; WS1		2q36.1		
#193670	WHIM SYNDROME; WHIMS		2q22.1		
#200110	ABLEPHARON-MACROSTOMIA SYNDROME; AMS		2q37.3		
#201400	ACTH DEFICIENCY, ISOLATED; IAD		1q24.2		
#201450	ACYL-CoA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF; ACADMD		1p31.1		
#201810	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 3-BETA-HYDROXYSTEROID DEHYDROGENASE 2 DEFICIENCY		1p12		
#202650	AGNATHIA-OTOCEPHALY COMPLEX; AGOTC		1q24.2		
#203780	ALPORT SYNDROME 2, AUTOSOMAL RECESSIVE; ATS2		2q36.3, 2q36.3		
#203800	ALSTROM SYNDROME; ALMS		2p13.1		
#204100	LEBER CONGENITAL AMAUROSIS 2; LCA2		1p31.3		
#204870	CORNEAL DYSTROPHY, GELATINOUS DROP-LIKE; GDLD		1p32.1		
#205100	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE; ALS2		2q33.1		
#208250	CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME; CACP		1q31.1		
#209885	BARBER-SAY SYNDROME; BBRSAY		2q37.3		
#209900	BARDET-BIEDL SYNDROME 1; BBS1		1p35.2, 3q11.2, 11q13.2		
#209920	BARE LYMPHOCYTE SYNDROME, TYPE II	BARE LYMPHOCYTE SYNDROME, TYPE II, COMPLEMENTATION GROUP A, INCLUDED	1q21.3, 13q13.3, 16p13.13, 19p13.11		
#210250	SITOSTEROLEMIA 1; STSL1	MACROTHROMBOCYTOPENIA/STOMATOCYTOSIS, MEDITERRANEAN, INCLUDED	2p21		
#210710	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE I; MOPD1		2q14.2		
#211900	TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 1; HFTC1		2q24.3		
#211980	LUNG CANCER	ALVEOLAR CELL CARCINOMA, INCLUDED	1q24.3, 2q33.1, 3q26.32, 5q31.1, 6q26, 7p11.2, 7q34, 10p11.23, 10q11.23, 11p15.4, 11q23.1, 12p12.1, 17q12, 19q13.2		
#212112	CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM		1q22		
#212720	MARTSOLF SYNDROME		1q41		
#213700	CEREBROTENDINOUS XANTHOMATOSIS; CTX		2q35		
#213980	CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR		1q24.1		
#214500	CHEDIAK-HIGASHI SYNDROME; CHS		1q42.3		
#215140	GREENBERG DYSPLASIA; GRBGD		1q42.12		
#216900	ACHROMATOPSIA 2; ACHM2		2q11.2		
#217080	JALILI SYNDROME		2q11.2		
#217085	CONGENITAL HEART DEFECTS, HAMARTOMAS OF TONGUE, AND POLYSYNDACTYLY; CHDTHP		2p15		
#218700	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 2; CHNG2		2q14.1		
#218800	CRIGLER-NAJJAR SYNDROME, TYPE I		2q37.1		
#219500	CYSTATHIONINURIA		1p31.1		
#219700	CYSTIC FIBROSIS; CF		1q23.3, 7q31.2, 19q13.2		
#220100	CYSTINURIA	CYSTINURIA, TYPE A, INCLUDED	2p21, 19q13.11		
#600118	WARBURG MICRO SYNDROME 1; WARBM1		2q21.3		
#600121	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 3; RCDP3		2q31.2		
#600145	SACRAL DEFECT WITH ANTERIOR MENINGOCELE	CAUDAL DYSGENESIS SYNDROME, INCLUDED	1p13.1		
#600204	EPIPHYSEAL DYSPLASIA, MULTIPLE, 2; EDM2		1p34.2		
#600334	TIBIAL MUSCULAR DYSTROPHY, TARDIVE; TMD		2q31.2		
#600430	CHROMOSOME 2q37 DELETION SYNDROME		2q37	2:230100000-242193529	
#600649	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, INFANTILE		1p32.3		
#600721	D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1		2q37.3		
#600791	DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT; DFNB4		1q23.2, 5q35.1, 7q22.3		
#600807	ASTHMA, SUSCEPTIBILITY TO	ASTHMA, PROTECTION AGAINST, INCLUDED	2q22.1, 4q13.3, 5q31.1, 5q32, 5q32, 6p22.1, 6p21.33, 6p12.3, 10q11.21, 17q12		
#600880	BUDD-CHIARI SYNDROME; BDCHS	MEMBRANOUS OBSTRUCTION OF INFERIOR VENA CAVA, INCLUDED; MOVC, INCLUDED	1q24.2, 9p24.1		
#600995	NEPHROTIC SYNDROME, TYPE 2; NPHS2		1q25.2		
#600996	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 2; ARVD2		1q43		
#601042	DYSTONIA 9; DYT9		1p34.2		
#601071	DEAFNESS, AUTOSOMAL RECESSIVE 9; DFNB9	AUDITORY NEUROPATHY, AUTOSOMAL RECESSIVE, 1, INCLUDED; AUNB1, INCLUDED	2p23.3		
#601152	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIA, WITH OPTIC ATROPHY; HMSN6A		1p36.22		
#601277	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 4A; ARCI4A		2q35		
#601367	STROKE, ISCHEMIC		1q24.2, 7q36.1, 11p11.2, 13q12.3, 14q23.1		
#601412	DEAFNESS, AUTOSOMAL DOMINANT 7; DFNA7		1q23.3		
#601414	RETINITIS PIGMENTOSA 18; RP18		1q21.2		
#601419	MYOPATHY, MYOFIBRILLAR, 1; MFM1		2q35		
#601462	MYASTHENIC SYNDROME, CONGENITAL, 1A, SLOW-CHANNEL; CMS1A		2q31.1		
#601494	CARDIOMYOPATHY, DILATED, 1D; CMD1D		1q32.1		
#601518	PROSTATE CANCER, HEREDITARY, 1; HPC1		1q25.3		
#601665	OBESITY	LEANNESS, INCLUDED	1p36.11, 1p35.2, 2p23.3, 3p25.3, 3p25.2, 5q13.2, 5q32, 6q23.2, 8p11.23, 11q13.4, 16q22.1		
#601718	RETINITIS PIGMENTOSA 19; RP19		1p22.1		
#601815	PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY; PHGDHD		1p12		
#601816	BILIRUBIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1; BILIQTL1		2q37.1		
#601847	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 2; PFIC2		2q31.1		
#601859	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME; ALPS	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE IA, INCLUDED; ALPS1A, INCLUDED	1q24.3, 10q23.31		
#601887	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 5; MHS5		1q32.1		
#601894	GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2; GFND2		2q35		
#601977	THROMBOCYTHEMIA 2; THCYT2		1p34.2		
#602079	TRIMETHYLAMINURIA; TMAU		1q24.3		
#602089	HEMANGIOMA, CAPILLARY INFANTILE		2p13.3, 4q12, 5q35.3		
#602390	HEMOCHROMATOSIS, TYPE 2A; HFE2A	HEMOCHROMATOSIS, TYPE 2, INCLUDED; HFE2, INCLUDED	1q21.1		
#602398	DESMOSTEROLOSIS		1p32.3		
#602481	MIGRAINE, FAMILIAL HEMIPLEGIC, 2; FHM2	MIGRAINE, FAMILIAL BASILAR, INCLUDED	1q23.2		
#602483	AURICULOCONDYLAR SYNDROME 1; ARCND1		1p13.3		
#602499	MACROPHTHALMIA, COLOBOMATOUS, WITH MICROCORNEA; MACOM		2p22.2	2:36300000-38300000	
#602522	BARTTER SYNDROME, TYPE 4A, NEONATAL, WITH SENSORINEURAL DEAFNESS; BARTS4A	SENSORINEURAL DEAFNESS WITH MILD RENAL DYSFUNCTION, INCLUDED	1p32.3		
#602531	GRANGE SYNDROME; GRNG		1q22		
#602771	RIGID SPINE MUSCULAR DYSTROPHY 1; RSMD1		1p36.11		
#603075	MACULAR DEGENERATION, AGE-RELATED, 1; ARMD1		1q25.3-q31.1, 1q31.3, 1q31.3, 19q13.32		
#603147	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ic; CDG1C		1p31.3		
#603358	GRACILE SYNDROME		2q35		
#603472	NEURONAL INTRANUCLEAR INCLUSION DISEASE; NIID		1q21.2		
#603513	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 1; CPSQ1		2q31.1		
#603689	MYOPATHY, MYOFIBRILLAR, 9, WITH EARLY RESPIRATORY FAILURE; MFM9		2q31.2		
#603776	HYPERCHOLESTEROLEMIA, FAMILIAL, 3; FHCL3	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 1, INCLUDED; LDLCQ1, INCLUDED	1p32.3		
#603813	HYPERCHOLESTEROLEMIA, FAMILIAL, 4; FHCL4		1p36.11		
