OMIM Search - '+cs_neurologic:("developmental delay" OR "delayed development" OR "Delayed motor development" OR "Delayed psychomotor development" OR "Developmental motor delay" OR "Delayed walking development" OR "Delayed global development" OR "Global developmental delay" OR "Motor delay" OR "Fine motor impairment" OR "Psychomotor delay" OR "Delayed gross motor development" OR "Impaired psychomotor development" OR "Poor motor development" OR "Delay in gross motor development" OR "Lack of motor development" OR "Psychomotor retardation" OR "Lack of psychomotor development" OR "Developmental arrest" OR "Progressive psychomotor deterioration" OR "Developmental regression" OR "Psychomotor development failure" OR "Motor deterioration" OR "Motor retardation" OR "Retarded psychomotor development" OR "Delayed gross motor skills" OR "Arrest of psychomotor development" OR "Delay in motor development" OR "Delayed motor and speech development" OR "Limited gross motor development" OR "No psychomotor development" OR "Loss of motor functions" OR "Retarded motor development" OR "Motor development delayed" OR "Regression of psychomotor development" OR "Absence of development" OR "delayed early gross motor development" OR "absent psychomotor development" OR "Slowed development" OR "Poor fine motor skills" OR "Delayed motor skills" OR "Progressive motor function loss" OR "loss of motor skills" OR "Pervasive developmental disorder" OR "Motor and sensory neuropathy" OR "Delayed motor milestones" OR "Impaired fine motor skills" OR "Locomotor delay" OR "Psychomotor regression" OR "Motor deficits" OR "motor loss" OR "Loss of fine motor skills" OR "Psychomotor degeneration" OR "motor signs" OR "motor neuron" OR "motor skill delay" OR "Developmental retardation" OR "Motor impairment" OR "motor axonal neuropathy" OR "Loss of developmental skills" OR "Developmental deterioration" OR "Delayed developmental milestones" OR "Abnormal development" OR "Delayed early motor milestones" OR "Impaired motor control" OR "Motor regression" OR "Lack of neurologic development" OR "Motor abnormalities" OR "Defects in fine motor skills" OR "Impairment of gross and fine motor coordination" OR "motor incoordination" OR "Psychomotor impairment" OR "Lack of developmental progress" OR "Arrest of development" OR "Lack of development" OR "Lack of developmental progress" OR "Lack of developmental milestones" OR "Developmental disability" OR "Poor or absent global development" OR "Poor or lack of developmental progress" OR "Delayed gross motor milestones" OR "Neuromotor delay") (Search in: Prefixes: #, Chromosomes: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)'
Downloaded:	Nov 17, 2020
#607225	SPASTIC PARALYSIS, INFANTILE-ONSET ASCENDING; IAHSP		2q33.1		
#616683	LEUKODYSTROPHY, HYPOMYELINATING, 12; HLD12		11q23.3		
#618973	NEURODEGENERATION, INFANTILE-ONSET, BIOTIN-RESPONSIVE; NERIB		2p23.3		
#617575	NEPHROTIC SYNDROME, TYPE 14; NPHS14		10q22.1		
#618239	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 17; MC1DN17		8q22.1		
#608716	MICROCEPHALY 5, PRIMARY, AUTOSOMAL RECESSIVE; MCPH5		1q31.3		
#616471	BETHLEM MYOPATHY 2; BTHLM2		6q13-q14		
#618414	MYOPATHY, CONGENITAL, WITH FAST-TWITCH (TYPE II) FIBER ATROPHY; MYOFTA		2q34		
#618707	NEURODEVELOPMENTAL DISORDER WITH ABSENT LANGUAGE AND VARIABLE SEIZURES; NEDALVS		6q21		
#618276	NEURODEGENERATION, CHILDHOOD-ONSET, WITH CEREBELLAR ATROPHY; CONDCA		9q21.33		
#602522	BARTTER SYNDROME, TYPE 4A, NEONATAL, WITH SENSORINEURAL DEAFNESS; BARTS4A	SENSORINEURAL DEAFNESS WITH MILD RENAL DYSFUNCTION, INCLUDED	1p32.3		
#613090	BARTTER SYNDROME, TYPE 4B, NEONATAL, WITH SENSORINEURAL DEAFNESS; BARTS4B		1p36.13, 1p36.13		
#618228	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 6; MC1DN6		1q23.3		
#615578	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 18; COXPD18		10q26.11		
#617831	MENTAL RETARDATION, AUTOSOMAL DOMINANT 55, WITH SEIZURES; MRD55		6q22.1		
#617613	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 5; MMDS5		9q21.33		
#614678	PONTOCEREBELLAR HYPOPLASIA, TYPE 1B; PCH1B		9p13.2		
#214150	CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1		10q11.23		
#253280	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 3; MDDGA3		1p34.1		
#617184	MITOCHONDRIAL DNA DEPLETION SYNDROME 12A (CARDIOMYOPATHIC TYPE), AUTOSOMAL DOMINANT; MTDPS12A		4q35.1		
#616505	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIB, WITH OPTIC ATROPHY; HMSN6B		5q22.1		
#618241	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 19; MC1DN19		11q24.2		
#169500	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT; ADLD		5q23.2		
#251950	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS; MMLA		7q31.1		
#614696	AMYOTROPHIC LATERAL SCLEROSIS 17; ALS17		3p11.2		
#619004	DEEAH SYNDROME; DEEAH		11p11.2		
#610006	2-METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY		10q26.13		
#616007	CATARACTS, GROWTH HORMONE DEFICIENCY, SENSORY NEUROPATHY, SENSORINEURAL HEARING LOSS, AND SKELETAL DYSPLASIA; CAGSSS		1q41		
#618947	ARTHROGRYPOSIS MULTIPLEX CONGENITA 5; AMC5		9q34.11		
#618476	BRAIN ABNORMALITIES, NEURODEGENERATION, AND DYSOSTEOSCLEROSIS; BANDDOS		5q32		
#617668	ENCEPHALOPATHY, NEONATAL SEVERE, WITH LACTIC ACIDOSIS AND BRAIN ABNORMALITIES; NELABA		11q13.4		
#618387	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE, WITH AXONAL NEUROPATHY 3; SCAN3		1p32.3		
#615889	LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE; LKENP		6p21.1		
#618412	GLOBAL DEVELOPMENTAL DELAY, PROGRESSIVE ATAXIA, AND ELEVATED GLUTAMINE; GDPAG		2q32.2		
#619065	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 21; MC4DN21		7p21.3		
#617914	MICROCEPHALY 20, PRIMARY, AUTOSOMAL RECESSIVE; MCPH20		1q32.1		
#619025	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 50; COXPD50		3p25.1		
#618891	MICROCEPHALY, DEVELOPMENTAL DELAY, AND BRITTLE HAIR SYNDROME; MDBH		11p15.4		
#205100	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE; ALS2		2q33.1		
#602433	AMYOTROPHIC LATERAL SCLEROSIS 4, JUVENILE; ALS4		9q34.13		
#606070	AMYOTROPHIC LATERAL SCLEROSIS 21; ALS21		5q31.2		
#606353	PRIMARY LATERAL SCLEROSIS, JUVENILE; PLSJ		2q33.1		
#614373	AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE; ALS16		9p13.3		
#615515	AMYOTROPHIC LATERAL SCLEROSIS 19; ALS19		2q34		
#616208	AMYOTROPHIC LATERAL SCLEROSIS 22 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS22		2q35		
#616437	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 3; FTDALS3		5q35.3		
#617839	AMYOTROPHIC LATERAL SCLEROSIS 23; ALS23		10q22.3		
#245348	PYRUVATE DEHYDROGENASE E2 DEFICIENCY; PDHDD		11q23.1		
#611726	EPILEPSY, PROGRESSIVE MYOCLONIC, 3, WITH OR WITHOUT INTRACELLULAR INCLUSIONS; EPM3		7q11.21		
#610127	CEROID LIPOFUSCINOSIS, NEURONAL, 10; CLN10	NEURONAL CEROID LIPOFUSCINOSIS, CONGENITAL, INCLUDED	11p15.5		
#212140	CARNITINE DEFICIENCY, SYSTEMIC PRIMARY; CDSP		5q31.1		
#615282	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 2; CDCBM2		2q23.1-q23.2		
#617207	ENCEPHALOPATHY, PROGRESSIVE, WITH AMYOTROPHY AND OPTIC ATROPHY; PEAMO		1q42.3		
#604484	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, OKINAWA TYPE; HMSNO		3q12.2		
#614877	PEROXISOME BIOGENESIS DISORDER 8B; PBD8B		11p11.2		
#143095	SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS; SEDCJD		10q22.1		
#614504	USHER SYNDROME, TYPE IIIB; USH3B		5q31.3		
#614856	OSTEOGENESIS IMPERFECTA, TYPE XIII; OI13		8p21.3		
#615539	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 2; EDSMC2		6q22.1		
#617087	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL RECESSIVE, TYPE 2A2B; CMT2A2B		1p36.22		
#617821	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 2; EDSARTH2		7q21.3		
#618683	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 6; MC5DN6		10q24.33		
#611943	RIDDLE SYNDROME; RIDL		3q29		
#614457	ICHTHYOSIS, SPASTIC QUADRIPLEGIA, AND MENTAL RETARDATION; ISQMR		6q14.1		
#618006	LEUKODYSTROPHY, HYPOMYELINATING, 17; HLD17		7p22.1		
#616034	2,4-DIENOYL-CoA REDUCTASE DEFICIENCY; DECRD		5p13.2		
#617820	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL RECESSIVE; NDHMSR		9q34.3		
#617822	ALKURAYA-KUCINSKAS SYNDROME; ALKKUCS		4q27		
#230600	GM1-GANGLIOSIDOSIS, TYPE II	GANGLIOSIDOSIS, GENERALIZED GM1, LATE-INFANTILE TYPE, INCLUDED	3p22.3		
#616682	SEIZURES, SCOLIOSIS, AND MACROCEPHALY/MICROCEPHALY SYNDROME; SSMS		11p11.2		
#612289	FONTAINE PROGEROID SYNDROME; FPS		1p13.3		
#216550	COHEN SYNDROME; COH1		8q22.2		
#602083	USHER SYNDROME, TYPE IF; USH1F		10q21.1		
#603736	OHDO SYNDROME, SBBYS VARIANT; SBBYSS		10q22.2		
#225410	EHLERS-DANLOS SYNDROME, DERMATOSPARAXIS TYPE; EDSDERMS		5q35.3		
#226960	LOWRY-WOOD SYNDROME; LWS		2q14.2		
#250400	METAPHYSEAL DYSPLASIA, SPAHR TYPE; MDST		11q22.2		
#609285	NEMALINE MYOPATHY 4; NEM4	CAP MYOPATHY 2, INCLUDED; CAPM2, INCLUDED	9p13.3		
#610542	MYASTHENIC SYNDROME, CONGENITAL, 12; CMS12		2p13.3		
#601536	ATHABASKAN BRAINSTEM DYSGENESIS SYNDROME; ABDS	BOSLEY-SALIH-ALORAINY SYNDROME, INCLUDED; BSAS, INCLUDED	7p15.2		
#612582	CHROMOSOME 6pter-p24 DELETION SYNDROME		6pter-p24		
#610532	LEUKODYSTROPHY, HYPOMYELINATING, 5; HLD5		7p15.3		
#610706	DEAFNESS, CONGENITAL, WITH INNER EAR AGENESIS, MICROTIA, AND MICRODONTIA		11q13.3		
#614653	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VI; HSAN6		6p12.1		
#250950	3-METHYLGLUTACONIC ACIDURIA, TYPE I; MGCA1		9q22.31		
#618484	ARTHROGRYPOSIS MULTIPLEX CONGENITA 3, MYOGENIC TYPE; AMC3		6q25.2		
#612989	OPTIC ATROPHY 7 WITH OR WITHOUT AUDITORY NEUROPATHY; OPA7		11q14.1		
#613135	PARKINSONISM-DYSTONIA, INFANTILE, 1; PKDYS1		5p15.33		
#613224	NOONAN SYNDROME 6; NS6		1p13.2		
#615438	INFANTILE LIVER FAILURE SYNDROME 1; ILFS1		5q32		
#616728	CLEFT PALATE, PSYCHOMOTOR RETARDATION, AND DISTINCTIVE FACIAL FEATURES; CPRF		1p36.12		
#617053	MIRAGE SYNDROME; MIRAGE		7q21.2		
#617641	CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY; CAKUTHED		1q23.3		
#618805	TRIOKINASE AND FMN CYCLASE DEFICIENCY SYNDROME; TKFCD		11q12.2		
#618856	DIABETES MELLITUS, PERMANENT NEONATAL 2; PNDM2	DEVELOPMENTAL DELAY, EPILEPSY, AND NEONATAL DIABETES 1, INCLUDED; DEND1, INCLUDED	11p15.1		
#619074	CLEFT PALATE, PROLIFERATIVE RETINOPATHY, AND DEVELOPMENTAL DELAY; CPPRDD		11q13.5		
#252930	MUCOPOLYSACCHARIDOSIS, TYPE IIIC; MPS3C		8p11.2-p11.1		
#268800	SANDHOFF DISEASE	SANDHOFF DISEASE, ADULT TYPE, INCLUDED	5q13.3		
#618230	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 8; MC1DN8		11p11.2		
#617787	MENTAL RETARDATION, AUTOSOMAL DOMINANT 50; MRD50		4q31.1		
#105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1		9p21.2		
#601162	SPASTIC PARAPLEGIA 9A, AUTOSOMAL DOMINANT; SPG9A		10q24.1		
#604320	SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1; DSMA1		11q13.3		
#253300	SPINAL MUSCULAR ATROPHY, TYPE I; SMA1		5q13.2		
#253310	LETHAL CONGENITAL CONTRACTURE SYNDROME 1; LCCS1		9q34.11		
#263570	POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM; APBN		3p12.2		
#607641	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIB; HMN7B		2p13.1		
#612069	AMYOTROPHIC LATERAL SCLEROSIS 10 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS10	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED, INCLUDED	1p36.22		
#611067	SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 4; DSMA4		1p36.31		
#613728	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 10; SCAR10		3p22.1-p21.3		
#617892	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 24; ALS24		4q33		
#618193	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 2; PLOSL2		6p21.1		
#613811	PONTOCEREBELLAR HYPOPLASIA, TYPE 2D; PCH2D		4p15.2		
#614498	RIGIDITY AND MULTIFOCAL SEIZURE SYNDROME, LETHAL NEONATAL; RMFSL		7p22.3		
#614830	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 8; MDDGA8		3p22.1		
#615042	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iu; CDG1U		9q34.11		
#615287	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 13; MDDGA13		11q13.2		
#615476	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18		1p34.2		
#616342	LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLASIA; LIS7		7q36.1		
#617507	PEHO-LIKE SYNDROME; PEHOL		2p16.1		
#618011	HYPEREKPLEXIA 4; HKPX4		10q23.31		
#253800	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 4; MDDGA4		9q31.2		
#238700	HYPERLYSINEMIA, TYPE I		7q31.32		
#613002	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 2; IIAE2		4q35.1		
#614932	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 13; COXPD13		2p16.1		
#616239	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24; COXPD24		11q14.1		
#616981	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 37; DEE37		9q31.3		
#617105	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 41; DEE41		11p13		
#617171	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND IMPAIRED EXPRESSIVE LANGUAGE AND WITH OR WITHOUT SEIZURES; NEDHELS		11p15.5		
#617669	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND SPASTICITY; PEBAS		2p25.3		
#618225	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 4; MC1DN4		11q13.2		
#618226	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 5; MC1DN5		2q33.3		
#618426	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 9; IIAE9		9q34.13		
#618497	NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND NONEPILEPTIC HYPERKINETIC MOVEMENTS; NEDNEH		9q34.3		
#618855	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 44; COXPD44		2q33.3		
#618873	LISSENCEPHALY 10; LIS10		6q22.31		
#618877	LEUKOENCEPHALOPATHY, DEVELOPMENTAL DELAY, AND EPISODIC NEUROLOGIC REGRESSION SYNDROME; LEUDEN		2p22.2		
#618916	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87		6q21		
#619026	NEURODEVELOPMENTAL DISORDER WITH PROGRESSIVE SPASTICITY AND BRAIN WHITE MATTER ABNORMALITIES; NEDSWMA		1p34.1		
#616155	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2S; CMT2S		11q13.3		
#100800	ACHONDROPLASIA; ACH		4p16.3		
#117360	SPINOCEREBELLAR ATAXIA 29; SCA29		3p26.1		
#601596	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C; CMT4C		5q32		
#605253	NEUROPATHY, CONGENITAL HYPOMYELINATING, 1, AUTOSOMAL RECESSIVE; CHN1	NEUROPATHY, CONGENITAL HYPOMYELINATING, 1, AUTOSOMAL DOMINANT, INCLUDED	10q21.3		
#609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1		3q25.32		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#156200	MENTAL RETARDATION, AUTOSOMAL DOMINANT 1; MRD1	CHROMOSOME 2q23.1 DELETION SYNDROME, INCLUDED	2q23.1		
#161800	NEMALINE MYOPATHY 3; NEM3	MYOPATHY, ACTIN, CONGENITAL, WITH EXCESS OF THIN MYOFILAMENTS, INCLUDED	1q42.13		
#180800	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA		1q23.3, 17p12		
#180860	SILVER-RUSSELL SYNDROME 1; SRS1		11p15.5		
#206700	GILLESPIE SYNDROME; GLSP		3p26.1		
#210000	BEHR SYNDROME; BEHRS		3q29		
#212350	SENGERS SYNDROME		7q34		
#214400	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4A; CMT4A		8q21.11		
#601382	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B1; CMT4B1		11q21		
#602771	RIGID SPINE MUSCULAR DYSTROPHY 1; RSMD1		1p36.11		
#225400	EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE, 1; EDSKSCL1		1p36.22		
#230740	GAPO SYNDROME; GAPOS		2p13.3		
#231000	GAUCHER DISEASE, TYPE III; GD3	GAUCHER DISEASE, TYPE IIIA, INCLUDED	1q22		
#233400	PERRAULT SYNDROME 1; PRLTS1		5q23.1		
#235730	MOWAT-WILSON SYNDROME; MOWS		2q22.3		
#239000	PAGET DISEASE OF BONE 5, JUVENILE-ONSET; PDB5		8q24.12		
#254940	CAREY-FINEMAN-ZITER SYNDROME; CFZS		9q34.2		
#255200	MYOPATHY, CENTRONUCLEAR, 2; CNM2		2q14.3		
#256030	NEMALINE MYOPATHY 2; NEM2		2q23.3		
#264070	HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D; HPABH4D		10q22.1		
#274000	THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME; TAR		1q21.1		
#276900	USHER SYNDROME, TYPE I; USH1	USHER SYNDROME, TYPE IB, INCLUDED; USH1B, INCLUDED	11q13.5		
#606703	DYSKINESIA, FAMILIAL, WITH FACIAL MYOKYMIA; FDFM		3q21.1		
#607317	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 4; SCAR4		1p36.22-p36.21		
#607684	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E; CMT2E		8p21.2		
#607734	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1F; CMT1F		8p21.2		
#608629	JOUBERT SYNDROME 3; JBTS3		6q23.3		
#608930	MYASTHENIC SYNDROME, CONGENITAL, 1B, FAST-CHANNEL; CMS1B		2q31.1		
#611890	CONGENITAL ARTHROGRYPOSIS WITH ANTERIOR HORN CELL DISEASE; CAAHD		9q34.11		
#612067	DYSTONIA 16; DYT16		2q31.2		
#612379	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq; CDG1Q		4q12		
#612656	EPISODIC ATAXIA, TYPE 6; EA6		5p13.2		
#612713	KAHRIZI SYNDROME; KHRZ		4q12		
#612937	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 15; MDDGC15		1q22		
#613151	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 3; MDDGB3		1p34.1		
#613157	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 3; MDDGC3		1p34.1		
#613162	SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSIVE; SPG45		10q24.32-q24.33		
#613205	MUSCULAR DYSTROPHY, CONGENITAL, LMNA-RELATED		1q22		
#613443	MENTAL RETARDATION, AUTOSOMAL DOMINANT 20; MRD20	CHROMOSOME 5q14.3 DELETION SYNDROME, PROXIMAL, INCLUDED	5q14.3		
#609284	NEMALINE MYOPATHY 1; NEM1	CAP MYOPATHY 1, INCLUDED; CAPM1, INCLUDED	1q21.3		
#609308	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 1; MDDGC1		9q34.13		
#610031	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 7; CDCBM7		6p25.2		
#610357	SPASTIC PARAPLEGIA 30, AUTOSOMAL DOMINANT; SPG30	SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSIVE, INCLUDED	2q37.3		
