OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 18, 19, 20, 21, 22)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.
#209920	BARE LYMPHOCYTE SYNDROME, TYPE II	BARE LYMPHOCYTE SYNDROME, TYPE II, COMPLEMENTATION GROUP A, INCLUDED	1q21.3, 13q13.3, 16p13.13, 19p13.11		
#210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2		21q22.3		
#211500	FAZIO-LONDE DISEASE		20p13		
#211530	BROWN-VIALETTO-VAN LAERE SYNDROME 1; BVVLS1		20p13		
#211600	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 1; PFIC1		18q21.31		
#211980	LUNG CANCER	ALVEOLAR CELL CARCINOMA, INCLUDED	1q24.3, 2q33.1, 3q26.32, 5q31.1, 6q26, 7p11.2, 7q34, 10p11.23, 10q11.23, 11p15.4, 11q23.1, 12p12.1, 17q12, 19q13.2		
#214350	CHAND SYNDROME; CHANDS		21q22.3		
#215470	BOUCHER-NEUHAUSER SYNDROME; BNHS		19p13.2		
#217400	CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS; CDPD		20p13		
#217700	CORNEAL ENDOTHELIAL DYSTROPHY; CHED		20p13		
#219050	CRYPTORCHIDISM, UNILATERAL OR BILATERAL		19p13.11		
#219080	ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA; AIMAH1		20q13.32		
#219700	CYSTIC FIBROSIS; CF		1q23.3, 7q31.2, 19q13.2		
#220100	CYSTINURIA	CYSTINURIA, TYPE A, INCLUDED	2p21, 19q13.11		
#600138	RETINITIS PIGMENTOSA 11; RP11		19q13.42		
#600251	FACIAL CLEFTING, OBLIQUE, 1; OBLFC1		22q11.23		
#600373	CODAS SYNDROME		19p13.3		
#600513	EPILEPSY, NOCTURNAL FRONTAL LOBE, 1; ENFL1		20q13.33		
#600652	DEAFNESS, AUTOSOMAL DOMINANT 4A; DFNA4A		19q13.33		
#600740	HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III; HHC3		19q13.32		
#600775	CRANIOSYNOSTOSIS 4; CRS4		19q13.2		
#600802	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-NEGATIVE		19p13.11		
#600850	SCHIZOPHRENIA 4; SCZD4		22q11.21		
#600886	HYPERFERRITINEMIA WITH OR WITHOUT CATARACT; HRFTC		19q13.33		
#600920	VAN DEN ENDE-GUPTA SYNDROME; VDEGS		22q11.21		
#600969	EPIPHYSEAL DYSPLASIA, MULTIPLE, 3; EDM3	EPIPHYSEAL DYSPLASIA, MULTIPLE, 3, WITH MYOPATHY, INCLUDED	20q13.33		
#601072	DEAFNESS, AUTOSOMAL RECESSIVE 8; DFNB8		21q22.3		
#601238	CEREBELLAR ATAXIA, CAYMAN TYPE; ATCAY		19p13.3		
#601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURAL HEARING LOSS; CAPOS		19q13.2		
#601399	PLATELET DISORDER, FAMILIAL, WITH ASSOCIATED MYELOID MALIGNANCY; FPDMM		21q22.12		
#601675	TRICHOTHIODYSTROPHY 1, PHOTOSENSITIVE; TTD1		19q13.32		
#601808	CHROMOSOME 18q DELETION SYNDROME		18q	18:18500000-80373285	
#601869	DEAFNESS, AUTOSOMAL RECESSIVE 15; DFNB15		19p13.3		
#602025	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 9; BMIQ9		20q13.2		
#602080	PAGET DISEASE OF BONE 2, EARLY-ONSET; PDB2		18q21.33		
#602271	SPONDYLOMETAPHYSEAL DYSPLASIA, AXIAL; SMDAX		21q22.3		
#602473	ENCEPHALOPATHY, ETHYLMALONIC; EE		19q13.31		
#602535	MARSHALL-SMITH SYNDROME; MRSHSS		19p13.13		
#602541	MUSCULAR DYSTROPHY, CONGENITAL, MEGACONIAL TYPE; MDCMC		22q13.33		
#602557	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SHOHAT TYPE; SEMDSH		20p13		
#603041	MITOCHONDRIAL DNA DEPLETION SYNDROME 1 (MNGIE TYPE); MTDPS1		22q13.33		
#603075	MACULAR DEGENERATION, AGE-RELATED, 1; ARMD1		1q25.3-q31.1, 1q31.3, 1q31.3, 19q13.32		
#603218	HUNTINGTON DISEASE-LIKE 1; HDL1		20p13		
#603233	PSEUDOHYPOPARATHYROIDISM, TYPE IB; PHP1B		20q13.32, 20q13.32, 20q13.32		
#603387	MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 1; MPPH1		19p13.11		
#603457	BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS		18p11.32		
#603516	SPINOCEREBELLAR ATAXIA 10; SCA10		22q13.31		
#603592	XANTHINURIA, TYPE II; XAN2		18q12.2		
#603622	DEAFNESS, AUTOSOMAL DOMINANT 17; DFNA17	COCHLEOSACCULAR DEGENERATION, INCLUDED	22q12.3		
#604004	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1; MLC1		22q13.33		
#604121	CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT; ADCADN		19p13.2		
#604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN		18q23		
#604169	LEFT VENTRICULAR NONCOMPACTION 1; LVNC1		18q12.1		
#604219	CATARACT 9, MULTIPLE TYPES; CTRCT9		21q22.3		
#604233	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1; GEFSP1		19q13.11		
#604317	MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT CORTICAL MALFORMATIONS; MCPH2		19q13.12		
#604364	EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 1; FFEVF1		22q12.2-q12.3		
#604377	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 2; MC4DN2		22q13.33		
#604559	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IB; PFHB1B		19q13.33		
#604777	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 5; ARCI5		19p13.12		
#604805	SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINANT; SPG12		19q13.32		
#605039	BOHRING-OPITZ SYNDROME; BOPS		20q11.21		
#226200	ENTEROKINASE DEFICIENCY		21q21.1		
#226650	EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-HERLITZ TYPE	EPIDERMOLYSIS BULLOSA, JUNCTIONAL, LOCALISATA VARIANT, INCLUDED	1q25.3, 1q32.2, 10q25.1, 17q25.1, 18q11.2		
#226700	EPIDERMOLYSIS BULLOSA, JUNCTIONAL, HERLITZ TYPE		1q25.3, 1q32.2, 18q11.2		
#227300	FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 1; F5F8D1		18q21.32		
#228300	HYPOGONADOTROPIC HYPOGONADISM 23 WITHOUT ANOSMIA; HH23		19q13.33		
#228900	DU PAN SYNDROME; DUPANS		20q11.22		
#229100	GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY		21q22.3		
#231090	HYDATIDIFORM MOLE, RECURRENT, 1; HYDM1		19q13.42		
#231200	BERNARD-SOULIER SYNDROME; BSS	BERNARD-SOULIER SYNDROME, TYPE A1, INCLUDED	3q21.3, 17p13.2, 22q11.21		
#231670	GLUTARIC ACIDEMIA I; GA1		19p13.13		
#231680	MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD	GLUTARIC ACIDEMIA IIA, INCLUDED; GA2A, INCLUDED	4q32.1, 15q24.2-q24.3, 19q13.41		
#231900	GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO; GSSDE		20q11.22		
#231950	GLUTATHIONURIA		22q11.23		
#234200	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1		20p13		
#235200	HEMOCHROMATOSIS, TYPE 1; HFE1		6p22.2, 20p12.3		
#235510	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 1; HKLLS1		18q21.32		
#236200	HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY	HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED, INCLUDED	21q22.3		
#236700	MCKUSICK-KAUFMAN SYNDROME; MKKS		20p12.2		
#239500	HYPERPROLINEMIA, TYPE I; HYRPRO1		22q11.21		
#240300	AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE I, WITH OR WITHOUT REVERSIBLE METAPHYSEAL DYSPLASIA; APS1	AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME, TYPE I, AUTOSOMAL DOMINANT, INCLUDED	21q22.3		
#240900	HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY; HIHGHH		19q13.2		
#242150	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL RECESSIVE; KIDAR		22q12.2		
#242840	VICI SYNDROME; VICIS		18q12.3-q21.1		
#242860	IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1; ICF1		20q11.21		
#243060	SPERMATOGENIC FAILURE 5; SPGF5		19q13.43		
#243300	CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 1; BRIC1		18q21.31		
#244200	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA; HH3		20p12.3		
#245300	KURU, SUSCEPTIBILITY TO		20p13		
#245660	LARYNGOONYCHOCUTANEOUS SYNDROME; LOCS		18q11.2		
#245800	LAURENCE-MOON SYNDROME; LNMS		19p13.2		
#246200	DONOHUE SYNDROME	INSULIN RECEPTOR, DEFECT IN, INCLUDED	19p13.2		
#247420	LUTHERAN NULL		19q13.32		
#248500	MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA		19p13.13		
#248600	MAPLE SYRUP URINE DISEASE; MSUD	MAPLE SYRUP URINE DISEASE, CLASSIC, INCLUDED	1p21.2, 6q14.1, 19q13.2		
#248700	MARDEN-WALKER SYNDROME; MWKS		18p11.22-p11.21		
#250100	METACHROMATIC LEUKODYSTROPHY; MLD	PSEUDOARYLSULFATASE A DEFICIENCY, INCLUDED	22q13.33		
#250220	SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE; SMDS		19p13.3		
#250790	METHEMOGLOBINEMIA AND AMBIGUOUS GENITALIA; METAG		18q22.3		
#250800	METHEMOGLOBINEMIA DUE TO DEFICIENCY OF METHEMOGLOBIN REDUCTASE	METHEMOGLOBINEMIA, TYPE I, INCLUDED	22q13.2		
#251230	MICROCEPHALY-MICROMELIA SYNDROME; MIMIS		21q22.11		
#251255	JAWAD SYNDROME; JWDS		18q11.2		
#251270	MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 1; MCCRP1		22q13.33		
#251850	DIARRHEA 2, WITH MICROVILLUS ATROPHY; DIAR2		18q21.1		
#251900	MITOCHONDRIAL MYOPATHY, EPISODIC, WITH OR WITHOUT OPTIC ATROPHY AND REVERSIBLE LEUKOENCEPHALOPATHY; MEOAL		19p13.2		
#252011	MITOCHONDRIAL COMPLEX II DEFICIENCY		5p15.33, 11q23.1, 19q13.12		
#252650	MUCOLIPIDOSIS IV; ML4		19p13.2		
#253270	HOLOCARBOXYLASE SYNTHETASE DEFICIENCY		21q22.13		
#254090	ULLRICH CONGENITAL MUSCULAR DYSTROPHY 1; UCMD1		2q37.3, 21q22.3, 21q22.3		
#254450	MYELOFIBROSIS	MYELOFIBROSIS WITH MYELOID METAPLASIA, INCLUDED; MMM, INCLUDED	1p34.2, 9p24.1, 12q24.12, 19p13.13		
#254800	MYOCLONIC EPILEPSY OF UNVERRICHT AND LUNDBORG		21q22.3		
#255320	MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA		19q13.2		
#255600	MYOSCLEROSIS, AUTOSOMAL RECESSIVE		21q22.3		
#256300	NEPHROTIC SYNDROME, TYPE 1; NPHS1		19q13.12		
#256540	GALACTOSIALIDOSIS; GSL		20q13.12		
