OMIM Search - '+cs_neurologic:(spastic*) (Search in: Prefixes: #)'
Downloaded:	Nov 17, 2020
#213700	CEREBROTENDINOUS XANTHOMATOSIS; CTX		2q35		
#215100	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 1; RCDP1		6q23.3		
#215470	BOUCHER-NEUHAUSER SYNDROME; BNHS		19p13.2		
#600118	WARBURG MICRO SYNDROME 1; WARBM1		2q21.3		
#600142	CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY; CARASIL		10q26.13		
#600348	BAND HETEROTOPIA; BH		14q32.2		
#600363	SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT; SPG6		15q11.2		
#601042	DYSTONIA 9; DYT9		1p34.2		
#601162	SPASTIC PARAPLEGIA 9A, AUTOSOMAL DOMINANT; SPG9A		10q24.1		
#601815	PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY; PHGDHD		1p12		
#602099	AMYOTROPHIC LATERAL SCLEROSIS 5, JUVENILE; ALS5		15q21.1		
#602398	DESMOSTEROLOSIS		1p32.3		
#603513	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 1; CPSQ1		2q31.1		
#603563	SPASTIC PARAPLEGIA 8, AUTOSOMAL DOMINANT; SPG8		8q24.13		
#603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	VANISHING WHITE MATTER LEUKODYSTROPHY WITH OVARIAN FAILURE, INCLUDED	1p34.1, 2p23.3, 3q27.1, 12q24.31, 14q24.3		
#604004	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1; MLC1		22q13.33		
#604121	CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT; ADCADN		19p13.2		
#604187	SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10		12q13.3		
#604317	MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT CORTICAL MALFORMATIONS; MCPH2		19q13.12		
#604360	SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSIVE; SPG11		15q21.1		
#604369	SALLA DISEASE; SD		6q13		
#604391	ATAXIA-TELANGIECTASIA-LIKE DISORDER 1; ATLD1		11q21		
#604805	SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINANT; SPG12		19q13.32		
#605013	MICROHYDRANENCEPHALY; MHAC		16p13.11		
#225750	AICARDI-GOUTIERES SYNDROME 1; AGS1	AICARDI-GOUTIERES SYNDROME 1, AUTOSOMAL DOMINANT, INCLUDED	3p21.31		
#225753	PONTOCEREBELLAR HYPOPLASIA, TYPE 4; PCH4		17q25.1		
#226750	KOHLSCHUTTER-TONZ SYNDROME; KTZS		16p13.3		
#230000	FUCOSIDOSIS		1p36.11		
#230600	GM1-GANGLIOSIDOSIS, TYPE II	GANGLIOSIDOSIS, GENERALIZED GM1, LATE-INFANTILE TYPE, INCLUDED	3p22.3		
#230900	GAUCHER DISEASE, TYPE II; GD2		1q22		
#231000	GAUCHER DISEASE, TYPE III; GD3	GAUCHER DISEASE, TYPE IIIA, INCLUDED	1q22		
#231670	GLUTARIC ACIDEMIA I; GA1		19p13.13		
#233400	PERRAULT SYNDROME 1; PRLTS1		5q23.1		
#234200	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1		20p13		
#236792	L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA		14q21.3		
#238970	HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME; HHHS		13q14.11		
#240800	HYPOGLYCEMIA, LEUCINE-INDUCED; LIH		11p15.1		
#243310	BARAITSER-WINTER SYNDROME 1; BRWS1		7p22.1		
#245200	KRABBE DISEASE		14q31.3		
#245349	PYRUVATE DEHYDROGENASE E3-BINDING PROTEIN DEFICIENCY; PDHXD		11p13		
#245800	LAURENCE-MOON SYNDROME; LNMS		19p13.2		
#246450	3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY; HMGCLD		1p36.11		
#247200	MILLER-DIEKER LISSENCEPHALY SYNDROME; MDLS	CHROMOSOME 17p13.3 DELETION SYNDROME, INCLUDED	17p13.3		
#248500	MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA		19p13.13		
#248800	MARINESCO-SJOGREN SYNDROME; MSS		5q31.2		
#248900	MAST SYNDROME		15q22.31		
#249900	METACHROMATIC LEUKODYSTROPHY DUE TO SAPOSIN B DEFICIENCY		10q22.1		
#250100	METACHROMATIC LEUKODYSTROPHY; MLD	PSEUDOARYLSULFATASE A DEFICIENCY, INCLUDED	22q13.33		
#250800	METHEMOGLOBINEMIA DUE TO DEFICIENCY OF METHEMOGLOBIN REDUCTASE	METHEMOGLOBINEMIA, TYPE I, INCLUDED	22q13.2		
#250950	3-METHYLGLUTACONIC ACIDURIA, TYPE I; MGCA1		9q22.31		
#251280	DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 1; DMJDS1		5q31.3		
#251290	PSEUDO-TORCH SYNDROME 1; PTORCH1		5q13.2		
#251300	GALLOWAY-MOWAT SYNDROME 1; GAMOS1		15q25.2		
#251900	MITOCHONDRIAL MYOPATHY, EPISODIC, WITH OR WITHOUT OPTIC ATROPHY AND REVERSIBLE LEUKOENCEPHALOPATHY; MEOAL		19p13.2		
#251950	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS; MMLA		7q31.1		
#252011	MITOCHONDRIAL COMPLEX II DEFICIENCY		5p15.33, 11q23.1, 19q13.12		
#252150	MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP A; MOCODA		6p21.2		
#252160	MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP B; MOCODB		5q11.2		
#252650	MUCOLIPIDOSIS IV; ML4		19p13.2		
#256000	LEIGH SYNDROME; LS	LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY, INCLUDED	5p15.33		
#256600	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2A; NBIA2A		22q13.1		
#256710	ELEJALDE DISEASE				
#256730	CEROID LIPOFUSCINOSIS, NEURONAL, 1; CLN1	NEURONAL CEROID LIPOFUSCINOSIS, INFANTILE, INCLUDED; INCL, INCLUDED	1p34.2		
#256840	NEUROPATHY, HEREDITARY SENSORY, WITH SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE		5p15.2		
#256850	GIANT AXONAL NEUROPATHY 1, AUTOSOMAL RECESSIVE; GAN1		16q23.2		
#257200	NIEMANN-PICK DISEASE, TYPE A	NIEMANN-PICK DISEASE, INTERMEDIATE, PROTRACTED NEUROVISCERAL, INCLUDED	11p15.4		
#257220	NIEMANN-PICK DISEASE, TYPE C1; NPC1	NIEMANN-PICK DISEASE, TYPE D, INCLUDED	18q11.2		
#258501	3-METHYLGLUTACONIC ACIDURIA, TYPE III; MGCA3		19q13.32		
#259720	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 5; OPTB5		6q21		
#260300	PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK15		22q12.3		
#260600	LEUKODYSTROPHY, HYPOMYELINATING, 3; HLD3		4q24		
#263570	POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM; APBN		3p12.2		
#266130	GLUTATHIONE SYNTHETASE DEFICIENCY; GSSD		20q11.22		
#269150	SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME		18q12.3		
#270200	SJOGREN-LARSSON SYNDROME; SLS		17p11.2		
#270550	SPASTIC ATAXIA, CHARLEVOIX-SAGUENAY TYPE; SACS		13q12.12		
#270685	SPASTIC PARAPLEGIA 17, AUTOSOMAL DOMINANT; SPG17		11q12.3		
#270700	SPASTIC PARAPLEGIA 15, AUTOSOMAL RECESSIVE; SPG15		14q24.1		
#270750	SPASTIC PARAPLEGIA 23, AUTOSOMAL RECESSIVE; SPG23		1q32.1		
#270800	SPASTIC PARAPLEGIA 5A, AUTOSOMAL RECESSIVE; SPG5A		8q12.3		
#271900	CANAVAN DISEASE		17p13.2		
#271930	STRIATONIGRAL DEGENERATION, INFANTILE; SNDI		19q13.33		
#272200	MULTIPLE SULFATASE DEFICIENCY; MSD		3p26.1		
#272750	GM2-GANGLIOSIDOSIS, AB VARIANT		5q33.1		
#275900	SPASTIC PARAPLEGIA 20, AUTOSOMAL RECESSIVE; SPG20		13q13.3		
#277410	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblD TYPE; MAHCD	HOMOCYSTINURIA, cblD TYPE, VARIANT 1, INCLUDED	2q23.2		
#277470	PONTOCEREBELLAR HYPOPLASIA, TYPE 2A; PCH2A		17q25.1		
#277590	WEAVER SYNDROME; WVS		7q36.1		
#278700	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP A; XPA		9q22.33		
#278730	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D; XPD		19q13.32		
#278780	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G; XPG	XERODERMA PIGMENTOSUM, TYPE G/COCKAYNE SYNDROME, INCLUDED; XPG/CS, INCLUDED	13q33.1		
#278800	DE SANCTIS-CACCHIONE SYNDROME		10q11.23		
#300004	CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA		Xp21.3		
#300048	INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC, X-LINKED	CONGENITAL SHORT BOWEL SYNDROME, X-LINKED, INCLUDED	Xq28		
#300055	MENTAL RETARDATION, X-LINKED, SYNDROMIC 13; MRXS13		Xq28		
#300067	LISSENCEPHALY, X-LINKED, 1; LISX1	SUBCORTICAL LAMINAR HETEROTOPIA, X-LINKED, INCLUDED; SCLH, INCLUDED	Xq23		
#300215	LISSENCEPHALY, X-LINKED, 2; LISX2	HYDRANENCEPHALY AND ABNORMAL GENITALIA, INCLUDED	Xp21.3		
#300232	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, X-LINKED, WITH HYPOMYELINATING LEUKODYSTROPHY; SEMDHL		Xq26.1		
#300260	LUBS X-LINKED MENTAL RETARDATION SYNDROME; MRXSL		Xq28		
#300322	LESCH-NYHAN SYNDROME; LNS	HPRT DEFICIENCY, NEUROLOGIC VARIANT, INCLUDED	Xq26.2-q26.3		
#300352	CEREBRAL CREATINE DEFICIENCY SYNDROME 1; CCDS1		Xq28		
#300423	MENTAL RETARDATION, X-LINKED, SYNDROMIC, HEDERA TYPE; MRXSH		Xp11.4		
#300438	HSD10 MITOCHONDRIAL DISEASE; HSD10MD		Xp11.22		
#300486	MENTAL RETARDATION, X-LINKED, WITH CEREBELLAR HYPOPLASIA AND DISTINCTIVE FACIAL APPEARANCE		Xq12		
#300523	ALLAN-HERNDON-DUDLEY SYNDROME; AHDS		Xq13.2		
#300534	MENTAL RETARDATION, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ		Xp11.22		
#300749	MENTAL RETARDATION AND MICROCEPHALY WITH PONTINE AND CEREBELLAR HYPOPLASIA; MICPCH		Xp11.4		
#300857	AMYOTROPHIC LATERAL SCLEROSIS 15 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS15		Xp11.21		
#300868	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2		Xp22.2		
#300886	MENTAL RETARDATION, X-LINKED, SYNDROMIC 32; MRXS32		Xq28		
#300894	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5; NBIA5		Xp11.23		
#300911	PARKINSONISM WITH SPASTICITY, X-LINKED; XPDS		Xp11.4		
#300912	MENTAL RETARDATION, X-LINKED 98; MRX98		Xq13.3		
#300958	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB		Xp11.4		
#300966	MENTAL RETARDATION, X-LINKED, SYNDROMIC 33; MRXS33		Xq13.1		
#300978	TONNE-KALSCHEUER SYNDROME; TOKAS		Xq13.2		
#300983	MENTAL RETARDATION, X-LINKED 104; MRX104		Xp22.2		
#301006	GALLOWAY-MOWAT SYNDROME 2, X-LINKED; GAMOS2		Xq28		
#301030	VAN ESCH-O'DRISCOLL SYNDROME; VEODS		Xp22.1-p21.3		
#301032	BASILICATA-AKHTAR SYNDROME; MRXSBA		Xp22.2		
#301040	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX		Xq21.1		
#301041	WIEACKER-WOLFF SYNDROME, FEMALE-RESTRICTED; WRWFFR		Xq11.2		
#302802	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 3; CMTX3		Xq26	X:129500000-138900000	
#303350	MASA SYNDROME		Xq28		
#304100	CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-LINKED		Xq28		
#304340	PETTIGREW SYNDROME; PGS		Xp22.2		
#304700	MOHR-TRANEBJAERG SYNDROME; MTS		Xq22.1		
#307000	HYDROCEPHALUS DUE TO CONGENITAL STENOSIS OF AQUEDUCT OF SYLVIUS; HSAS	HYDROCEPHALUS, X-LINKED, WITH CONGENITAL IDIOPATHIC INTESTINAL PSEUDOOBSTRUCTION, INCLUDED	Xq28		
#308300	INCONTINENTIA PIGMENTI; IP		Xq28		
#308350	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 1; DEE1		Xp21.3		
#309500	RENPENNING SYNDROME 1; RENS1		Xp11.23		
#309510	PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME; PRTS		Xp21.3		
#309590	MENTAL RETARDATION, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST		Xp11.22		
#310490	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 4, WITH OR WITHOUT CEREBELLAR ATAXIA; CMTX4		Xq26.1		
#312080	PELIZAEUS-MERZBACHER DISEASE; PMD		Xq22.2		
#312750	RETT SYNDROME; RTT	RETT SYNDROME, ZAPPELLA VARIANT, INCLUDED	Xq28		
#312920	SPASTIC PARAPLEGIA 2, X-LINKED; SPG2		Xq22.2		
#314580	WIEACKER-WOLFF SYNDROME; WRWF		Xq11.2		
#500001	LEBER OPTIC ATROPHY AND DYSTONIA				
#535000	LEBER OPTIC ATROPHY				
#545000	MYOCLONIC EPILEPSY ASSOCIATED WITH RAGGED-RED FIBERS; MERRF				
#606159	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 3; NBIA3		19q13.33		
#606353	PRIMARY LATERAL SCLEROSIS, JUVENILE; PLSJ		2q33.1		
#606693	KUFOR-RAKEB SYNDROME; KRS		1p36.13		
#606721	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 7; FPLD7		7q31.2		
#606777	GLUT1 DEFICIENCY SYNDROME 1; GLUT1DS1	GLUT1 DEFICIENCY SYNDROME 1, AUTOSOMAL RECESSIVE, INCLUDED	1p34.2		
#607225	SPASTIC PARALYSIS, INFANTILE-ONSET ASCENDING; IAHSP		2q33.1		
#607236	HYPOPREBETALIPOPROTEINEMIA, ACANTHOCYTOSIS, RETINITIS PIGMENTOSA, AND PALLIDAL DEGENERATION		20p13		
#607259	SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE; SPG7		16q24.3		
#607317	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 4; SCAR4		1p36.22-p36.21		
#607432	LISSENCEPHALY 1; LIS1	SUBCORTICAL LAMINAR HETEROTOPIA, INCLUDED; SCLH, INCLUDED	17p13.3		
#607624	GRISCELLI SYNDROME, TYPE 2; GS2		15q21.3		
#607625	NIEMANN-PICK DISEASE, TYPE C2; NPC2		14q24.3		
#607694	LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD7		10q22.3		
#607822	ALZHEIMER DISEASE 3; AD	ALZHEIMER DISEASE, FAMILIAL, 3, WITH SPASTIC PARAPARESIS AND UNUSUAL PLAQUES, INCLUDED	14q24.2, 19q13.32		
#607944	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION; SPENCDI		19p13.2		
#608027	PONTOCEREBELLAR HYPOPLASIA, TYPE 3; PCH3		7q21.11		
#608033	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3		2q13		
#608611	RIBOSE 5-PHOSPHATE ISOMERASE DEFICIENCY; RPIAD		2p11.2		
#608768	SPINOCEREBELLAR ATAXIA 8; SCA8		13q21, 13q21.33		
#608804	LEUKODYSTROPHY, HYPOMYELINATING, 2; HLD2		1q42.13		
#608885	STOMATIN-DEFICIENT CRYOHYDROCYTOSIS WITH NEUROLOGIC DEFECTS; SDCHCN		1p34.2		
#611523	PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6		6q15		
#611603	LISSENCEPHALY 3; LIS3		12q13.12		
#611719	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 5; COXPD5		3q23		
#612015	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE In; CDG1N		3p21.1		
#612020	SPASTIC PARAPLEGIA 39, AUTOSOMAL RECESSIVE; SPG39		19p13.2		
#612069	AMYOTROPHIC LATERAL SCLEROSIS 10 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS10	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED, INCLUDED	1p36.22		
#612073	MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (ENCEPHALOMYOPATHIC WITH OR WITHOUT METHYLMALONIC ACIDURIA); MTDPS5		13q14.2		
#612164	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4		9q34.11		
#612199	CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS 1; CRMCC1		17p13.1		
#612233	LEUKODYSTROPHY, HYPOMYELINATING, 4; HLD4		2q33.1		
#612304	THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL RECESSIVE; THPH4		2q14.3		
#612319	SPASTIC PARAPLEGIA 35, AUTOSOMAL RECESSIVE; SPG35		16q23.1		
#612389	PONTOCEREBELLAR HYPOPLASIA, TYPE 2B; PCH2B		3p25.2		
#612438	LEUKODYSTROPHY, HYPOMYELINATING, 6; HLD6		19p13.3		
#612513	CHROMOSOME 2p16.1-p15 DELETION SYNDROME		2p16.1-p15	2:54700000-63900000	
#612539	SPASTIC PARAPLEGIA 42, AUTOSOMAL DOMINANT; SPG42		3q25.31		
#612674	POLYNEUROPATHY, HEARING LOSS, ATAXIA, RETINITIS PIGMENTOSA, AND CATARACT; PHARC		20p11.21		
#612716	DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAPTERIN REDUCTASE DEFICIENCY		2p13.2		
#612918	CONGENITAL LIPOMATOUS OVERGROWTH, VASCULAR MALFORMATIONS, AND EPIDERMAL NEVI		3q26.32		
#612936	SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50		7q22.1		
#612949	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 39; DEE39		2q31.1		
#612951	LEUKOENCEPHALOPATHY, CYSTIC, WITHOUT MEGALENCEPHALY		6q27		
#612952	AICARDI-GOUTIERES SYNDROME 5; AGS5		20q11.23		
#612953	PARKINSON DISEASE 14, AUTOSOMAL RECESSIVE; PARK14		22q13.1		
#613115	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIB; HSAN2B		5p15.1		
#613162	SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSIVE; SPG45		10q24.32-q24.33		
#613179	PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY		14q11.2		
#613206	SPASTIC PARAPLEGIA 44, AUTOSOMAL RECESSIVE; SPG44		1q42.13		
#613280	HYPERMANGANESEMIA WITH DYSTONIA 1; HMNDYT1		1q41		
#613454	RETT SYNDROME, CONGENITAL VARIANT		14q12		
#613457	CHROMOSOME 14q11-q22 DELETION SYNDROME		14q11-q22	14:17200000-57600000	
#613477	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 5; DEE5		9q34.11		
#609195	SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE; SPG26		12q13.3		
#609241	SCHINDLER DISEASE, TYPE I	ALPHA-N-ACETYLGALACTOSAMINIDASE DEFICIENCY, TYPE III, INCLUDED	22q13.2		
#609260	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2A2A; CMT2A2A		1p36.22		
#609304	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 3; DEE3		11p15.5		
#609340	SPASTIC PARAPLEGIA 28, AUTOSOMAL RECESSIVE; SPG28		14q22.1		
#609541	SPASTIC PARAPLEGIA, OPTIC ATROPHY, AND NEUROPATHY; SPOAN		11q13.2		
#610042	PITT-HOPKINS-LIKE SYNDROME 1; PTHSL1		7q35-q36		
#610127	CEROID LIPOFUSCINOSIS, NEURONAL, 10; CLN10	NEURONAL CEROID LIPOFUSCINOSIS, CONGENITAL, INCLUDED	11p15.5		
#610181	AICARDI-GOUTIERES SYNDROME 2; AGS2		13q14.3		
#610217	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2B; NBIA2B	KARAK SYNDROME, INCLUDED	22q13.1		
#610244	SPASTIC PARAPLEGIA 33, AUTOSOMAL DOMINANT; SPG33		10q24.2		
#610246	SPINOCEREBELLAR ATAXIA 28; SCA28		18p11.21		
#610250	SPASTIC PARAPLEGIA 31, AUTOSOMAL DOMINANT; SPG31		2p11.2		
#610333	AICARDI-GOUTIERES SYNDROME 4; AGS4		19p13.13		
#610357	SPASTIC PARAPLEGIA 30, AUTOSOMAL DOMINANT; SPG30	SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSIVE, INCLUDED	2q37.3		
#610678	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 4; COXPD4		16p11.2		
#610743	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 8; SCAR8		6q25.2		
#611091	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5; MRT5		5p15.31		
#611105	LEUKOENCEPHALOPATHY WITH BRAINSTEM AND SPINAL CORD INVOLVEMENT AND LACTATE ELEVATION; LBSL		1q25.1		
#611225	SPASTIC PARAPLEGIA 18, AUTOSOMAL RECESSIVE; SPG18		8p11.23		
#611302	SPASTIC ATAXIA 2, AUTOSOMAL RECESSIVE; SPAX2		17p13.2		
#611390	SPASTIC ATAXIA 3, AUTOSOMAL RECESSIVE; SPAX3		2q33.1		
#613647	SPASTIC PARAPLEGIA 48, AUTOSOMAL RECESSIVE; SPG48		7p22.1		
#613668	MICROCEPHALY, POSTNATAL PROGRESSIVE, WITH SEIZURES AND BRAIN ATROPHY		11q21		
