OMIM Search - '+cs_neurologic:("developmental delay" OR "delayed development" OR "Delayed motor development" OR "Delayed psychomotor development" OR "Developmental motor delay" OR "Delayed walking development" OR "Delayed global development" OR "Global developmental delay" OR "Motor delay" OR "Fine motor impairment" OR "Psychomotor delay" OR "Delayed gross motor development" OR "Impaired psychomotor development" OR "Poor motor development" OR "Delay in gross motor development" OR "Lack of motor development" OR "Psychomotor retardation" OR "Lack of psychomotor development" OR "Developmental arrest" OR "Progressive psychomotor deterioration" OR "Developmental regression" OR "Psychomotor development failure" OR "Motor deterioration" OR "Motor retardation" OR "Retarded psychomotor development" OR "Delayed gross motor skills" OR "Arrest of psychomotor development" OR "Delay in motor development" OR "Delayed motor and speech development" OR "Limited gross motor development" OR "No psychomotor development" OR "Loss of motor functions" OR "Retarded motor development" OR "Motor development delayed" OR "Regression of psychomotor development" OR "Absence of development" OR "delayed early gross motor development" OR "absent psychomotor development" OR "Slowed development" OR "Poor fine motor skills" OR "Delayed motor skills" OR "Progressive motor function loss" OR "loss of motor skills" OR "Pervasive developmental disorder" OR "Motor and sensory neuropathy" OR "Delayed motor milestones" OR "Impaired fine motor skills" OR "Locomotor delay" OR "Psychomotor regression" OR "Motor deficits" OR "motor loss" OR "Loss of fine motor skills" OR "Psychomotor degeneration" OR "motor signs" OR "motor neuron" OR "motor skill delay" OR "Developmental retardation" OR "Motor impairment" OR "motor axonal neuropathy" OR "Loss of developmental skills" OR "Developmental deterioration" OR "Delayed developmental milestones" OR "Abnormal development" OR "Delayed early motor milestones" OR "Impaired motor control" OR "Motor regression" OR "Lack of neurologic development" OR "Motor abnormalities" OR "Defects in fine motor skills" OR "Impairment of gross and fine motor coordination" OR "motor incoordination" OR "Psychomotor impairment" OR "Lack of developmental progress" OR "Arrest of development" OR "Lack of development" OR "Lack of developmental progress" OR "Lack of developmental milestones" OR "Developmental disability" OR "Poor or absent global development" OR "Poor or lack of developmental progress" OR "Delayed gross motor milestones" OR "Neuromotor delay") (Search in: Prefixes: #, Chromosomes: 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y)'
Downloaded:	Nov 17, 2020
#615960	PORETTI-BOLTSHAUSER SYNDROME; PTBHS		18p11.31		
#618197	MYASTHENIC SYNDROME, CONGENITAL, 23, PRESYNAPTIC; CMS23		22q11.21		
#618198	MYASTHENIC SYNDROME, CONGENITAL, 24, PRESYNAPTIC; CMS24		15q23		
#618244	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 23; MC1DN23		12q22		
#618797	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION; NEDHRIT		14q13.2		
#607131	AL-GAZALI-BAKALINOVA SYNDROME; AGBK		15q26.1		
#617182	LANGUAGE DELAY AND ATTENTION DEFICIT-HYPERACTIVITY DISORDER/COGNITIVE IMPAIRMENT WITH OR WITHOUT CARDIAC ARRHYTHMIA; LADCI		15q21.2		
#614020	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 14; MRT14		19p13.12		
#614298	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4; NBIA4		19q12		
#615817	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 43; MRT43		12q23.3		
#270450	INSULIN-LIKE GROWTH FACTOR I, RESISTANCE TO; IGF1RES	INSULIN-LIKE GROWTH FACTOR I, RESISTANCE TO, DUE TO INCREASED BINDING PROTEIN, INCLUDED	15q26.3		
#619051	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 7; MC4DN7		19q13.12		
#616716	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 5; RCDP5		12p13.31		
#606232	PHELAN-MCDERMID SYNDROME; PHMDS		22q13.33		
#610978	CHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM WITH OR WITHOUT PULMONARY DYSFUNCTION; CAHTP		14q13.3		
#617404	MUSCULAR DYSTROPHY, CONGENITAL, WITH CATARACTS AND INTELLECTUAL DISABILITY; MDCCAID		17p13.3		
#613684	RUBINSTEIN-TAYBI SYNDROME 2; RSTS2		22q13.2		
#615851	PONTOCEREBELLAR HYPOPLASIA, TYPE 2E; PCH2E		17p13.3		
#300623	FRAGILE X TREMOR/ATAXIA SYNDROME; FXTAS		Xq27.3		
#618346	MICROCEPHALY, GROWTH DEFICIENCY, SEIZURES, AND BRAIN MALFORMATIONS; MIGSB		21q22.3		
#617258	MYOPATHY, MYOFIBRILLAR, 8; MFM8		12p12.1		
#618050	MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57		17q23.2		
#618430	DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA		22q13.2		
#618906	INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS		17q23.2-q23.3		
#618974	LI-GHORBANI-WEISZ-HUBSHMAN SYNDROME; LIGOWS		16p11.2		
#619033	VISSERS-BODMER SYNDROME; VIBOS		16q21		
#619056	NEURODEVELOPMENTAL DISORDER WITH SPEECH IMPAIRMENT AND DYSMORPHIC FACIES; NEDSID		16p11.2		
#618392	SPONDYLOEPIPHYSEAL DYSPLASIA, KONDO-FU TYPE; SEDKF		16q23.3-q24.1		
#300558	MENTAL RETARDATION, X-LINKED 30; MRX30		Xq23		
#602099	AMYOTROPHIC LATERAL SCLEROSIS 5, JUVENILE; ALS5		15q21.1		
#616439	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 4; FTDALS4		12q14.2		
#245200	KRABBE DISEASE		14q31.3		
#256731	CEROID LIPOFUSCINOSIS, NEURONAL, 5; CLN5	NEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, FINNISH VARIANT, INCLUDED	13q22.3		
#218000	AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY; ACCPN		15q14		
#231550	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME; AAAS	ACHALASIA-ALACRIMA SYNDROME, INCLUDED	12q13.13		
#616866	SPINAL MUSCULAR ATROPHY WITH CONGENITAL BONE FRACTURES 1; SMABF1		15q22.31		
#613179	PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY		14q11.2		
#604317	MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT CORTICAL MALFORMATIONS; MCPH2		19q13.12		
#618213	INFLAMMATORY BOWEL DISEASE, IMMUNODEFICIENCY, AND ENCEPHALOPATHY; IBDIMDE		19q13.2		
#211530	BROWN-VIALETTO-VAN LAERE SYNDROME 1; BVVLS1		20p13		
#613454	RETT SYNDROME, CONGENITAL VARIANT		14q12		
#604360	SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSIVE; SPG11		15q21.1		
#130060	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1; EDSARTH1		17q21.33		
#617284	DYSTONIA 28, CHILDHOOD-ONSET; DYT28		19q13.12		
#312080	PELIZAEUS-MERZBACHER DISEASE; PMD		Xq22.2		
#609180	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE If; CDG1F		17p13.1		
#605021	MYOCLONIC EPILEPSY, FAMILIAL INFANTILE; FIME		16p13.3		
#184260	ODONTOCHONDRODYSPLASIA; ODCD		14q32.12		
#601808	CHROMOSOME 18q DELETION SYNDROME		18q	18:18500000-80373285	
#244450	KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS		12q24.11		
#302060	BARTH SYNDROME; BTHS		Xq28		
#613849	OSTEOGENESIS IMPERFECTA, TYPE XII; OI12		12q13.13		
#256850	GIANT AXONAL NEUROPATHY 1, AUTOSOMAL RECESSIVE; GAN1		16q23.2		
#300842	MCLEOD SYNDROME; MCLDS	MCLEOD SYNDROME WITH CHRONIC GRANULOMATOUS DISEASE, INCLUDED	Xp21.1		
#617721	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IX; HMN9		14q32.2		
#616212	LISSENCEPHALY 6 WITH MICROCEPHALY; LIS6		16q21		
#601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURAL HEARING LOSS; CAPOS		19q13.2		
#300352	CEREBRAL CREATINE DEFICIENCY SYNDROME 1; CCDS1		Xq28		
#618060	INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA; IDDECA		15q22.2		
#618150	SAUL-WILSON SYNDROME; SWILS		16q22.1		
#618776	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 34; MC1DN34		17q25.3		
#612301	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7; OPTB7		18q21.33		
#601780	CEROID LIPOFUSCINOSIS, NEURONAL, 6; CLN6		15q23		
#604004	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1; MLC1		22q13.33		
#221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 1; PLOSL1		19q13.12		
#135700	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 1; CFEOM1	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B, INCLUDED; CFEOM3B, INCLUDED	12q12		
#215470	BOUCHER-NEUHAUSER SYNDROME; BNHS		19p13.2		
#607485	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED	APHASIA, PRIMARY PROGRESSIVE, INCLUDED; PPA, INCLUDED	17q21.31		
#608627	AMYOTROPHIC LATERAL SCLEROSIS 8; ALS8		20q13.32		
#614153	SPINOCEREBELLAR ATAXIA 36; SCA36		20p13		
#615048	SPINAL MUSCULAR ATROPHY, JOKELA TYPE; SMAJ		22q11.23		
#615512	TRIOSEPHOSPHATE ISOMERASE DEFICIENCY; TPID		12p13.31		
#615911	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 2; FTDALS2		22q11.23		
#616840	PARKINSON DISEASE 23, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK23		15q22.2		
#225790	PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY-HYDROCEPHALY SYNDROME; PVHH		14q24.3		
#260565	PEHO SYNDROME; PEHO		17q12		
#300475	DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH	CONTIGUOUS ABCD1/DXS1375E DELETION SYNDROME, INCLUDED; CADDS, INCLUDED	Xq28		
#614019	LISSENCEPHALY 4; LIS4		16p13.11		
#615182	COMBINED D-2- AND L-2-HYDROXYGLUTARIC ACIDURIA; D2L2AD		22q11.21		
#615473	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 17; DEE17		16q13		
#616570	CEREBROOCULOFACIOSKELETAL SYNDROME 3; COFS3		13q33.1		
#616647	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 35; DEE35		20p13		
#616681	MICROCEPHALY 16, PRIMARY, AUTOSOMAL RECESSIVE; MCPH16		12q24.33		
#236600	HYDROCEPHALUS, CONGENITAL, 1; HYC1		14q32.11-q32.12		
#617900	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8; IIAE8		12q14.2		
#618236	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 14; MC1DN14		19p13.3		
#618416	METABOLIC CRISES, RECURRENT, WITH VARIABLE ENCEPHALOMYOPATHIC FEATURES AND NEUROLOGIC REGRESSION; MECREN		19p13.11		
#618886	PSEUDO-TORCH SYNDROME 3; PTORCH3		12q13.3		
#619063	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 19; MC4DN19		20p11.23		
#301013	MENTAL RETARDATION, X-LINKED 107; MRX107		Xq24		
#254800	MYOCLONIC EPILEPSY OF UNVERRICHT AND LUNDBORG		21q22.3		
#618564	MICROANGIOPATHY AND LEUKOENCEPHALOPATHY, PONTINE, AUTOSOMAL DOMINANT; PADMAL		13q34		
#618912	SORBITOL DEHYDROGENASE DEFICIENCY WITH PERIPHERAL NEUROPATHY; SORDD		15q21.1		
#117000	CENTRAL CORE DISEASE OF MUSCLE; CCD	MINICORE MYOPATHY, MODERATE, WITH HAND INVOLVEMENT, INCLUDED	19q13.2		
#118700	CHOREA, BENIGN HEREDITARY; BHC		14q13.3		
#605259	SPINOCEREBELLAR ATAXIA 13; SCA13		19q13.33		
#300166	MICROPHTHALMIA, SYNDROMIC 2; MCOPS2		Xp11.4		
#130720	LATERAL MENINGOCELE SYNDROME; LMNS		19p13.12		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#180800	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA		1q23.3, 17p12		
#181405	SCAPULOPERONEAL SPINAL MUSCULAR ATROPHY; SPSMA		12q24.11		
#182600	SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT; SPG3A		14q22.1		
#219200	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIA; ARCL2A		12q24.31		
#602541	MUSCULAR DYSTROPHY, CONGENITAL, MEGACONIAL TYPE; MDCMC		22q13.33		
#248900	MAST SYNDROME		15q22.31		
#251450	DESBUQUOIS DYSPLASIA 1; DBQD1	DESBUQUOIS DYSPLASIA, KIM VARIANT, INCLUDED	17q25.3		
#255320	MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA		19q13.2		
#255995	MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB		12q13.3		
#264700	VITAMIN D HYDROXYLATION-DEFICIENT RICKETS, TYPE 1A; VDDR1A		12q14.1		
#277440	VITAMIN D-DEPENDENT RICKETS, TYPE 2A; VDDR2A		12q13.11		
#300067	LISSENCEPHALY, X-LINKED, 1; LISX1	SUBCORTICAL LAMINAR HETEROTOPIA, X-LINKED, INCLUDED; SCLH, INCLUDED	Xq23		
#300615	BRUNNER SYNDROME; BRNRS	ANTISOCIAL BEHAVIOR, SUSCEPTIBILITY TO, INCLUDED	Xp11.3		
#302500	SPINOCEREBELLAR ATAXIA, X-LINKED 1; SCAX1		Xq28		
#302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1		Xq13.1		
#309350	MELNICK-NEEDLES SYNDROME; MNS		Xq28		
#309800	MICROPHTHALMIA, SYNDROMIC 1; MCOPS1		Xq28		
#310440	MYOPATHY, X-LINKED, WITH EXCESSIVE AUTOPHAGY; MEAX		Xq28		
#311070	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 5; CMTX5		Xq22.3		
#608747	INSULIN-LIKE GROWTH FACTOR I DEFICIENCY		12q23.2		
#608931	MYASTHENIC SYNDROME, CONGENITAL, 4C, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY; CMS4C		17p13.2		
#611603	LISSENCEPHALY 3; LIS3		12q13.12		
#612438	LEUKODYSTROPHY, HYPOMYELINATING, 6; HLD6		19p13.3		
#613027	GLYCOGEN STORAGE DISEASE IXc; GSD9C		16p11.2		
#613153	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 5; MDDGA5		19q13.32		
#613156	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 2; MDDGB2		14q24.3		
#613158	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 2; MDDGC2		14q24.3		
#613204	MUSCULAR DYSTROPHY, CONGENITAL, DUE TO INTEGRIN ALPHA-7 DEFICIENCY		12q13.2		
#613391	DEAFNESS, AUTOSOMAL RECESSIVE 84A; DFNB84A		12q21.31		
#613402	MICROCEPHALY, SEIZURES, AND DEVELOPMENTAL DELAY; MCSZ		19q13.33		
#609311	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4H; CMT4H		12p11.21		
#610687	NEMALINE MYOPATHY 7; NEM7		14q13.1		
#610773	MITOCHONDRIAL PHOSPHATE CARRIER DEFICIENCY; MPCD		12q23.1		
#610954	PITT-HOPKINS SYNDROME; PTHS		18q21.2		
#613717	TREACHER COLLINS SYNDROME 2; TCS2		13q12.2		
#613803	MEIER-GORLIN SYNDROME 3; MGORS3		16q11.2		
#614198	MYASTHENIC SYNDROME, CONGENITAL, 16; CMS16		17q23.3		
#614228	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O; CMT2O		14q32.31		
#614869	USHER SYNDROME, TYPE IJ; USH1J		15q25.1		
#614895	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 4F; CMT4F		19q13.2		
#615582	LOEYS-DIETZ SYNDROME 5; LDS5		14q24.3		
#616078	MENTAL RETARDATION, AUTOSOMAL DOMINANT 29; MRD29		18q12.3		
#616313	MYASTHENIC SYNDROME, CONGENITAL, 2A, SLOW-CHANNEL; CMS2A		17p13.1		
#616324	MYASTHENIC SYNDROME, CONGENITAL, 4B, FAST-CHANNEL; CMS4B		17p13.2		
#616723	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, FADEN-ALKURAYA TYPE; SEMDFA		16q13		
#616733	COENZYME Q10 DEFICIENCY, PRIMARY, 8; COQ10D8		16p12.3		
#617066	MUSCULAR DYSTROPHY, CONGENITAL, DAVIGNON-CHAUVEAU TYPE; MDCDC		15q22.31		
#618124	PERIPHERAL NEUROPATHY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; PNRIID		21q22.3		
#618323	MYASTHENIC SYNDROME, CONGENITAL, 25, PRESYNAPTIC; CMS25		12p13.31		
#618775	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 10; MC3DN10		19q12		
#618793	INTELLECTUAL DEVELOPMENTAL DISORDER 62; MRD62		17p13.1		
#619028	COENZYME Q10 DEFICIENCY, PRIMARY, 9; COQ10D9		12q24.31		
#271930	STRIATONIGRAL DEGENERATION, INFANTILE; SNDI		19q13.33		
#300322	LESCH-NYHAN SYNDROME; LNS	HPRT DEFICIENCY, NEUROLOGIC VARIANT, INCLUDED	Xq26.2-q26.3		
#300803	MENTAL RETARDATION, X-LINKED 97; MRX97		Xq21.1		
#300844	MENTAL RETARDATION, X-LINKED 19; MRX19		Xp22.12		
#300888	HYPOTHYROIDISM, CENTRAL, WITH TESTICULAR ENLARGEMENT; CHTE		Xq26.1		
#300990	MIDFACE HYPOPLASIA, HEARING IMPAIRMENT, ELLIPTOCYTOSIS, AND NEPHROCALCINOSIS; MFHIEN		Xq23		
#613982	OSTEOGENESIS IMPERFECTA, TYPE VI; OI6		17p13.3		
#616113	POLYENDOCRINE-POLYNEUROPATHY SYNDROME; PEPNS		15q21.2		
#616734	SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 2; CSCSC2		18q12.1-q12.2		
#617102	SHORT-RIB THORACIC DYSPLASIA 16 WITH OR WITHOUT POLYDACTYLY; SRTD16		20q13.12		
#617439	CRANIOSYNOSTOSIS 7; CRS7		15q22.31		
#617808	COFFIN-SIRIS SYNDROME 6; CSS6		12q12		
#618672	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF		19q13.42		
#618840	ALOPECIA-MENTAL RETARDATION SYNDROME 4; APMR4		21q22.3		
#618889	LIBERFARB SYNDROME; LIBF		22q12.2		
#602535	MARSHALL-SMITH SYNDROME; MRSHSS		19p13.13		
#247200	MILLER-DIEKER LISSENCEPHALY SYNDROME; MDLS	CHROMOSOME 17p13.3 DELETION SYNDROME, INCLUDED	17p13.3		
#613752	HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY		20q11.22		
#614753	SOTOS SYNDROME 2; SOTOS2		19p13.13		
#145420	HYPERTELORISM, TEEBI TYPE; TBHS		22q11.23		
#618229	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 7; MC1DN7		18p11.22		
#308350	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 1; DEE1		Xp21.3		
#242150	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL RECESSIVE; KIDAR		22q12.2		
#613320	SPONDYLOMETAPHYSEAL DYSPLASIA, MEGARBANE-DAGHER-MELKI TYPE; SMDMDM		16p13.3		
#300661	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY	GOUT, PRPS-RELATED, INCLUDED	Xq22.3		
#618419	GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY; GDRM		14q13.2		
#226750	KOHLSCHUTTER-TONZ SYNDROME; KTZS		16p13.3		
#300672	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2		Xp22.13		
#614558	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13		12q13.13		
#614924	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 12; COXPD12		16p12.2		
#615369	EPILEPTIC ENCEPHALOPATHY, CHILDHOOD-ONSET; EEOC		15q26.1		
#615398	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 3; MCAHS3		20q13.12		
#300884	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 36; DEE36	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Is, INCLUDED; CDG1S, INCLUDED	Xq23		
#300986	MENTAL RETARDATION, X-LINKED, SYNDROMIC, BAIN TYPE; MRXSB		Xq22.1		
#617193	ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND THIN CORPUS CALLOSUM; PEBAT		17q25.3		
#617600	MENTAL RETARDATION, AUTOSOMAL DOMINANT 45; MRD45		19q13.2		
#617664	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 32; COXPD32		16p13.3		
#300148	MEHMO SYNDROME; MEHMO		Xp22.11		
#609029	EMANUEL SYNDROME		22q11.2	22:17400000-25500000	
#176270	PRADER-WILLI SYNDROME; PWS	PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED; PWCR, INCLUDED	15q11.2, 15q11.2		
#208085	ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 1; ARCS1		15q26.1		
#211380	ELSAHY-WATERS SYNDROME; ESWS		16q21		
#218340	TEMTAMY SYNDROME; TEMTYS		12p13.31		
#604377	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 2; MC4DN2		22q13.33		
