OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 10, 11, 12, 13)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.
#149200	BART-PUMPHREY SYNDROME; BAPS		13q12.11		
#149730	LACRIMOAURICULODENTODIGITAL SYNDROME; LADD		4p16.3, 5p12, 10q26.13		
#150600	LEGG-CALVE-PERTHES DISEASE; LCPD		12q13.11		
#151100	LEOPARD SYNDROME 1; LPRD1		12q24.13		
#151210	PLATYSPONDYLIC LETHAL SKELETAL DYSPLASIA, TORRANCE TYPE; PLSDT	PLATYSPONDYLIC LETHAL SKELETAL DYSPLASIA, LUTON TYPE, INCLUDED; PLSDL, INCLUDED	12q13.11		
#152950	MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR		10q23.33		
#153700	MACULAR DYSTROPHY, VITELLIFORM, 2; VMD2		11q12.3		
#154020	HYPOMAGNESEMIA 2, RENAL; HOMG2		11q23.3		
#155240	THYROID CARCINOMA, FAMILIAL MEDULLARY; MTC		10q11.21		
#155255	MEDULLOBLASTOMA; MDB	MEDULLOBLASTOMA, DESMOPLASTIC, INCLUDED	1p34.1, 3p22.1, 10q24.32, 13q13.1		
#156240	MESOTHELIOMA, MALIGNANT; MESOM		1p22.3, 11p13		
#156250	METACHONDROMATOSIS; METCDS		12q24.13		
#156530	METATROPIC DYSPLASIA		12q24.11		
#156550	KNIEST DYSPLASIA		12q13.11		
#156600	MICROCORIA, CONGENITAL		13q32	13:94400000-101100000	
#158000	MONILETHRIX; MNLIX		12q13.13, 12q13.13, 12q13.13		
#158350	COWDEN SYNDROME 1; CWS1	LHERMITTE-DUCLOS DISEASE, INCLUDED; LDD, INCLUDED	10q23.31		
#158590	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA; HMN2A		12q24.23		
#160120	EPISODIC ATAXIA, TYPE 1; EA1	MYOKYMIA 1, INCLUDED	12p13.32		
#160565	MYOPATHY, TUBULAR AGGREGATE, 1; TAM1		11p15.4		
#162300	MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIB; MEN2B	MUCOSAL NEUROMA SYNDROME, INCLUDED	10q11.21		
#162900	NEVUS, EPIDERMAL	NEVUS SEBACEOUS, INCLUDED	1p13.2, 3q26.32, 4p16.3, 11p15.5		
#163200	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM		1p13.2, 11p15.5, 12p12.1		
#163950	NOONAN SYNDROME 1; NS1	PTERYGIUM COLLI SYNDROME, INCLUDED	12q24.13		
#164230	OBSESSIVE-COMPULSIVE DISORDER; OCD		13q14.2, 17q11.2		
#165550	OPTIC NERVE HYPOPLASIA, BILATERAL	OPTIC NERVE APLASIA, BILATERAL, INCLUDED	11p13		
#166260	GNATHODIAPHYSEAL DYSPLASIA; GDD		11p14.3		
#166700	BUSCHKE-OLLENDORFF SYNDROME; BOS	OSTEOPOIKILOSIS, ISOLATED, INCLUDED	12q14.3		
#166710	OSTEOPOROSIS	FRACTURE, HIP, SUSCEPTIBILITY TO, INCLUDED	5q31.1, 7q21.3, 7q21.3, 11p12, 11q13.2, 17q21.33, 20p12.3		
#166750	OTODENTAL DYSPLASIA	OTODENTAL SYNDROME WITH COLOBOMA, INCLUDED	11q13	11:63600000-77400000	
#166760	OTITIS MEDIA, SUSCEPTIBILITY TO; OMS		12p13.31		
#167000	OVARIAN CANCER	OVARIAN CANCER, EPITHELIAL, INCLUDED	3p22.1, 3q26.32, 6q26, 11q25, 14q32.33, 16q22.1		
#168000	PARAGANGLIOMAS 1; PGL1	PARAGANGLIOMAS WITH SENSORINEURAL HEARING LOSS, INCLUDED	11q23.1		
#168400	PARASTREMMATIC DWARFISM		12q24.11		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#170650	PERIODONTITIS, AGGRESSIVE, 1		11q14.2		
#171300	PHEOCHROMOCYTOMA		1p36.22, 1p36.13, 2q11.2, 3p25.3, 5p13.2, 10q11.21, 11q23.1, 14q23.3		
#171400	MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA; MEN2A	THYROID CARCINOMA, FAMILIAL MEDULLARY, INCLUDED	10q11.21		
#174400	POLYDACTYLY, PREAXIAL I; PPD1	THENAR HYPOPLASIA, INCLUDED	12q13.3		
#174900	JUVENILE POLYPOSIS SYNDROME; JPS	JUVENILE POLYPOSIS OF STOMACH, INCLUDED	10q23.2, 18q21.2		
#175780	BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1		13q34		
#175900	POROKERATOSIS 3, MULTIPLE TYPES; POROK3		12q24.11		
#176000	PORPHYRIA, ACUTE INTERMITTENT; AIP	PORPHYRIA, ACUTE INTERMITTENT, NONERYTHROID VARIANT, INCLUDED	11q23.3		
#176500	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 1		13q14.2		
#176807	PROSTATE CANCER		7p22.3, 10p15.2, 10q23.31, 10q25.2, 13q13.1, 16q22.1, 16q22.2-q22.3, 22q12.1, Xq12		
#177700	GLAUCOMA 1, OPEN ANGLE, P; GLC1P		12q14	12:57700000-67300000	
#178500	PULMONARY FIBROSIS, IDIOPATHIC; IPF	HAMMAN-RICH DISEASE, INCLUDED	10q22.3, 11p15.5		
#180860	SILVER-RUSSELL SYNDROME 1; SRS1		11p15.5		
#181405	SCAPULOPERONEAL SPINAL MUSCULAR ATROPHY; SPSMA		12q24.11		
#181450	ULNAR-MAMMARY SYNDROME; UMS		12q24.21		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#183090	SPINOCEREBELLAR ATAXIA 2; SCA2	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 13, INCLUDED; ALS13, INCLUDED	12q24.12		
#183900	SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC		12q13.11		
#184095	SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE		12q24.11		
#184250	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE; SEMDSTWK		12q13.11		
#184252	SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE; SMDK		12q24.11		
#185070	STORMORKEN SYNDROME; STRMK		11p15.4		
#187950	THROMBOCYTHEMIA 1; THCYT1		3q27.1, 12q24.12, 19p13.13		
#188000	THROMBOCYTOPENIA 2; THC2		10p12.1		
#188025	THROMBOCYTOPENIA, PARIS-TROUSSEAU TYPE; TCPT		11q23	11:110600000-121300000	
#188050	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	THROMBOSIS, PROTECTION AGAINST, INCLUDED	1p36.22, 6p25.1, 10q25.3, 11p11.2		
#188470	THYROID CANCER, NONMEDULLARY, 2; NMTC2		1p13.2, 10q23.2, 11p15.5, 12q14.2		
#191830	RENAL HYPODYSPLASIA/APLASIA 1; RHDA1		10p13		
#192500	LONG QT SYNDROME 1; LQT1	LONG QT SYNDROME 1/2, DIGENIC, INCLUDED; LQT1/2, DIGENIC, INCLUDED	11p15.5-p15.4		
#193100	HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL DOMINANT; ADHR		12p13.32		
#193220	VITREORETINOCHOROIDOPATHY; VRCP	MICROCORNEA, ROD-CONE DYSTROPHY, CATARACT, AND POSTERIOR STAPHYLOMA 2, INCLUDED; MRCS2, INCLUDED	11q12.3		
#193235	VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY; VRNI		11q13.5		
#193300	VON HIPPEL-LINDAU SYNDROME; VHLS	VON HIPPEL-LINDAU SYNDROME, MODIFIERS OF, INCLUDED	3p25.3, 11q13.3		
#193400	VON WILLEBRAND DISEASE, TYPE 1; VWD1		12p13.31		
#193900	WHITE SPONGE NEVUS 1; WSN1		12q13.13		
#194070	WILMS TUMOR 1; WT1		11p13, 13q13.1, Xq26.2		
#194071	WILMS TUMOR 2; WT2		11p15.5		
#194072	WILMS TUMOR, ANIRIDIA, GENITOURINARY ANOMALIES, AND MENTAL RETARDATION SYNDROME; WAGR		11p13	11:31000000-36400000	
#194080	DENYS-DRASH SYNDROME; DDS		11p13		
#194300	WOOLLY HAIR, AUTOSOMAL DOMINANT; ADWH		12q13.13		
#200610	ACHONDROGENESIS, TYPE II; ACG2	HYPOCHONDROGENESIS, INCLUDED	12q13.11		
#201300	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIA; HSAN2A		12p13.33		
#201470	ACYL-CoA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF; ACADSD		12q24.31		
#202110	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY	17,20-LYASE DEFICIENCY, ISOLATED, INCLUDED	10q24.32		
#202370	PEROXISOME BIOGENESIS DISORDER 2B; PBD2B		12p13.31		
#203100	ALBINISM, OCULOCUTANEOUS, TYPE IA; OCA1A		11q14.3		
#203300	HERMANSKY-PUDLAK SYNDROME 1; HPS1		10q24.2		
#203750	ALPHA-METHYLACETOACETIC ACIDURIA		11q22.3		
#204500	CEROID LIPOFUSCINOSIS, NEURONAL, 2; CLN2	NEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, INCLUDED; LINCL, INCLUDED	11p15.4		
#204750	2-AMINOADIPIC 2-OXOADIPIC ACIDURIA; AMOXAD		10p14		
#206100	ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1; AHMIO1		12q13.12		
#207410	ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS; ABS2		10q26.13		
#208900	ATAXIA-TELANGIECTASIA; AT	AT, COMPLEMENTATION GROUP A, INCLUDED; ATA, INCLUDED	11q22.3		
#209880	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	ONDINE-HIRSCHSPRUNG DISEASE, INCLUDED; OHD, INCLUDED	4p13, 5p13.2, 10q11.21, 12q23.2, 20q13.32		
#209900	BARDET-BIEDL SYNDROME 1; BBS1		1p35.2, 3q11.2, 11q13.2		
#209920	BARE LYMPHOCYTE SYNDROME, TYPE II	BARE LYMPHOCYTE SYNDROME, TYPE II, COMPLEMENTATION GROUP A, INCLUDED	1q21.3, 13q13.3, 16p13.13, 19p13.11		
#211180	BOWEN-CONRADI SYNDROME; BWCNS		12p13.31		
#211980	LUNG CANCER	ALVEOLAR CELL CARCINOMA, INCLUDED	1q24.3, 2q33.1, 3q26.32, 5q31.1, 6q26, 7p11.2, 7q34, 10p11.23, 10q11.23, 11p15.4, 11q23.1, 12p12.1, 17q12, 19q13.2		
#212070	CARBOXYPEPTIDASE N DEFICIENCY		10q24.2		
#212780	CENANI-LENZ SYNDACTYLY SYNDROME; CLSS		11p11.2		
#214110	PEROXISOME BIOGENESIS DISORDER 2A (ZELLWEGER); PBD2A	PEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP 2, INCLUDED; CG2, INCLUDED	12p13.31		
#214150	CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1		10q11.23		
#215600	CIRRHOSIS, FAMILIAL	CIRRHOSIS, FAMILIAL, WITH PULMONARY HYPERTENSION, INCLUDED	12q13.13, 12q13.13		
#217300	CORNEA PLANA 2, AUTOSOMAL RECESSIVE; CNA2		12q21.33		
#218040	COSTELLO SYNDROME; CSTLO	MYOPATHY, CONGENITAL, WITH EXCESS OF MUSCLE SPINDLES, INCLUDED; CMEMS, INCLUDED	11p15.5		
#218340	TEMTAMY SYNDROME; TEMTYS		12p13.31		
#219150	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA; ARCL3A		10q24.1		
#219200	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIA; ARCL2A		12q24.31		
