OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 3, 4, 5)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.
#172800	PIEBALD TRAIT; PBT		4q12, 8q11.21		
#175100	FAMILIAL ADENOMATOUS POLYPOSIS 1; FAP1	GARDNER SYNDROME, INCLUDED; GS, INCLUDED	5q22.2		
#175510	GIST-PLUS SYNDROME; GISTPS		4q12		
#177735	PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL DOMINANT; PHA1A		4q31.23		
#180500	AXENFELD-RIEGER SYNDROME, TYPE 1; RIEG1		4q25		
#180550	RING DERMOID OF CORNEA; RDC		4q25		
#180700	ROBINOW SYNDROME, AUTOSOMAL DOMINANT 1; DRS1		3p14.3		
#180920	APLASIA OF LACRIMAL AND SALIVARY GLANDS; ALSG	SALIVARY GLANDS, ABSENCE OF, INCLUDED	5p12		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#181600	HURIEZ SYNDROME; HRZ		4q22.3		
#182000	KERATOSIS, SEBORRHEIC		3q26.32		
#182170	ANEMIA, SIDEROBLASTIC, 4; SIDBA4		5q31.2		
#182230	SEPTOOPTIC DYSPLASIA	PITUITARY HORMONE DEFICIENCY, COMBINED, 5, INCLUDED; CPHD5, INCLUDED	3p14.3		
#182920	MYOPATHY, SPHEROID BODY		5q31.2		
#186550	LIEBENBERG SYNDROME; LBNBG		5q31.1		
#187500	TETRALOGY OF FALLOT; TOF		5q35.1, 8p23.1, 8q23.1, 18q11.2, 20p12.2, 22q11.21		
#187600	THANATOPHORIC DYSPLASIA, TYPE I; TD1		4p16.3		
#187601	THANATOPHORIC DYSPLASIA, TYPE II; TD2		4p16.3		
#187950	THROMBOCYTHEMIA 1; THCYT1		3q27.1, 12q24.12, 19p13.13		
#188570	THYROID HORMONE RESISTANCE, GENERALIZED, AUTOSOMAL DOMINANT; GRTH		3p24.2		
#188890	TOBACCO ADDICTION, SUSCEPTIBILITY TO		5p15.33, 9q22.33, 19q13.2, 20q13.33		
#189500	WITKOP SYNDROME		4p16.2		
#190300	TREMOR, HEREDITARY ESSENTIAL, 1; ETM1		3q13.31		
#190330	TRICHOMEGALY; TCMGLY		4q21.21		
#192315	VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKODYSTROPHY; RVCL		3p21.31		
#192600	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1		3p25.3, 14q11.2, 20q11.21		
#192605	VENTRICULAR TACHYCARDIA, FAMILIAL		3p21.31		
#193300	VON HIPPEL-LINDAU SYNDROME; VHLS	VON HIPPEL-LINDAU SYNDROME, MODIFIERS OF, INCLUDED	3p25.3, 11q13.3		
#193510	WAARDENBURG SYNDROME, TYPE 2A; WS2A		3p13		
#193530	WEYERS ACROFACIAL DYSOSTOSIS; WAD		4p16.2, 4p16.2		
#194190	WOLF-HIRSCHHORN SYNDROME; WHS		4p16.3		
#200100	ABETALIPOPROTEINEMIA; ABL		4q23		
#202400	AFIBRINOGENEMIA, CONGENITAL	HYPOFIBRINOGENEMIA, CONGENITAL, INCLUDED	4q31.3, 4q31.3, 4q32.1		
#203500	ALKAPTONURIA; AKU		3q13.33		
#203650	ALOPECIA-MENTAL RETARDATION SYNDROME 1; APMR1		3q26.3-q27.3	3:171200000-188200000	
#204650	AMELOGENESIS IMPERFECTA, TYPE IC; AI1C		4q13.3		
#205950	ANEMIA, SIDEROBLASTIC, 2, PYRIDOXINE-REFRACTORY; SIDBA2		3p22.1		
#206500	ANENCEPHALY; ANPH		5q22.3		
#206700	GILLESPIE SYNDROME; GLSP		3p26.1		
#206900	MICROPHTHALMIA, SYNDROMIC 3; MCOPS3	OPTIC NERVE HYPOPLASIA AND ABNORMALITIES OF THE CENTRAL NERVOUS SYSTEM, INCLUDED	3q26.33		
#208100	ARTHROGRYPOSIS MULTIPLEX CONGENITA 2, NEUROGENIC TYPE; AMC2		5q35.1		
#208400	ASPARTYLGLUCOSAMINURIA; AGU		4q34.3		
#208540	RENAL-HEPATIC-PANCREATIC DYSPLASIA 1; RHPD1		3q22.1		
#209300	ATRANSFERRINEMIA	TRANSFERRIN SERUM LEVEL QUANTITATIVE TRAIT LOCUS 1, INCLUDED; TFQTL1, INCLUDED	3q22.1		
#209880	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	ONDINE-HIRSCHSPRUNG DISEASE, INCLUDED; OHD, INCLUDED	4p13, 5p13.2, 10q11.21, 12q23.2, 20q13.32		
#209900	BARDET-BIEDL SYNDROME 1; BBS1		1p35.2, 3q11.2, 11q13.2		
#210000	BEHR SYNDROME; BEHRS		3q29		
#210100	BETA-AMINOISOBUTYRIC ACIDURIA; BAIBA		5p13.2		
#210200	3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY; MCC1D		3q27.1		
#210210	3-METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY; MCC2D		5q13.2		
#210370	BIETTI CRYSTALLINE CORNEORETINAL DYSTROPHY; BCD		4q35.1-q35.2		
#210600	SECKEL SYNDROME 1; SCKL1		3q23		
#211750	C SYNDROME		3q13.1-q13.2		
#211980	LUNG CANCER	ALVEOLAR CELL CARCINOMA, INCLUDED	1q24.3, 2q33.1, 3q26.32, 5q31.1, 6q26, 7p11.2, 7q34, 10p11.23, 10q11.23, 11p15.4, 11q23.1, 12p12.1, 17q12, 19q13.2		
#212093	CARDIAC VALVULAR DEFECT, DEVELOPMENTAL; CVDD		3q26.31		
#212138	CARNITINE-ACYLCARNITINE TRANSLOCASE DEFICIENCY; CACTD		3p21.31		
#212140	CARNITINE DEFICIENCY, SYSTEMIC PRIMARY; CDSP		5q31.1		
#214950	BILE ACID SYNTHESIS DEFECT, CONGENITAL, 4; CBAS4		5p13.2		
#215045	CHONDRODYSPLASIA, BLOMSTRAND TYPE; BOCD		3p21.31		
#216360	COACH SYNDROME		4p15.32, 8q22.1, 16q12.2		
#216400	COCKAYNE SYNDROME A; CSA		5q12.1		
#218330	CRANIOECTODERMAL DYSPLASIA 1; CED1		3q21.3-q22.1		
#219000	FRASER SYNDROME 1; FRASRS1		4q21.21		
#600151	BARDET-BIEDL SYNDROME 3; BBS3		3q11.2		
#600627	HYPERTRYPTOPHANEMIA; HYPTRP		4q32.1		
#600791	DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT; DFNB4		1q23.2, 5q35.1, 7q22.3		
#600795	FRONTOTEMPORAL DEMENTIA, CHROMOSOME 3-LINKED; FTD3		3p11.2		
#600807	ASTHMA, SUSCEPTIBILITY TO	ASTHMA, PROTECTION AGAINST, INCLUDED	2q22.1, 4q13.3, 5q31.1, 5q32, 5q32, 6p22.1, 6p21.33, 6p12.3, 10q11.21, 17q12		
#600882	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B; CMT2B		3q21.3		
#600919	CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED	LONG QT SYNDROME 4, INCLUDED; LQT4, INCLUDED	4q25-q26		
#600955	PROPROTEIN CONVERTASE 1/3 DEFICIENCY		5q15		
#600965	DEAFNESS, AUTOSOMAL DOMINANT 6; DFNA6		4p16.1		
#600971	DEAFNESS, AUTOSOMAL RECESSIVE 6; DFNB6		3p21.31		
#600972	ACHONDROGENESIS, TYPE IB; ACG1B		5q32		
#601110	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id; CDG1D		3q27.1		
#601144	BRUGADA SYNDROME 1; BRGDA1	CARDIAC CONDUCTION DEFECT, NONSPECIFIC, INCLUDED	3p22.2		
#601154	CARDIOMYOPATHY, DILATED, 1E; CMD1E		3p22.2		
#601198	HYPOCALCEMIA, AUTOSOMAL DOMINANT 1; HYPOC1	HYPOCALCEMIA, AUTOSOMAL DOMINANT 1, WITH BARTTER SYNDROME, INCLUDED	3q13.3-q21.1		
#601287	MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 6; LGMDR6		5q33.2-q33.3		
#601386	DEAFNESS, AUTOSOMAL RECESSIVE 12; DFNB12		3p25.3, 10q22.1		
#601492	MUCOPOLYSACCHARIDOSIS, TYPE IX; MPS9		3p21.31		
#601665	OBESITY	LEANNESS, INCLUDED	1p36.11, 1p35.2, 2p23.3, 3p25.3, 3p25.2, 5q13.2, 5q32, 6q23.2, 8p11.23, 11q13.4, 16q22.1		
#601812	PREMATURE AGING SYNDROME, PENTTINEN TYPE; PENTT		5q32		
#602082	CORNEAL DYSTROPHY, THIEL-BEHNKE TYPE; CDTB		5q31.1		
#602089	HEMANGIOMA, CAPILLARY INFANTILE		2p13.3, 4q12, 5q35.3		
#602342	PIERPONT SYNDROME; PRPTS		3q26.32		
#602459	DEAFNESS, AUTOSOMAL DOMINANT 15; DFNA15		5q32		
#602501	MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP		3q26.32		
#602668	MYOTONIC DYSTROPHY 2; DM2		3q21.3		
#602849	MUENKE SYNDROME; MNKES		4p16.3		
#603034	MYASTHENIC SYNDROME, CONGENITAL, 5; CMS5		3p25.1		
#603543	LIMB-MAMMARY SYNDROME; LMS		3q28		
#603671	ACROMELIC FRONTONASAL DYSOSTOSIS; AFND		5q12.1		
#603786	STARGARDT DISEASE 4; STGD4		4p15.32		
#603830	LONG QT SYNDROME 3; LQT3	LONG QT SYNDROME 3, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED	3p22.2		
#603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	VANISHING WHITE MATTER LEUKODYSTROPHY WITH OVARIAN FAILURE, INCLUDED	1p34.1, 2p23.3, 3q27.1, 12q24.31, 14q24.3		
#604129	EPIDERMOLYSIS BULLOSA PRURIGINOSA		3p21.31		
#604218	ENCEPHALOPATHY, FAMILIAL, WITH NEUROSERPIN INCLUSION BODIES; FENIB		3q26.1		
#604271	GROWTH HORMONE INSENSITIVITY, PARTIAL; GHIP	INCREASED RESPONSIVENESS TO GROWTH HORMONE, INCLUDED	5p13-p12		
#604278	RENAL TUBULAR ACIDOSIS, PROXIMAL, WITH OCULAR ABNORMALITIES AND MENTAL RETARDATION		4q13.3		
#604286	MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 4; LGMDR4		4q12		
#604290	ACERULOPLASMINEMIA	HYPOCERULOPLASMINEMIA, INCLUDED	3q24-q25		
#604292	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3; EEC3		3q28		
#604326	SPINOCEREBELLAR ATAXIA 12; SCA12		5q32		
#604352	FEBRILE SEIZURES, FAMILIAL, 4; FEB4		5q14.3		
#604367	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3; FPLD3		3p25.2		
#604379	HYPOTRICHOSIS 7; HYPT7	WOOLLY HAIR, AUTOSOMAL RECESSIVE 2, WITH OR WITHOUT HYPOTRICHOSIS, INCLUDED; ARWH2, INCLUDED	3q27.2		
#604387	NEPHRONOPHTHISIS 3; NPHP3		3q22.1		
#604400	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5; ARVD5		3p25.1		
#604484	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, OKINAWA TYPE; HMSNO		3q12.2		
#604757	CRANIOSYNOSTOSIS 2; CRS2		5q35.2		
#604928	WOLFRAM SYNDROME 2; WFS2		4q24		
#225410	EHLERS-DANLOS SYNDROME, DERMATOSPARAXIS TYPE; EDSDERMS		5q35.3		
#225500	ELLIS-VAN CREVELD SYNDROME; EVC		4p16.2, 4p16.2		
#225750	AICARDI-GOUTIERES SYNDROME 1; AGS1	AICARDI-GOUTIERES SYNDROME 1, AUTOSOMAL DOMINANT, INCLUDED	3p21.31		
