OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 14, 15, 16, 17)'
Downloaded:	Nov 17, 2020
#125595	DERMATOPATHIA PIGMENTOSA RETICULARIS; DPR		17q21.2		
#125853	TYPE 2 DIABETES MELLITUS; T2D	INSULIN RESISTANCE, SUSCEPTIBILITY TO, INCLUDED	2q24.1, 2q31.3, 2q36.3, 3p25.2, 3q26.2, 3q27.2, 4p16.1, 5q34-q35.2, 6p21.31, 6q23.2, 7p13, 7q31.1, 7q32.1, 8q24.11, 10q25.2-q25.3, 11p15.1, 11p15.1, 11p11.2, 11q14.3, 12q24.31, 13q12.2, 13q34, 15q21.3, 17q12, 19p13.2, 19q13.2, 20q13.12, 20q13.13		
#127700	DYSLEXIA, SUSCEPTIBILITY TO, 1; DYX1	DYSLEXIA, SUSCEPTIBILITY TO, 4, INCLUDED; DYX4, INCLUDED	15q21.3		
#128200	EPISODIC KINESIGENIC DYSKINESIA 1; EKD1		16p11.2		
#128230	DYSTONIA, DOPA-RESPONSIVE; DRD		14q22.2		
#129600	ECTOPIA LENTIS 1, ISOLATED, AUTOSOMAL DOMINANT; ECTOL1		15q21.1		
#179800	RENAL TUBULAR ACIDOSIS, DISTAL, 1; DRTA1		17q21.31		
#601553	HYPOTRICHOSIS, CONGENITAL, WITH JUVENILE MACULAR DYSTROPHY; HJMD		16q22.1		
#601606	TRICHOEPITHELIOMA, MULTIPLE FAMILIAL, 1		16q12.1		
#601626	LEUKEMIA, ACUTE MYELOID; AML	LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED	2p23.3, 3q21.3, 3q27-q28, 4q12, 4q12, 5p15.33, 5q35.1, 9p24.1, 9q34.13, 10p12.31, 11q14.2, 12p13.2, 12p12.1, 13q12.2, 16q22.1, 19p13.3, 19q13.11, 21q22.12		
#601634	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE; NTDFS	SPINA BIFIDA, FOLATE-SENSITIVE, INCLUDED	1p36.22, 1q43, 5p15.31, 14q23.3		
#220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS		16p13.3		
#222700	LYSINURIC PROTEIN INTOLERANCE; LPI		14q11.2		
#224120	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ia; CDAN1A		15q15.2		
#224230	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1; DKCB1		15q14		
#225280	ECTODERMAL DYSPLASIA, ECTRODACTYLY, AND MACULAR DYSTROPHY SYNDROME; EEMS		16q22.1		
#605282	TEMTAMY PREAXIAL BRACHYDACTYLY SYNDROME; TPBS		15q26.3		
#607131	AL-GAZALI-BAKALINOVA SYNDROME; AGBK		15q26.1		
#607151	MOYAMOYA DISEASE 2; MYMY2		17q25.3		
#607174	MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO		10q23.31, 10q24.32, 17q21.2, 22q12.1, 22q12.2, 22q13.1		
#607196	MICROCEPHALY, AMISH TYPE; MCPHA		17q25.1		
#607200	THYROID DYSHORMONOGENESIS 6; TDH6		15q21.1		
#600059	RETINITIS PIGMENTOSA 13; RP13		17p13.3		
#609053	FANCONI ANEMIA, COMPLEMENTATION GROUP I; FANCI		15q26.1		
#609152	HYPERTHYROIDISM, NONAUTOIMMUNE		14q31.1		
#609165	ERYTHRODERMA, ICHTHYOSIFORM, CONGENITAL RETICULAR; CRIE	ERYTHROKERATODERMA, RETICULAR, INCLUDED	17q21.2		
#130060	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1; EDSARTH1		17q21.33		
#131760	EPIDERMOLYSIS BULLOSA SIMPLEX, DOWLING-MEARA TYPE; EBSDM		12q13.13, 17q21.2		
#131800	EPIDERMOLYSIS BULLOSA SIMPLEX, LOCALIZED		12q13.13, 17q21.2, 17q25.1		
#131900	EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZED		12q13.13, 17q21.2		
#132700	CYLINDROMATOSIS, FAMILIAL		16q12.1		
#132900	AORTIC ANEURYSM, FAMILIAL THORACIC 4; AAT4		16p13.11		
#133239	ESOPHAGEAL CANCER	ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED	3p24.1, 8p21.3, 13q12.13, 16q23.1-q23.2, 18q21.2		
#134600	FANCONI RENOTUBULAR SYNDROME 1; FRTS1		15q21.1		
#134610	FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT		16p13.3		
#135150	BIRT-HOGG-DUBE SYNDROME; BHD		17p11.2		
#135400	HYPERTRICHOSIS, CONGENITAL GENERALIZED, WITH OR WITHOUT GINGIVAL HYPERPLASIA; HTC3		17q24.2-q24.3	17:66200000-72900000	
#136120	FISH-EYE DISEASE; FED		16q22.1		
#136140	FLOATING-HARBOR SYNDROME; FLHS		16p11.2		
#136880	FUNDUS ALBIPUNCTATUS	RETINITIS PUNCTATA ALBESCENS, INCLUDED	3q22.1, 6p21.1, 12q13.2, 15q26.1		
#137215	GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC	BREAST CANCER, LOBULAR, INCLUDED; LBC, INCLUDED	2q14.1, 2q14.1, 12p12.1, 16q22.1		
#137800	GLIOMA SUSCEPTIBILITY 1; GLM1	GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED	2q34, 17p13.1, 17q12		
#137920	RENAL CYSTS AND DIABETES SYNDROME; RCAD		17q12		
#138800	GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS; MNG1		14q32.13		
#139300	AROMATASE EXCESS SYNDROME; AEXS	GYNECOMASTIA, FAMILIAL, DUE TO INCREASED AROMATASE ACTIVITY, INCLUDED	15q21.2		
#139393	GUILLAIN-BARRE SYNDROME, FAMILIAL; GBS	POLYNEUROPATHY, INFLAMMATORY DEMYELINATING, CHRONIC, INCLUDED; CIDP, INCLUDED	17p12		
#140700	HEINZ BODY ANEMIAS		11p15.4, 16p13.3, 16p13.3		
#141750	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED		16pter-p13.3		
#143465	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD		4p16.1, 5p13, 6q12, 11p15.5, 16p13, 17p11		
#143470	HYPERALPHALIPOPROTEINEMIA 1; HALP1	HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 10, INCLUDED	16q13		
#143860	HYPERCHLORHIDROSIS, ISOLATED; HYCHL		15q22.2		
#144200	PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC; EPPK	PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS, INCLUDED	12q13.13, 17q21.2		
#145500	HYPERTENSION, ESSENTIAL		1p36.12, 1q23.3, 1q24.2, 1q42.2, 2p25-p24, 3q24, 4p16.3, 5p13-q12, 7q22.1, 7q36.1, 12p13.31, 12p12.2-p12.1, 15q, 17q, 20q11-q13, 20q13.13		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#147050	IgE RESPONSIVENESS, ATOPIC; IGER	IgE, ELEVATED LEVEL OF, INCLUDED	6p12.3, 11q12.1, 16p12.1, 16p12.1		
#147060	HYPER-IgE RECURRENT INFECTION SYNDROME 1, AUTOSOMAL DOMINANT; HIES1		17q21.2		
#147430	MARSILI SYNDROME; MARSIS		14q11.2		
#147891	ISCHIOCOXOPODOPATELLAR SYNDROME WITH OR WITHOUT PULMONARY ARTERIAL HYPERTENSION; ICPPS		17q23.2		
#148050	KBG SYNDROME; KBGS		16q24.3		
#148500	TYLOSIS WITH ESOPHAGEAL CANCER; TOC		17q25.1		
#148600	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE IA; PPKP1A		15q23		
#151623	LI-FRAUMENI SYNDROME; LFS	LI-FRAUMENI-LIKE SYNDROME, INCLUDED; LFL, INCLUDED	17p13.1		
#152700	SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	EXCESS LYMPHOCYTE LOW MOLECULAR WEIGHT DNA, INCLUDED	1p13.2, 1q23.3, 1q23.3, 2q33.2, 3p21.31, 16p13.3		
#153400	LYMPHEDEMA-DISTICHIASIS SYNDROME; LPHDST	LYMPHEDEMA-DISTICHIASIS SYNDROME WITH RENAL DISEASE AND DIABETES MELLITUS, INCLUDED	16q24.1		
#153670	BERNARD-SOULIER SYNDROME, TYPE A2, AUTOSOMAL DOMINANT; BSSA2		17p13.2		
#154700	MARFAN SYNDROME; MFS		15q21.1		
#155950	MELORHEOSTOSIS, ISOLATED; MEL		15q22.31		
#157640	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 1; PEOA1		15q26.1		
#158300	ARTHROGRYPOSIS, DISTAL, TYPE 7; DA7		17p13.1		
#158310	MUCOEPITHELIAL DYSPLASIA, HEREDITARY; HMD		17p11.2		
#158600	SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 1, AUTOSOMAL DOMINANT; SMALED1		14q32.31		
#160500	MYOPATHY, DISTAL, 1; MPD1		14q11.2		
#160980	CARNEY COMPLEX, TYPE 1; CNC1		17q24.2		
#161000	NAEGELI-FRANCESCHETTI-JADASSOHN SYNDROME; NFJS		17q21.2		
#161400	NARCOLEPSY 1; NRCLP1	CATAPLEXY, INCLUDED	17q21.2		
#162000	HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 1; HNFJ1		16p12.3		
#162100	AMYOTROPHY, HEREDITARY NEURALGIC; HNA		17q25.3		
#162200	NEUROFIBROMATOSIS, TYPE I; NF1		17q11.2		
#162210	NEUROFIBROMATOSIS, FAMILIAL SPINAL		17q11.2		
#162500	NEUROPATHY, HEREDITARY, WITH LIABILITY TO PRESSURE PALSIES; HNPP		17p12		
#163800	SICK SINUS SYNDROME 2; SSS2		15q24.1		
#164230	OBSESSIVE-COMPULSIVE DISORDER; OCD		13q14.2, 17q11.2		
#164300	OCULOPHARYNGEAL MUSCULAR DYSTROPHY; OPMD		14q11.2		
#164745	OMODYSPLASIA 2; OMOD2		17q21.31		
#165800	SHORT STATURE AND ADVANCED BONE AGE, WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS; SSOAOD		15q26.1		
#166200	OSTEOGENESIS IMPERFECTA, TYPE I; OI1		17q21.33		
#166210	OSTEOGENESIS IMPERFECTA, TYPE II; OI2		7q21.3, 17q21.33		
#166220	OSTEOGENESIS IMPERFECTA, TYPE IV; OI4		7q21.3, 17q21.33		
#166600	OSTEOPETROSIS, AUTOSOMAL DOMINANT 2; OPTA2		16p13.3		
#166710	OSTEOPOROSIS	FRACTURE, HIP, SUSCEPTIBILITY TO, INCLUDED	5q31.1, 7q21.3, 7q21.3, 11p12, 11q13.2, 17q21.33, 20p12.3		
#166900	OVALOCYTOSIS, SOUTHEAST ASIAN; SAO		17q21.31		
#167000	OVARIAN CANCER	OVARIAN CANCER, EPITHELIAL, INCLUDED	3p22.1, 3q26.32, 6q26, 11q25, 14q32.33, 16q22.1		
#167200	PACHYONYCHIA CONGENITA 1; PC1		17q21.2		
#167210	PACHYONYCHIA CONGENITA 2; PC2		17q21.2		
#168300	PARAMYOTONIA CONGENITA OF VON EULENBURG; PMC	PARAMYOTONIA CONGENITA WITHOUT COLD PARALYSIS, INCLUDED	17q23.3		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#170390	ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARALYSIS		17q24.3		
#170500	HYPERKALEMIC PERIODIC PARALYSIS; HYPP	NORMOKALEMIC PERIODIC PARALYSIS, POTASSIUM-SENSITIVE, INCLUDED	17q23.3		
#171300	PHEOCHROMOCYTOMA		1p36.22, 1p36.13, 2q11.2, 3p25.3, 5p13.2, 10q11.21, 11q23.1, 14q23.3		
#172700	PICK DISEASE OF BRAIN		14q24.2, 17q21.31		
#173100	ISOLATED GROWTH HORMONE DEFICIENCY, TYPE II; IGHD2		17q23.3		
#173200	PITYRIASIS RUBRA PILARIS; PRP		17q25.3		
#173600	PNEUMOTHORAX, PRIMARY SPONTANEOUS		17p11.2		
#173900	POLYCYSTIC KIDNEY DISEASE 1 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE; PKD1		16p13.3		
#176270	PRADER-WILLI SYNDROME; PWS	PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED; PWCR, INCLUDED	15q11.2, 15q11.2		
#176430	PREMATURE CHROMATID SEPARATION TRAIT; PCS		15q15.1		
#176807	PROSTATE CANCER		7p22.3, 10p15.2, 10q23.31, 10q25.2, 13q13.1, 16q22.1, 16q22.2-q22.3, 22q12.1, Xq12		
#176920	PROTEUS SYNDROME	ELATTOPROTEUS SYNDROME, INCLUDED	14q32.33		
#177200	LIDDLE SYNDROME 1; LIDLS1		16p12.2		
#177650	EXFOLIATION SYNDROME; XFS		15q24.1		
#177820	PSEUDO-VON WILLEBRAND DISEASE; VWDP		17p13.2		
#177850	PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE	PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED	16p13.11		
#178110	CONTRACTURES, PTERYGIA, AND SPONDYLOCARPOTARSAL FUSION SYNDROME 1A; CPSFS1A		17p13.1		
#179300	RADIOULNAR SYNOSTOSIS, NONSYNDROMIC, SUSCEPTIBILITY TO; RUS		15q22.31		
#180800	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA		1q23.3, 17p12		
#180849	RUBINSTEIN-TAYBI SYNDROME 1; RSTS1		16p13.3		
#181430	SCAPULOPERONEAL MYOPATHY, MYH7-RELATED; SPMM		14q11.2		
#182290	SMITH-MAGENIS SYNDROME; SMS	SMITH-MAGENIS SYNDROME CHROMOSOME REGION, INCLUDED; SMCR, INCLUDED	17p11.2		
#182600	SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT; SPG3A		14q22.1		
#182940	NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO; NTD	SPINA BIFIDA, INCLUDED	1p13.1, 1q23.2, 6q27, 17q12, 19q13.33		
#184260	ODONTOCHONDRODYSPLASIA; ODCD		14q32.12		
#184450	STUTTERING, FAMILIAL PERSISTENT, 1; STUT1		15q21.2		
#184460	STAPES ANKYLOSIS WITH BROAD THUMBS AND TOES		17q22		
#184500	STEATOCYSTOMA MULTIPLEX		17q21.2		
#184900	STIFF SKIN SYNDROME; SSKS		15q21.1		
#185020	CRYOHYDROCYTOSIS; CHC		17q21.31		
#185800	SYMPHALANGISM, PROXIMAL, 1A; SYM1A		17q22		
#186500	MULTIPLE SYNOSTOSES SYNDROME 1; SYNS1		17q22		
#186570	TARSAL-CARPAL COALITION SYNDROME; TCC	SYNOSTOSIS OF TALUS AND CALCANEUS WITH SHORT STATURE, INCLUDED	17q22		
#186580	BLAU SYNDROME; BLAUS		16q12.1		
#187800	BLEEDING DISORDER, PLATELET-TYPE, 16; BDPLT16		17q21.31, 17q21.32		
#188550	THYROID CANCER, NONMEDULLARY, 1; NMTC1		14q13.3		
#190320	TRICHODENTOOSSEOUS SYNDROME; TDO		17q21.33		
#191800	BLADDER DYSFUNCTION, AUTONOMIC, WITH IMPAIRED PUPILLARY REFLEX AND SECONDARY CAKUT; BAIPRCK		15q25.1		
#192600	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1		3p25.3, 14q11.2, 20q11.21		
#193520	WATSON SYNDROME; WTSN		17q11.2		
#193700	ARTHROGRYPOSIS, DISTAL, TYPE 2A; DA2A		17p13.1		
#194380	DEHYDRATED HEREDITARY STOMATOCYTOSIS 1 WITH OR WITHOUT PSEUDOHYPERKALEMIA AND/OR PERINATAL EDEMA; DHS1		16q24.3		
#200600	ACHONDROGENESIS, TYPE IA; ACG1A		14q32.12		
#200990	ACROCALLOSAL SYNDROME; ACLS	JOUBERT SYNDROME 12, INCLUDED; JBTS12, INCLUDED	15q26.1		
#201475	ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF; ACADVLD		17p13.1		
#202300	ADRENOCORTICAL CARCINOMA, HEREDITARY; ADCC	ADRENOCORTICAL CARCINOMA, PEDIATRIC, INCLUDED	17p13.1		
#203200	ALBINISM, OCULOCUTANEOUS, TYPE II; OCA2	ALBINISM, BROWN OCULOCUTANEOUS, INCLUDED; BOCA, INCLUDED	15q12-q13, 16q24.3		
#203450	ALEXANDER DISEASE; ALXDRD		17q21.31		
#203700	MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE); MTDPS4A		15q26.1		
#204000	LEBER CONGENITAL AMAUROSIS 1; LCA1		17p13.1		
#204200	CEROID LIPOFUSCINOSIS, NEURONAL, 3; CLN3		16p12.1		
#204300	CEROID LIPOFUSCINOSIS, NEURONAL, 4A, AUTOSOMAL RECESSIVE; CLN4A		15q23		
#204690	AMELOGENESIS IMPERFECTA, TYPE IG; AI1G		17q24.2		
#206920	MICROPHTHALMIA WITH LIMB ANOMALIES; MLA		14q24.2		
#208085	ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 1; ARCS1		15q26.1		
#208550	ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE	ASTHMA, ASPIRIN-INDUCED, SUSCEPTIBILITY TO, INCLUDED	14q22.1, 17q21.32		
#209920	BARE LYMPHOCYTE SYNDROME, TYPE II	BARE LYMPHOCYTE SYNDROME, TYPE II, COMPLEMENTATION GROUP A, INCLUDED	1q21.3, 13q13.3, 16p13.13, 19p13.11		
#210750	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 6; SHEP6		14q32.12		
#210900	BLOOM SYNDROME; BLM		15q26.1		
#211380	ELSAHY-WATERS SYNDROME; ESWS		16q21		
#211400	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1; BESC1		7q31.2, 16p12.2		
#211980	LUNG CANCER	ALVEOLAR CELL CARCINOMA, INCLUDED	1q24.3, 2q33.1, 3q26.32, 5q31.1, 6q26, 7p11.2, 7q34, 10p11.23, 10q11.23, 11p15.4, 11q23.1, 12p12.1, 17q12, 19q13.2		
#212065	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A		16p13.2		
#212066	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIa; CDG2A		14q21.3		
#212550	OPTIC DISC ANOMALIES WITH RETINAL AND/OR MACULAR DYSTROPHY; ODRMD		14q23.1		
#214300	KLIPPEL-FEIL SYNDROME 2, AUTOSOMAL RECESSIVE; KFS2		17q21.31		
#214450	GRISCELLI SYNDROME, TYPE 1; GS1		15q21.2		
#215500	CHOROIDAL DYSTROPHY, CENTRAL AREOLAR, 1; CACD1		17p13.1		
#216360	COACH SYNDROME		4p15.32, 8q22.1, 16q12.2		
#216820	COLOBOMA, OCULAR, AUTOSOMAL RECESSIVE		14q11.2		
#217800	MACULAR DYSTROPHY, CORNEAL; MCD	MACULAR CORNEAL DYSTROPHY, TYPE II, INCLUDED	16q23.1		
#218000	AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY; ACCPN		15q14		
#218030	APPARENT MINERALOCORTICOID EXCESS; AME		16q22.1		
#219090	PITUITARY ADENOMA 4, ACTH-SECRETING; PITA4		15q21.2		
#219100	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA; ARCL1A		14q32.12		
#219750	CYSTINOSIS, ADULT NONNEPHROPATHIC		17p13.2		
#219800	CYSTINOSIS, NEPHROPATHIC; CTNS	CYSTINOSIS, INFANTILE NEPHROPATHIC, INCLUDED	17p13.2		
#219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE		17p13.2		
#600273	POLYCYSTIC KIDNEY DISEASE, INFANTILE SEVERE, WITH TUBEROUS SCLEROSIS; PKDTS		16p13.3		
#600274	FRONTOTEMPORAL DEMENTIA; FTD	PICK COMPLEX, INCLUDED	14q24.2, 17q21.31		
#600316	DEAFNESS, AUTOSOMAL RECESSIVE 3; DFNB3		17p11.2		
#600348	BAND HETEROTOPIA; BH		14q32.2		
#600363	SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT; SPG6		15q11.2		
#600625	OROFACIAL CLEFT 11; OFC11	CLEFT LIP, CONGENITAL HEALED, INCLUDED	14q22.2		
#600638	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT; CFEOM3A		16q24.3		
#600807	ASTHMA, SUSCEPTIBILITY TO	ASTHMA, PROTECTION AGAINST, INCLUDED	2q22.1, 4q13.3, 5q31.1, 5q32, 5q32, 6p22.1, 6p21.33, 6p12.3, 10q11.21, 17q12		
#600852	RETINITIS PIGMENTOSA 17; RP17		17q23.1		
#600881	CATARACT 10, MULTIPLE TYPES; CTRCT10		17q11.2		
#600977	CONE-ROD DYSTROPHY 5; CORD5		17p13.2-p13.1		
#600987	CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR		15q14		
#601001	EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL RECESSIVE 1; EBSB1		12q13.13, 17q21.2		
#601003	BRODY MYOPATHY		16p11.2		
#601088	AYME-GRIPP SYNDROME; AYGRP		16q23.2		
#601098	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1C; CMT1C		16p13.13		
#601104	SUPRANUCLEAR PALSY, PROGRESSIVE, 1; PSNP1		17q21.31		
#601186	MICROPHTHALMIA, SYNDROMIC 9; MCOPS9	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 8, INCLUDED; MCOPCB8, INCLUDED	15q24.1		
#601200	PLEUROPULMONARY BLASTOMA; PPB		14q32.13		
#601214	NAXOS DISEASE; NXD		17q21.2		
#601228	POLYPOSIS SYNDROME, HEREDITARY MIXED, 1; HMPS1	COLORECTAL CANCER, SUSCEPTIBILITY TO, 4, INCLUDED; CRCS4, INCLUDED	15q15.3-q22.1	15:43300000-59000000	
#601321	NEUROFIBROMATOSIS-NOONAN SYNDROME; NFNS		17q11.2		
#601360	AMELIA, POSTERIOR, WITH PELVIC AND PULMONARY HYPOPLASIA SYNDROME; PAPPAS		17q23.2		
#601367	STROKE, ISCHEMIC		1q24.2, 7q36.1, 11p11.2, 13q12.3, 14q23.1		
#601369	DEAFNESS, AUTOSOMAL DOMINANT 9; DFNA9		14q12		
#601495	AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE; AGM1		14q32.33		
#601665	OBESITY	LEANNESS, INCLUDED	1p36.11, 1p35.2, 2p23.3, 3p25.3, 3p25.2, 5q13.2, 5q32, 6q23.2, 8p11.23, 11q13.4, 16q22.1		
