Approved symbol,class,chr,classic_caf,max_af,exon_score
ABHD1,noDisorder_0homko,2,0.00095784,0.00034484,0.619786535303777
ABHD2,noDisorder_0homko,15,0.000031848,0.0000039861,0.92018779342723
ABHD3,noDisorder_0homko,18,0.00031077,0.000039785,0.92869918699187
ABHD4,noDisorder_0homko,14,0.00088844,0.00068333,0.846841593780369
ABHD5,training_validation_brain_disease,3,0.00011938,0.000023874,0.849428571428571
ABHD6,noDisorder_0homko,3,0.000080197,0.00001193,0.807692307692308
ABHD8,noDisorder_0homko,19,0.000032326,0.0000079549,0.78780303030303
ABHD10,noDisorder_0homko,3,0.00012038,0.000020089,0.748751357220413
ABHD11,noDisorder_0homko,7,0.000086328,0.000033748,0.62035864978903
ABHD12,training_validation_brain_disease,20,0.00014368,0.000031813,0.865831244778613
ABHD12B,training_validation_dispensable,14,0.0077518,0.0072311,0.596051423324151
ABHD13,noDisorder_0homko,13,0.0000079957,0.0000040001,0.917554240631164
ABHD14A,noDisorder_0homko,3,0.00010387,0.00002786,0.598406862745098
ABHD14B,training_validation_dispensable,3,0.0088472,0.005642,0.804897314375987
ABHD15,training_validation_dispensable,17,0.0055289,0.0050975,0.602842928216063
ABHD16A,noDisorder_0homko,6,0.00011746,0.000044665,0.916159809183065
ABHD16B,noDisorder_0homko,20,0,0,0.57886524822695
ABHD17A,noDisorder_0homko,19,0.000016583,0.0000043925,0.831296891747053
ABHD17B,noDisorder_0homko,9,0.000020059,0.0000079667,0.970357554786621
ABHD17C,noDisorder_0homko,15,0.0000043462,0.0000043462,0.833737373737374
ABHD18,noDisorder_0homko,4,0.00045683,0.00030458,0.918637992831541
ABI1,noDisorder_0homko,10,0.000016773,0.0000088047,0.968948824343015
ABI2,noDisorder_0homko,2,0.000021361,0.0000047192,0.949171270718232
ABI3,noDisorder_0homko,17,0.00011374,0.000011985,0.612170753860127
ABI3BP,training_validation_dispensable,3,0.00048856,0.00015682,0.721040850587577
ABITRAM,noDisorder_0homko,9,0.00027304,0.0001556,0.836813186813187
ABL1,training_validation_brain_disease,9,0.000016038,0.0000040902,0.798290598290598
ABL2,noDisorder_0homko,1,0.00064909,0.00030271,0.917695125387433
ABLIM1,noDisorder_0homko,10,0.000060627,0.000011955,0.922809457579972
ABLIM2,noDisorder_0homko,4,0.00014186,0.000043167,0.821001031991744
ABLIM3,noDisorder_0homko,5,0.00015155,0.000019884,0.947076023391813
ABO,PMT_noBrain_0homko,9,,,0.253578154425612
ABR,noDisorder_0homko,17,0.000065184,0.0000046313,0.922403100775194
ABRA,noDisorder_0homko,8,0.00021149,0.000067601,0.66020942408377
ABRACL,noDisorder_0homko,6,0.000016052,0.0000040223,0.902439024390244
ABRAXAS1,noDisorder_0homko,4,0.00021113,0.00003983,0.769756097560976
ABRAXAS2,noDisorder_0homko,10,0.000088137,0.000023911,0.870673076923077
ABT1,noDisorder_0homko,6,0.00015837,0.000094533,0.713064713064713
ABTB1,training_validation_dispensable,3,0.0044816,0.0039659,0.886847599164927
ABTB2,noDisorder_0homko,11,0.000098041,0.000012418,0.890285899935023
ACAA1,noDisorder_0homko,3,0.00033118,0.00010071,0.776549019607843
ACAA2,noDisorder_0homko,18,0.00034764,0.00013922,0.84070351758794
ACACA,confirmed_noBrain_0homko,17,,,0.926006711409396
ACACB,training_validation_dispensable,12,0.0016656,0.00015517,0.772346482309882
ACAD8,training_validation_brain_disease,11,0.00028632,0.000036485,0.803926282051282
ACAD9,training_validation_brain_disease,3,0.00028489,0.0001011,0.771168274383709
ACAD10,training_validation_dispensable,12,0.0028382,0.00052501,0.687987421383648
ACAD11,training_validation_dispensable,3,0.025403,0.023875,0.782202304737516
ACADL,noDisorder_0homko,2,0.00067737,0.0002867,0.839597834493426
ACADM,training_validation_brain_disease,1,0.00031071,0.000031821,0.906793048973144
ACADS,training_validation_brain_disease,12,0.00016056,0.000023905,0.830185633575464
ACADSB,training_validation_brain_disease,10,0.00084558,0.00025082,0.754811393379523
ACADVL,training_validation_brain_disease,17,0.000299,0.000028166,0.803810975609756
ACAN,confirmed_noBrain_0homko,15,0.000056348,0.0000081392,0.478850395744129
ACAP1,noDisorder_0homko,17,0.00012081,0.000036142,0.74327485380117
ACAP2,noDisorder_0homko,3,0.000048215,0.0000079584,0.949122807017544
ACAP3,noDisorder_0homko,1,0.000091694,0.0000081938,0.823832335329341
ACAT1,training_validation_brain_disease,11,0.00020775,0.000027968,0.833255451713396
ACAT2,PMT_noBrain_0homko,6,0.00015727,0.000020221,0.793969849246231
ACBD3,noDisorder_0homko,1,0.000052641,0.0000045811,0.891052299936988
ACBD4,noDisorder_0homko,17,0.00012171,0.000028084,0.637472766884532
ACBD5,training_validation_brain_disease,10,0.00014353,0.00007559,0.832319391634981
ACBD6,noDisorder_0homko,1,,,0.850883392226148
ACBD7,training_validation_dispensable,10,0.0010431,0.0010307,0.817602996254682
ACCS,noDisorder_0homko,11,0.0001637,0.000023902,0.746082337317397
ACCSL,noDisorder_0homko,11,0.00037293,0.000096211,0.492149970708846
ACD,PMT_Brain_0homko,16,0.00022458,0.000067892,0.300508351488744
ACE,confirmed_noBrain_0homko,17,0.0011127,0.00046634,0.723947972456006
ACE2,noDisorder_0homko,X,0.000048181,0.000024065,0.720843672456576
ACER1,noDisorder_0homko,19,0.00013854,0.000031893,0.710943396226415
ACER2,noDisorder_0homko,9,0.00010406,0.000027952,0.9256038647343
ACER3,PMT_Brain_0homko,11,0.000041366,0.000012783,0.961691542288557
ACHE,PMT_noBrain_0homko,7,0.0000084616,0.0000044749,0.64059620596206
ACIN1,noDisorder_0homko,14,0.00016358,0.000079698,0.874192747143567
ACKR1,PMT_noBrain_0homko,1,0,0,0.297329376854599
ACKR2,noDisorder_0homko,3,0.00015513,0.00007556,0.301818181818182
ACKR3,noDisorder_0homko,2,0.0000079539,0.0000039772,0.830578512396694
ACKR4,training_validation_dispensable,3,0.00056879,0.00013584,0.66372269705603
ACLY,noDisorder_0homko,17,0.00039718,0.00014065,0.90604960677556
ACMSD,noDisorder_0homko,2,0.00022116,0.00002787,0.919287833827893
ACO1,noDisorder_0homko,9,0.00065926,0.00013928,0.84749063670412
ACO2,training_validation_brain_disease,22,0.00008037,0.000012278,0.904396073410158
ACOD1,noDisorder_0homko,13,0,0,0.70179806362379
ACOT1,training_validation_dispensable,14,0.000033396,0.000013371,0.478672985781991
ACOT2,noDisorder_0homko,14,0.0004003,0.00019487,0.336776859504132
ACOT4,training_validation_dispensable,14,0.099951,0.053853,0.331516587677725
ACOT6,training_validation_dispensable,14,0.00016104,0.000051715,0.440363349131122
ACOT7,noDisorder_0homko,1,0.0000080746,0.0000040643,0.822012578616352
ACOT8,training_validation_dispensable,20,0.016622,0.015381,0.799479166666667
ACOT9,noDisorder_0homko,X,0.00020196,0.000035422,0.855902004454343
ACOT11,noDisorder_0homko,1,0.00069507,0.000071719,0.797983193277311
ACOT12,noDisorder_0homko,5,0.00072935,0.00017569,0.703836930455635
ACOT13,training_validation_dispensable,6,0.0017602,0.00093968,0.73806146572104
ACOX1,training_validation_brain_disease,17,0.00011537,0.000019882,0.869188098840141
ACOX2,training_validation_brain_disease,3,0.0026496,0.0022394,0.649071358748778
ACOX3,training_validation_dispensable,4,0.0011502,0.00046843,0.681027104136947
ACOXL,training_validation_dispensable,2,0.0069876,0.0054893,0.70952380952381
ACP1,noDisorder_0homko,2,0.00011594,0.000015911,0.911111111111111
ACP2,PMT_noBrain_0homko,11,0.00046013,0.00014914,0.812106918238994
ACP3,training_validation_dispensable,3,0.0015074,0.0011313,0.594142980189492
ACP4,confirmed_noBrain_0homko,19,0.00041625,0.000080256,0.576190476190476
ACP5,training_validation_brain_disease,19,0.000060052,0.000012202,0.670245398773006
ACP6,noDisorder_0homko,1,0.000267,0.000071588,0.668298368298368
ACP7,noDisorder_0homko,19,0.00059448,0.00032611,0.736522399392559
ACR,PMT_noBrain_0homko,22,0.000051945,0.000019906,0.300947867298578
ACRBP,noDisorder_0homko,12,0.00041074,0.00012337,0.587622549019608
ACRV1,noDisorder_0homko,11,0.00014331,0.000031816,0.369423558897243
ACSBG1,noDisorder_0homko,15,0.00013985,0.000023863,0.70464367816092
ACSBG2,training_validation_dispensable,19,0.0017072,0.00064495,0.571764117941029
ACSF2,noDisorder_0homko,17,0.00037175,0.00017261,0.717694805194805
ACSF3,confirmed_noBrain_1homko,16,0.00050416,0.000039815,0.644771808203351
ACSL1,noDisorder_0homko,4,0.00011093,0.000013656,0.798283261802575
ACSL3,noDisorder_0homko,2,0.000068265,0.0000042029,0.829218677762367
ACSL4,training_validation_brain_disease,X,0.000033346,0.000022278,0.910084451068058
ACSL5,noDisorder_0homko,10,0.0001794,0.000019892,0.762378167641325
ACSL6,confirmed_noBrain_0homko,5,0.00017589,0.000043873,0.889903181189488
ACSM1,noDisorder_0homko,16,0.0010004,0.00042557,0.502652825836217
ACSM2A,training_validation_dispensable,16,0.032109,0.026043,0.464994232987313
ACSM2B,training_validation_dispensable,16,0.0012902,0.00044943,0.470069204152249
ACSM3,PMT_noBrain_1homko,16,0.010293,0.0063627,0.7068710959682
ACSM4,noDisorder_0homko,12,0.045322,0.043985,0.683476764199656
ACSM5,noDisorder_0homko,16,0.0014815,0.00079564,0.60132183908046
ACSM6,noDisorder_0homko,10,0.00049383,0.00038577,0.388565488565489
ACSS1,noDisorder_0homko,20,0.00013233,0.000015912,0.691642512077295
ACSS2,noDisorder_0homko,20,0.00026322,0.000043804,0.852184235517569
ACSS3,noDisorder_0homko,12,0.00032051,0.000042566,0.856331877729258
ACTA1,training_validation_brain_disease,1,0.0001798,0.000039938,0.958024691358025
ACTA2,training_validation_brain_disease,10,0.000023903,0.0000039853,0.91331569664903
ACTB,training_validation_brain_disease,7,0.0000039782,0.0000039782,0.954343971631206
ACTBL2,noDisorder_0homko,5,0,0,0.877718832891247
ACTC1,confirmed_noBrain_0homko,15,0.000028613,0.000012546,0.957760141093474
ACTG1,training_validation_brain_disease,17,0.000027892,0.0000039934,0.912145390070922
ACTG2,confirmed_noBrain_0homko,2,0.000058025,0.000016991,0.892661361626879
ACTL6A,noDisorder_0homko,3,0.00001198,0.0000040075,0.95062015503876
ACTL6B,training_validation_brain_disease,7,0.000075856,0.0000079721,0.92591725214676
ACTL7A,noDisorder_0homko,9,0,0,0.627217125382263
ACTL7B,noDisorder_0homko,9,0,0,0.606971153846154
ACTL8,noDisorder_0homko,1,0.000027929,0.0000080325,0.577020890099909
ACTL9,noDisorder_0homko,19,0,0,0.502957633892886
ACTL10,noDisorder_0homko,20,0,0,0.52479674796748
ACTN1,confirmed_noBrain_0homko,14,0.000032045,0.0000041682,0.942586520947177
ACTN2,training_validation_brain_disease,1,0.000052294,0.000015916,0.896759776536313
ACTN3,PMT_noBrain_0homko,11,,,0.843865484109386
ACTN4,confirmed_noBrain_0homko,19,0.000019939,0.0000079555,0.888852339181287
ACTR1A,noDisorder_0homko,10,0.000016593,0.0000045621,0.934305923961096
ACTR1B,noDisorder_0homko,2,0.00023204,0.000091545,0.9105216622458
ACTR2,noDisorder_0homko,2,0,0,0.971898734177215
ACTR3,noDisorder_0homko,2,0,0,0.971121718377088
ACTR3B,noDisorder_0homko,7,0.000012798,0.0000048042,0.900875099443118
ACTR3C,noDisorder_0homko,7,0.049699,0.049513,0.778830963665087
ACTR5,noDisorder_0homko,20,0.00026984,0.000043964,0.852412280701754
ACTR6,noDisorder_0homko,12,0.00024155,0.000032162,0.965575146935348
ACTR8,noDisorder_0homko,3,0.00053845,0.000079546,0.930613333333333
ACTR10,noDisorder_0homko,14,0.0001097,0.000031968,0.947767145135566
ACTRT1,noDisorder_0homko,X,0,0,0.614677276746242
ACTRT2,noDisorder_0homko,1,0,0,0.605026455026455
ACTRT3,noDisorder_0homko,3,0.000077907,0.0000094665,0.632529043789097
ACVR1,training_validation_brain_disease,2,0.000071675,0.000015928,0.930261437908497
ACVR1B,confirmed_noBrain_0homko,12,0.0000079538,0.0000039772,0.821146245059289
ACVR1C,noDisorder_0homko,2,0.00015724,0.00007564,0.841295546558704
ACVR2A,noDisorder_0homko,2,0.0000080084,0.000004006,0.955447470817121
ACVR2B,confirmed_noBrain_0homko,3,0.000023871,0.0000039832,0.90896686159844
ACVRL1,training_validation_brain_disease,12,0.000048481,0.000008215,0.658201058201058
ACY1,training_validation_brain_disease,3,0.00054358,0.00012334,0.805623471882641
ACY3,noDisorder_0homko,11,0.000096918,0.000012319,0.4209375
ACYP1,noDisorder_0homko,14,0.000023871,0.000011931,0.836666666666667
ACYP2,noDisorder_0homko,2,0.00010956,0.000065237,0.469556840077071
ADA,confirmed_noBrain_0homko,20,0.00027897,0.00011929,0.73525641025641
ADA2,training_validation_brain_disease,22,0.00031872,0.00012366,0.555078125
ADAD1,noDisorder_0homko,4,0.00017499,0.000096858,0.850722125938764
ADAD2,noDisorder_0homko,16,0.00044652,0.00013233,0.368664383561644
ADAL,noDisorder_0homko,15,0.00012778,0.000015906,0.893632958801498
ADAM2,training_validation_dispensable,8,0.0019073,0.0010523,0.393795289855072
ADAM7,noDisorder_0homko,8,0.0027388,0.002156,0.523002207505519
ADAM8,training_validation_dispensable,10,0.0036875,0.002544,0.262787878787879
ADAM9,confirmed_noBrain_0homko,8,0.00011567,0.000024032,0.829674796747968
ADAM10,confirmed_noBrain_0homko,15,0.0000079591,0.0000039804,0.923052959501558
ADAM11,noDisorder_0homko,17,0.000080634,0.00000797,0.738268398268398
ADAM12,noDisorder_0homko,10,0.00017179,0.000019893,0.704029304029304
ADAM15,noDisorder_0homko,1,0.00048843,0.000055826,0.532523148148148
ADAM17,PMT_noBrain_0homko,2,0.00015593,0.00003984,0.836161616161616
ADAM18,noDisorder_0homko,8,0.0015047,0.00054934,0.471216216216216
ADAM19,noDisorder_0homko,5,0.00019453,0.000039764,0.692491838955386
ADAM20,noDisorder_0homko,14,,,0.264832645575424
ADAM21,noDisorder_0homko,14,0.0003926,0.00007168,0.260073766712771
ADAM22,PMT_Brain_0homko,7,0.00012112,0.000016061,0.907156525066973
ADAM23,noDisorder_0homko,2,0.000047884,0.000011932,0.908243297318928
ADAM28,noDisorder_0homko,8,0.00083313,0.00018078,0.559063573883162
ADAM29,noDisorder_0homko,4,,,0.211814859926918
ADAM30,noDisorder_0homko,1,,,0.20779603876949
ADAM32,training_validation_dispensable,8,0.00021366,0.000040184,0.410321489001692
ADAM33,noDisorder_0homko,20,0.00032872,0.000080739,0.426126126126126
ADAMDEC1,noDisorder_0homko,8,0.00041863,0.000075884,0.456475583864119
ADAMTS1,noDisorder_0homko,21,0.00012119,0.000031819,0.720626721763085
ADAMTS2,training_validation_brain_disease,5,0.00033399,0.0001492,0.747882288228823
ADAMTS3,confirmed_noBrain_0homko,4,0.00028986,0.000064826,0.790298507462687
ADAMTS4,noDisorder_0homko,1,0.00028035,0.000067873,0.646101829753381
ADAMTS5,noDisorder_0homko,21,0.00016689,0.000016161,0.814070891514501
ADAMTS6,noDisorder_0homko,5,0.000048168,0.0000079629,0.976982707215265
ADAMTS7,training_validation_dispensable,15,0.00039897,0.000072208,0.536395969176052
ADAMTS8,training_validation_dispensable,11,0.00048037,0.000080474,0.594906367041198
ADAMTS9,noDisorder_0homko,3,0.00033107,0.000039887,0.840358126721763
ADAMTS10,training_validation_brain_disease,19,0.000072168,0.0000080423,0.862892512077295
ADAMTS12,noDisorder_0homko,5,0.00083214,0.0002325,0.676698014629049
ADAMTS13,training_validation_brain_disease,9,0.00029718,0.000019921,0.55167638483965
ADAMTS14,noDisorder_0homko,10,0.00042954,0.000043929,0.715495642701525
ADAMTS15,noDisorder_0homko,11,0.00014777,0.000020453,0.732036452856642
ADAMTS16,noDisorder_0homko,5,0.00020381,0.000020542,0.625986394557823
ADAMTS17,confirmed_noBrain_1homko,15,0.0003016,0.000031968,0.812530413625304
ADAMTS18,confirmed_noBrain_0homko,16,0.00059763,0.000087546,0.802673213311511
ADAMTS19,noDisorder_0homko,5,0.00020696,0.000016027,0.866529379461834
ADAMTS20,noDisorder_0homko,12,0.0017283,0.00024782,0.790842490842491
ADAMTSL1,noDisorder_0homko,9,0.0002557,0.000011958,0.831650595575723
ADAMTSL2,training_validation_brain_disease,9,0.000031955,0.0000040233,0.806022408963585
ADAMTSL3,noDisorder_0homko,15,0.00037408,0.000015931,0.714519306540583
ADAMTSL4,confirmed_noBrain_1homko,1,0.0021143,0.0012074,0.40862015503876
ADAMTSL5,noDisorder_0homko,19,0.00028962,0.000061428,0.648234463276836
ADAP1,noDisorder_0homko,7,0.000056855,0.000016255,0.733777777777778
ADAP2,training_validation_dispensable,17,0.00073389,0.00030344,0.700523560209424
ADAR,training_validation_brain_disease,1,0.00011982,0.000016266,0.613311600108666
ADARB1,training_validation_brain_disease,21,0.0000079817,0.000004005,0.841310541310541
ADARB2,noDisorder_0homko,10,0.000024,0.0000040439,0.835720720720721
ADAT1,noDisorder_0homko,16,0.0004504,0.000051722,0.654473161033797
ADAT2,noDisorder_0homko,6,0.00015235,0.00002407,0.791493055555556
ADAT3,training_validation_brain_disease,19,0.00010093,0.000054097,0.404347826086956
ADCK1,noDisorder_0homko,14,0.00043131,0.000071572,0.864567430025445
ADCK2,training_validation_dispensable,7,0.0049594,0.0036395,0.597820308346624
ADCK5,noDisorder_0homko,8,0.000093419,0.000011991,0.606999426276535
ADCY1,PMT_noBrain_0homko,7,0.000060301,0.000019899,0.884196428571429
ADCY2,training_validation_dispensable,5,0.0085582,0.0083459,0.859188034188034
ADCY3,PMT_Brain_1homko,2,0.00018286,0.0000080793,0.84806404657933
ADCY4,noDisorder_0homko,14,0.00090327,0.00021881,0.764223871366729
ADCY5,training_validation_brain_disease,3,0.000056021,0.0000041867,0.885604860010565
ADCY6,PMT_Brain_0homko,12,0.00017392,0.000016185,0.81180496150556
ADCY7,noDisorder_0homko,16,0.00047343,0.00025448,0.684397163120567
ADCY8,noDisorder_0homko,8,0.00019976,0.000071645,0.913604898828541
ADCY9,noDisorder_0homko,16,0.00010382,0.00002391,0.847636632200886
ADCY10,PMT_noBrain_0homko,1,0.0012215,0.00036587,0.587047382578109
ADCYAP1,noDisorder_0homko,18,0.000020052,0.0000080528,0.907909604519774
ADCYAP1R1,noDisorder_0homko,7,0.00012498,0.000019882,0.838663823738451
ADD1,PMT_noBrain_0homko,4,0.00093682,0.00089688,0.88044243338361
ADD2,noDisorder_0homko,2,0.000045715,0.0000091725,0.801375515818432
ADD3,training_validation_brain_disease,10,0.000096713,0.000063946,0.927015558698727
ADGB,noDisorder_0homko,6,0,0,0.603037569944045
ADGRA1,noDisorder_0homko,10,0.00003007,0.0000048672,0.325104166666667
ADGRA2,training_validation_dispensable,8,0.00023041,0.000024547,0.691710231516057
ADGRA3,noDisorder_0homko,4,0.00019567,0.000039806,0.828819969742814
ADGRB1,noDisorder_0homko,8,0.000020907,0.0000086021,0.78984407922461
ADGRB2,noDisorder_0homko,1,0.000050284,0.0000046275,0.836023539302228
ADGRB3,noDisorder_0homko,6,0.000052192,0.000004201,0.971416064784417
ADGRD1,noDisorder_0homko,12,0.00029956,0.000039776,0.6696
ADGRD2,training_validation_dispensable,9,0,0,0.514398354473774
ADGRE1,noDisorder_0homko,19,0.00083412,0.00020284,0.384028560691469
ADGRE2,confirmed_Brain_1homko,19,0.0037805,0.0014318,0.258656957928803
ADGRE3,noDisorder_0homko,19,0.00074915,0.00010364,0.403624298111281
ADGRE5,noDisorder_0homko,19,0.00021508,0.000031813,0.331658692185008
ADGRF1,noDisorder_0homko,6,0.0006139,0.00013152,0.499707281375778
ADGRF2,training_validation_dispensable,6,0.0017826,0.00097577,0.481596682218766
ADGRF3,training_validation_dispensable,2,0.0040808,0.0030227,0.374096185737977
ADGRF4,noDisorder_0homko,6,0.00066518,0.00017291,0.515277777777778
ADGRF5,noDisorder_0homko,6,0.0001397,0.000011979,0.524870081662955
ADGRG1,training_validation_brain_disease,16,0.00026788,0.000055886,0.618798449612403
ADGRG2,confirmed_noBrain_0homko,X,0.00006601,0.000025903,0.776686313032089
ADGRG3,noDisorder_0homko,16,0.00062507,0.00014337,0.391636363636364
ADGRG4,noDisorder_0homko,X,0.00054491,0.00012161,0.320036784593747
ADGRG5,noDisorder_0homko,16,0.000068846,0.000020097,0.245683679899181
ADGRG6,confirmed_noBrain_0homko,6,0.00021833,0.000032194,0.784465760724754
ADGRG7,training_validation_dispensable,3,0.00085609,0.00048686,0.46436925647452
ADGRL1,noDisorder_0homko,19,0.00004058,0.0000045035,0.83638418079096
ADGRL2,noDisorder_0homko,1,0.000069814,0.00001227,0.957945205479452
ADGRL3,noDisorder_0homko,4,0.000036836,0.0000044258,0.902719797596458
ADGRL4,training_validation_dispensable,1,0.00034517,0.000088448,0.840810419681621
ADGRV1,training_validation_brain_disease,5,0.0012889,0.000060458,0.780730405369695
ADH1A,noDisorder_0homko,4,0.00065726,0.00040959,0.587677304964539
ADH1B,PMT_Brain_0homko,4,0.000207,0.000059674,0.593439716312057
ADH1C,PMT_Brain_0homko,4,,,0.615336879432624
ADH4,noDisorder_0homko,4,0.0004917,0.00023115,0.530271216097988
ADH5,noDisorder_0homko,4,0.00028657,0.000052225,0.800533333333333
ADH6,noDisorder_0homko,4,0.00036,0.00019375,0.455496453900709
ADH7,noDisorder_0homko,4,0.0001881,0.000056129,0.540266666666667
ADHFE1,training_validation_dispensable,8,0.0023936,0.0022109,0.897792022792023
ADI1,noDisorder_0homko,2,0.000072539,0.000040162,0.80462962962963
ADIG,noDisorder_0homko,20,,,0.243097643097643
ADIPOQ,confirmed_noBrain_0homko,3,0.00015561,0.000023884,0.601496598639456
ADIPOR1,noDisorder_0homko,1,0.000024066,0.0000040994,0.918971631205674
ADIPOR2,noDisorder_0homko,12,0.000053137,0.000020056,0.893884582256675
ADIRF,noDisorder_0homko,10,0.000020104,0.0000080673,0.358008658008658
ADK,training_validation_brain_disease,10,0.000079826,0.000015979,0.930945821854913
