Gene stable ID	Transcript stable ID	Transcript stable ID version	HGNC ID	HGNC symbol	Gene start (bp)	Gene end (bp)	Transcription start site (TSS)	GENCODE basic annotation	APPRIS annotation	RefSeq match transcript	Transcript start (bp)	Transcript end (bp)
ENSG00000167393	ENST00000390665	ENST00000390665.9	HGNC:13417	PPP2R3B	333933	386955	386907	GENCODE basic	principal1	NM_013239.5	333933	386907
ENSG00000167393	ENST00000479438	ENST00000479438.6	HGNC:13417	PPP2R3B	333933	386955	341711				334235	341711
ENSG00000167393	ENST00000477110	ENST00000477110.6	HGNC:13417	PPP2R3B	333933	386955	347324				334239	347324
ENSG00000167393	ENST00000468169	ENST00000468169.6	HGNC:13417	PPP2R3B	333933	386955	345629				338613	345629
ENSG00000167393	ENST00000484364	ENST00000484364.6	HGNC:13417	PPP2R3B	333933	386955	345626				340765	345626
ENSG00000167393	ENST00000477636	ENST00000477636.6	HGNC:13417	PPP2R3B	333933	386955	346514				341911	346514
ENSG00000167393	ENST00000445792	ENST00000445792.7	HGNC:13417	PPP2R3B	333933	386955	386955				344896	386955
ENSG00000167393	ENST00000496630	ENST00000496630.6	HGNC:13417	PPP2R3B	333933	386955	361516				346637	361516
ENSG00000167393	ENST00000475859	ENST00000475859.6	HGNC:13417	PPP2R3B	333933	386955	347838				346720	347838
ENSG00000167393	ENST00000381625	ENST00000381625.9	HGNC:13417	PPP2R3B	333933	386955	374044				347611	374044
ENSG00000281849	ENST00000627721	ENST00000627721.3			386980	405579	386980	GENCODE basic			386980	405579
ENSG00000275287	ENST00000610676	ENST00000610676.5			388100	388389	388389	GENCODE basic			388100	388389
ENSG00000280767	ENST00000627627	ENST00000627627.3			419157	421980	419157	GENCODE basic			419157	421980
ENSG00000234958	ENST00000452144	ENST00000452144.6	HGNC:38717	FABP5P13	523775	524102	524102	GENCODE basic			523775	524102
ENSG00000229232	ENST00000431919	ENST00000431919.6	HGNC:38714	KRT18P53	545236	545352	545352	GENCODE basic			545236	545352
ENSG00000185960	ENST00000381578	ENST00000381578.6	HGNC:10853	SHOX	624344	659411	624344	GENCODE basic	principal1	NM_000451.3	624344	646823
ENSG00000185960	ENST00000381575	ENST00000381575.6	HGNC:10853	SHOX	624344	659411	630807	GENCODE basic			630807	659411
ENSG00000185960	ENST00000334060	ENST00000334060.8	HGNC:10853	SHOX	624344	659411	624344	GENCODE basic			624344	659411
ENSG00000237531	ENST00000420865	ENST00000420865.6			990221	994365	990221	GENCODE basic			990221	994365
ENSG00000225661	ENST00000436474	ENST00000436474.6	HGNC:37720	RPL14P5	1008503	1010101	1010101	GENCODE basic			1008503	1010101
ENSG00000205755	ENST00000400841	ENST00000400841.8	HGNC:14281	CRLF2	1187549	1212723	1212649	GENCODE basic	principal1	NM_022148.4	1190490	1212649
ENSG00000205755	ENST00000467626	ENST00000467626.6	HGNC:14281	CRLF2	1187549	1212723	1212723				1190492	1212723
ENSG00000205755	ENST00000381566	ENST00000381566.6	HGNC:14281	CRLF2	1187549	1212723	1212637	GENCODE basic	principal1		1187549	1212637
ENSG00000205755	ENST00000381567	ENST00000381567.8	HGNC:14281	CRLF2	1187549	1212723	1212634	GENCODE basic			1190897	1212634
ENSG00000198223	ENST00000381529	ENST00000381529.9	HGNC:2435	CSF2RA	1268800	1310381	1268814	GENCODE basic	alternative2	NM_172245.4	1268814	1309935
ENSG00000198223	ENST00000381524	ENST00000381524.8	HGNC:2435	CSF2RA	1268800	1310381	1268808	GENCODE basic	alternative2		1268808	1310381
ENSG00000198223	ENST00000493312	ENST00000493312.6	HGNC:2435	CSF2RA	1268800	1310381	1268814				1268814	1300543
ENSG00000198223	ENST00000412290	ENST00000412290.6	HGNC:2435	CSF2RA	1268800	1310381	1268818				1268818	1294395
ENSG00000198223	ENST00000432318	ENST00000432318.8	HGNC:2435	CSF2RA	1268800	1310381	1268830	GENCODE basic	alternative2		1268830	1309924
ENSG00000198223	ENST00000381509	ENST00000381509.8	HGNC:2435	CSF2RA	1268800	1310381	1268832	GENCODE basic			1268832	1305941
ENSG00000198223	ENST00000494969	ENST00000494969.7	HGNC:2435	CSF2RA	1268800	1310381	1268832	GENCODE basic			1268832	1309922
ENSG00000198223	ENST00000481245	ENST00000481245.6	HGNC:2435	CSF2RA	1268800	1310381	1268835				1268835	1282220
ENSG00000198223	ENST00000355805	ENST00000355805.7	HGNC:2435	CSF2RA	1268800	1310381	1268845	GENCODE basic			1268845	1309934
ENSG00000198223	ENST00000486791	ENST00000486791.6	HGNC:2435	CSF2RA	1268800	1310381	1268845				1268845	1309934
ENSG00000198223	ENST00000355432	ENST00000355432.8	HGNC:2435	CSF2RA	1268800	1310381	1268845	GENCODE basic			1268845	1309934
ENSG00000198223	ENST00000381500	ENST00000381500.6	HGNC:2435	CSF2RA	1268800	1310381	1282686	GENCODE basic			1282686	1309638
ENSG00000198223	ENST00000477940	ENST00000477940.6	HGNC:2435	CSF2RA	1268800	1310381	1285652				1285652	1288640
ENSG00000198223	ENST00000478256	ENST00000478256.6	HGNC:2435	CSF2RA	1268800	1310381	1288598				1288598	1289105
ENSG00000198223	ENST00000475259	ENST00000475259.6	HGNC:2435	CSF2RA	1268800	1310381	1290453				1290453	1309922
ENSG00000198223	ENST00000491683	ENST00000491683.6	HGNC:2435	CSF2RA	1268800	1310381	1294225				1294225	1295578
ENSG00000198223	ENST00000498153	ENST00000498153.6	HGNC:2435	CSF2RA	1268800	1310381	1294328				1294328	1309934
ENSG00000198223	ENST00000501036	ENST00000501036.7	HGNC:2435	CSF2RA	1268800	1310381	1268800	GENCODE basic			1268800	1309935
ENSG00000198223	ENST00000417535	ENST00000417535.7	HGNC:2435	CSF2RA	1268800	1310381	1268800	GENCODE basic	principal4		1268800	1309935
ENSG00000265658	ENST00000580266	ENST00000580266.6	HGNC:38967	MIR3690	1293918	1293992	1293918	GENCODE basic			1293918	1293992
ENSG00000223274	ENST00000411342	ENST00000411342.6	HGNC:43398	RNA5SP498	1300256	1300375	1300375	GENCODE basic			1300256	1300375
ENSG00000185291	ENST00000331035	ENST00000331035.10	HGNC:6012	IL3RA	1336616	1382689	1336785	GENCODE basic	principal1	NM_002183.4	1336785	1382689
ENSG00000185291	ENST00000432757	ENST00000432757.6	HGNC:6012	IL3RA	1336616	1382689	1336796				1336796	1356331
ENSG00000185291	ENST00000381469	ENST00000381469.7	HGNC:6012	IL3RA	1336616	1382689	1336616	GENCODE basic			1336616	1382689
ENSG00000169100	ENST00000381401	ENST00000381401.11	HGNC:10992	SLC25A6	1386152	1392113	1392113	GENCODE basic	principal1	NM_001636.4	1386152	1392113
ENSG00000169100	ENST00000475167	ENST00000475167.6	HGNC:10992	SLC25A6	1386152	1392113	1392103				1387311	1392103
ENSG00000169100	ENST00000484026	ENST00000484026.6	HGNC:10992	SLC25A6	1386152	1392113	1392088				1387345	1392088
ENSG00000236871	ENST00000434938	ENST00000434938.7	HGNC:31843	LINC00106	1396427	1399402	1396427	GENCODE basic			1396427	1398958
ENSG00000236871	ENST00000430235	ENST00000430235.7	HGNC:31843	LINC00106	1396427	1399402	1397025	GENCODE basic			1397025	1399402
ENSG00000236017	ENST00000443929	ENST00000443929.6	HGNC:25811	ASMTL-AS1	1401769	1414028	1401769				1401769	1403493
ENSG00000236017	ENST00000425740	ENST00000425740.7	HGNC:25811	ASMTL-AS1	1401769	1414028	1401811	GENCODE basic			1401811	1413915
ENSG00000236017	ENST00000420411	ENST00000420411.7	HGNC:25811	ASMTL-AS1	1401769	1414028	1402043				1402043	1413131
ENSG00000236017	ENST00000419737	ENST00000419737.7	HGNC:25811	ASMTL-AS1	1401769	1414028	1403459				1403459	1414028
ENSG00000236017	ENST00000602357	ENST00000602357.6	HGNC:25811	ASMTL-AS1	1401769	1414028	1403510	GENCODE basic			1403510	1414024
ENSG00000169093	ENST00000381317	ENST00000381317.9	HGNC:751	ASMTL	1403139	1453762	1452909	GENCODE basic	principal1	NM_004192.4	1403139	1452909
ENSG00000169093	ENST00000381333	ENST00000381333.9	HGNC:751	ASMTL	1403139	1453762	1452929	GENCODE basic			1403141	1452929
ENSG00000169093	ENST00000463763	ENST00000463763.6	HGNC:751	ASMTL	1403139	1453762	1435391				1427727	1435391
ENSG00000169093	ENST00000462195	ENST00000462195.6	HGNC:751	ASMTL	1403139	1453762	1435728				1431902	1435728
ENSG00000169093	ENST00000474865	ENST00000474865.6	HGNC:751	ASMTL	1403139	1453762	1452872				1441592	1452872
ENSG00000169093	ENST00000534940	ENST00000534940.6	HGNC:751	ASMTL	1403139	1453762	1453762	GENCODE basic			1403139	1453762
ENSG00000182162	ENST00000381297	ENST00000381297.10	HGNC:15524	P2RY8	1462581	1537185	1537185	GENCODE basic	principal1	NM_178129.5	1462581	1537185
ENSG00000182162	ENST00000460672	ENST00000460672.6	HGNC:15524	P2RY8	1462581	1537185	1494353				1466437	1494353
ENSG00000197976	ENST00000313871	ENST00000313871.9	HGNC:18783	AKAP17A	1591604	1602520	1591604	GENCODE basic	principal2	NM_005088.3	1591604	1602520
ENSG00000197976	ENST00000474361	ENST00000474361.6	HGNC:18783	AKAP17A	1591604	1602520	1591623				1591623	1602502
ENSG00000197976	ENST00000381261	ENST00000381261.8	HGNC:18783	AKAP17A	1591604	1602520	1591625	GENCODE basic	alternative2		1591625	1600303
ENSG00000196433	ENST00000381241	ENST00000381241.9	HGNC:750	ASMT	1615059	1643081	1615059	GENCODE basic	alternative2	NM_001171038.2	1615059	1643081
ENSG00000196433	ENST00000381229	ENST00000381229.9	HGNC:750	ASMT	1615059	1643081	1615164	GENCODE basic	principal4		1615164	1643027
ENSG00000196433	ENST00000381233	ENST00000381233.8	HGNC:750	ASMT	1615059	1643081	1615175	GENCODE basic			1615175	1643081
ENSG00000196433	ENST00000509780	ENST00000509780.6	HGNC:750	ASMT	1615059	1643081	1627746				1627746	1636463
ENSG00000196433	ENST00000432523	ENST00000432523.6	HGNC:750	ASMT	1615059	1643081	1636398				1636398	1643081
ENSG00000223511	ENST00000427886	ENST00000427886.6			1732584	1763212	1732584	GENCODE basic			1732584	1741988
ENSG00000223511	ENST00000432272	ENST00000432272.7			1732584	1763212	1734117	GENCODE basic			1734117	1763212
ENSG00000234622	ENST00000453953	ENST00000453953.6			1767347	1768776	1767347	GENCODE basic			1767347	1768776
ENSG00000169084	ENST00000334651	ENST00000334651.11	HGNC:18399	DHRSX	2219506	2502805	2500976	GENCODE basic	principal1	NM_145177.3	2219506	2500976
ENSG00000169084	ENST00000412516	ENST00000412516.7	HGNC:18399	DHRSX	2219506	2502805	2500973				2243062	2500973
ENSG00000169084	ENST00000464935	ENST00000464935.6	HGNC:18399	DHRSX	2219506	2502805	2266937				2261394	2266937
ENSG00000169084	ENST00000444280	ENST00000444280.6	HGNC:18399	DHRSX	2219506	2502805	2500650				2266770	2500650
ENSG00000169084	ENST00000441131	ENST00000441131.7	HGNC:18399	DHRSX	2219506	2502805	2502805				2266854	2502805
ENSG00000169084	ENST00000478825	ENST00000478825.7	HGNC:18399	DHRSX	2219506	2502805	2500589				2291502	2500589
ENSG00000169084	ENST00000430536	ENST00000430536.7	HGNC:18399	DHRSX	2219506	2502805	2500960				2337831	2500960
ENSG00000223571	ENST00000437244	ENST00000437244.6	HGNC:38713	DHRSX-IT1	2334295	2336410	2336410	GENCODE basic			2334295	2336410
ENSG00000214717	ENST00000381222	ENST00000381222.8	HGNC:447	ZBED1	2486414	2500976	2500967	GENCODE basic	principal1		2486414	2500967
ENSG00000214717	ENST00000515319	ENST00000515319.6	HGNC:447	ZBED1	2486414	2500976	2488971				2486982	2488971
ENSG00000214717	ENST00000381218	ENST00000381218.8	HGNC:447	ZBED1	2486414	2500976	2500555	GENCODE basic	principal1		2488186	2500555
ENSG00000214717	ENST00000461691	ENST00000461691.6	HGNC:447	ZBED1	2486414	2500976	2500895				2489905	2500895
ENSG00000214717	ENST00000652001	ENST00000652001.1	HGNC:447	ZBED1	2486414	2500976	2500976	GENCODE basic	principal1	NM_001171136.2	2486435	2500976
ENSG00000214717	ENST00000381223	ENST00000381223.9	HGNC:447	ZBED1	2486414	2500976	2500967	GENCODE basic	principal1		2486414	2500967
ENSG00000277120	ENST00000616698	ENST00000616698.5	HGNC:50179	MIR6089	2609191	2609254	2609191	GENCODE basic			2609191	2609254
ENSG00000223773	ENST00000431582	ENST00000431582.6	HGNC:7083	CD99P1	2609348	2657229	2609348	GENCODE basic			2609348	2616171
ENSG00000223773	ENST00000435581	ENST00000435581.7	HGNC:7083	CD99P1	2609348	2657229	2609392	GENCODE basic			2609392	2657229
ENSG00000223773	ENST00000430562	ENST00000430562.6	HGNC:7083	CD99P1	2609348	2657229	2609394				2609394	2638329
ENSG00000223773	ENST00000527459	ENST00000527459.6	HGNC:7083	CD99P1	2609348	2657229	2609415	GENCODE basic			2609415	2623453
ENSG00000223773	ENST00000414513	ENST00000414513.7	HGNC:7083	CD99P1	2609348	2657229	2616619				2616619	2638694
ENSG00000230542	ENST00000445785	ENST00000445785.6	HGNC:30470	LINC00102	2612988	2615347	2615347	GENCODE basic			2612988	2615347
ENSG00000002586	ENST00000381192	ENST00000381192.10	HGNC:7082	CD99	2691187	2741309	2691295	GENCODE basic	principal4	NM_002414.5	2691295	2741309
ENSG00000002586	ENST00000381187	ENST00000381187.8	HGNC:7082	CD99	2691187	2741309	2691276	GENCODE basic	alternative2		2691276	2741101
ENSG00000002586	ENST00000381184	ENST00000381184.6	HGNC:7082	CD99	2691187	2741309	2691280	GENCODE basic	alternative2		2691280	2733667
ENSG00000002586	ENST00000647297	ENST00000647297.1	HGNC:7082	CD99	2691187	2741309	2691292				2691292	2718018
ENSG00000002586	ENST00000645950	ENST00000645950.1	HGNC:7082	CD99	2691187	2741309	2691295				2691295	2723434
ENSG00000002586	ENST00000482405	ENST00000482405.7	HGNC:7082	CD99	2691187	2741309	2691310	GENCODE basic	alternative2		2691310	2733672
ENSG00000002586	ENST00000624481	ENST00000624481.4	HGNC:7082	CD99	2691187	2741309	2691313	GENCODE basic	alternative2		2691313	2741290
ENSG00000002586	ENST00000646103	ENST00000646103.1	HGNC:7082	CD99	2691187	2741309	2691326				2691326	2715597
ENSG00000002586	ENST00000381180	ENST00000381180.9	HGNC:7082	CD99	2691187	2741309	2691361	GENCODE basic			2691361	2692253
ENSG00000002586	ENST00000623253	ENST00000623253.4	HGNC:7082	CD99	2691187	2741309	2691361				2691361	2740804
ENSG00000002586	ENST00000449611	ENST00000449611.6	HGNC:7082	CD99	2691187	2741309	2691500				2691500	2726373
ENSG00000002586	ENST00000482293	ENST00000482293.6	HGNC:7082	CD99	2691187	2741309	2717374				2717374	2726363
ENSG00000002586	ENST00000497752	ENST00000497752.7	HGNC:7082	CD99	2691187	2741309	2719068				2719068	2726268
ENSG00000002586	ENST00000381177	ENST00000381177.7	HGNC:7082	CD99	2691187	2741309	2726341				2726341	2741125
ENSG00000002586	ENST00000611428	ENST00000611428.5	HGNC:7082	CD99	2691187	2741309	2691187	GENCODE basic	alternative2		2691187	2741300
ENSG00000124343	ENST00000419513	ENST00000419513.7	HGNC:12806	XG	2752040	2816500	2752048	GENCODE basic			2752048	2814447
ENSG00000124343	ENST00000509484	ENST00000509484.3	HGNC:12806	XG	2752040	2816500	2752048	GENCODE basic			2752048	2814447
ENSG00000124343	ENST00000381174	ENST00000381174.10	HGNC:12806	XG	2752040	2816500	2752052	GENCODE basic	principal4		2752052	2815927
ENSG00000124343	ENST00000644266	ENST00000644266.2	HGNC:12806	XG	2752040	2816500	2752040	GENCODE basic	alternative2	NM_001141919.2	2752040	2816500
ENSG00000124343	ENST00000503018	ENST00000503018.1	HGNC:12806	XG	2752040	2816500	2752296				2752296	2774996
ENSG00000124343	ENST00000519244	ENST00000519244.1	HGNC:12806	XG	2752040	2816500	2794535				2794535	2808377
ENSG00000056998	ENST00000398806	ENST00000398806.8	HGNC:4700	GYG2	2828822	2882820	2828930	GENCODE basic	alternative2	NM_001079855.2	2828930	2882818
ENSG00000056998	ENST00000381163	ENST00000381163.7	HGNC:4700	GYG2	2828822	2882820	2828822	GENCODE basic	principal4		2828822	2882818
ENSG00000056998	ENST00000381161	ENST00000381161.5	HGNC:4700	GYG2	2828822	2882820	2828914				2828914	2882817
ENSG00000056998	ENST00000520904	ENST00000520904.3	HGNC:4700	GYG2	2828822	2882820	2829272				2829272	2855081
ENSG00000056998	ENST00000469234	ENST00000469234.6	HGNC:4700	GYG2	2828822	2882820	2830061				2830061	2856623
ENSG00000056998	ENST00000353656	ENST00000353656.10	HGNC:4700	GYG2	2828822	2882820	2830189	GENCODE basic	alternative2		2830189	2881213
ENSG00000056998	ENST00000453106	ENST00000453106.1	HGNC:4700	GYG2	2828822	2882820	2854060				2854060	2877443
ENSG00000056998	ENST00000381157	ENST00000381157.2	HGNC:4700	GYG2	2828822	2882820	2855121				2855121	2881091
ENSG00000056998	ENST00000639373	ENST00000639373.1	HGNC:4700	GYG2	2828822	2882820	2842991	GENCODE basic			2842991	2882820
ENSG00000235483	ENST00000445107	ENST00000445107.1	HGNC:40270	GYG2-AS1	2852740	2853760	2853760	GENCODE basic			2852740	2853760
ENSG00000006756	ENST00000381154	ENST00000381154.6	HGNC:717	ARSD	2903972	2929349	2929339	GENCODE basic	principal1	NM_001669.4	2903972	2929339
ENSG00000006756	ENST00000458014	ENST00000458014.1	HGNC:717	ARSD	2903972	2929349	2909920				2904918	2909920
ENSG00000006756	ENST00000495294	ENST00000495294.1	HGNC:717	ARSD	2903972	2929349	2929349				2906156	2929349
ENSG00000006756	ENST00000217890	ENST00000217890.10	HGNC:717	ARSD	2903972	2929349	2929275				2913614	2929275
ENSG00000006756	ENST00000481340	ENST00000481340.1	HGNC:717	ARSD	2903972	2929349	2917878				2914497	2917878
ENSG00000006756	ENST00000494870	ENST00000494870.5	HGNC:717	ARSD	2903972	2929349	2929279				2920381	2929279
ENSG00000006756	ENST00000559324	ENST00000559324.1	HGNC:717	ARSD	2903972	2929349	2929339				2920676	2929339
ENSG00000229851	ENST00000414053	ENST00000414053.1	HGNC:40085	ARSD-AS1	2904904	2906081	2904904	GENCODE basic			2904904	2906081
ENSG00000157399	ENST00000673032	ENST00000673032.1	HGNC:719	ARSL	2934521	2968475	2968276	GENCODE basic			2934521	2968276
ENSG00000157399	ENST00000672097	ENST00000672097.1	HGNC:719	ARSL	2934521	2968475	2968475	GENCODE basic	alternative2		2934640	2968475
ENSG00000157399	ENST00000672761	ENST00000672761.1	HGNC:719	ARSL	2934521	2968475	2968245	GENCODE basic			2934658	2968245
ENSG00000157399	ENST00000545496	ENST00000545496.6	HGNC:719	ARSL	2934521	2968475	2964284	GENCODE basic	alternative2		2934811	2964284
ENSG00000157399	ENST00000381134	ENST00000381134.9	HGNC:719	ARSL	2934521	2968475	2964341	GENCODE basic	principal4	NM_000047.3	2934521	2964341
ENSG00000157399	ENST00000672027	ENST00000672027.1	HGNC:719	ARSL	2934521	2968475	2968245	GENCODE basic	alternative2		2934832	2968245
ENSG00000157399	ENST00000672606	ENST00000672606.1	HGNC:719	ARSL	2934521	2968475	2968258				2943147	2968258
ENSG00000157399	ENST00000438544	ENST00000438544.5	HGNC:719	ARSL	2934521	2968475	2964264				2949623	2964264
ENSG00000157399	ENST00000483425	ENST00000483425.1	HGNC:719	ARSL	2934521	2968475	2953228				2952831	2953228
ENSG00000157399	ENST00000540563	ENST00000540563.5	HGNC:719	ARSL	2934521	2968475	2968310	GENCODE basic			2934632	2968310
ENSG00000205667	ENST00000381130	ENST00000381130.3	HGNC:32488	ARSH	3006546	3034111	3006546	GENCODE basic	principal1	NM_001011719.2	3006546	3034111
ENSG00000062096	ENST00000381127	ENST00000381127.6	HGNC:721	ARSF	3041471	3112727	3041471	GENCODE basic	principal1	NM_001201539.2	3041471	3112727
ENSG00000062096	ENST00000359361	ENST00000359361.2	HGNC:721	ARSF	3041471	3112727	3066833	GENCODE basic	principal1		3066833	3112706
ENSG00000239228	ENST00000477781	ENST00000477781.3	HGNC:46594	RN7SL578P	3058220	3058502	3058502	GENCODE basic			3058220	3058502
ENSG00000230249	ENST00000443851	ENST00000443851.1	HGNC:54883	RPS24P21	3112900	3113596	3113596	GENCODE basic			3112900	3113596
ENSG00000228459	ENST00000457435	ENST00000457435.2	HGNC:27336	LINC01546	3271544	3286138	3271544	GENCODE basic			3271544	3286138
ENSG00000228459	ENST00000668035	ENST00000668035.1	HGNC:27336	LINC01546	3271544	3286138	3271584				3271584	3279065
ENSG00000228459	ENST00000668004	ENST00000668004.1	HGNC:27336	LINC01546	3271544	3286138	3271584	GENCODE basic			3271584	3278953
ENSG00000228459	ENST00000656741	ENST00000656741.1	HGNC:27336	LINC01546	3271544	3286138	3271619	GENCODE basic			3271619	3279067
ENSG00000101825	ENST00000217939	ENST00000217939.7	HGNC:7539	MXRA5	3308565	3346652	3346652	GENCODE basic	principal1	NM_015419.4	3308565	3346652
ENSG00000213487	ENST00000439462	ENST00000439462.1	HGNC:767	ASS1P4	3367149	3368382	3367149	GENCODE basic			3367149	3368382
ENSG00000212214	ENST00000390912	ENST00000390912.1	HGNC:52207	SNORA48B	3532117	3532251	3532251	GENCODE basic			3532117	3532251
ENSG00000207435	ENST00000384704	ENST00000384704.1	HGNC:47077	RNU6-114P	3572857	3572961	3572857	GENCODE basic			3572857	3572961
ENSG00000183943	ENST00000262848	ENST00000262848.6	HGNC:9441	PRKX	3604340	3713649	3713649	GENCODE basic	principal1	NM_005044.5	3604340	3713649
ENSG00000183943	ENST00000462736	ENST00000462736.1	HGNC:9441	PRKX	3604340	3713649	3612281				3608625	3612281
ENSG00000183943	ENST00000496648	ENST00000496648.1	HGNC:9441	PRKX	3604340	3713649	3612255				3610951	3612255
ENSG00000183943	ENST00000425240	ENST00000425240.1	HGNC:9441	PRKX	3604340	3713649	3670215				3612310	3670215
ENSG00000207332	ENST00000384602	ENST00000384602.1	HGNC:47109	RNU6-146P	3607258	3607365	3607365	GENCODE basic			3607258	3607365
ENSG00000207320	ENST00000384590	ENST00000384590.1			3641443	3641555	3641555	GENCODE basic			3641443	3641555
ENSG00000236188	ENST00000414074	ENST00000414074.1	HGNC:40479	PRKX-AS1	3659487	3668192	3659487	GENCODE basic			3659487	3668192
ENSG00000182888	ENST00000329806	ENST00000329806.5	HGNC:54884	RPS27AP20	3717149	3717600	3717149	GENCODE basic			3717149	3717600
ENSG00000285756	ENST00000653447	ENST00000653447.1			3817528	3937855	3826631				3817528	3826631
ENSG00000285756	ENST00000469903	ENST00000469903.5			3817528	3937855	3825203				3817528	3825203
ENSG00000285756	ENST00000483854	ENST00000483854.6			3817528	3937855	3829394				3817528	3829394
ENSG00000285756	ENST00000490920	ENST00000490920.2			3817528	3937855	3843508				3817528	3843508
ENSG00000285756	ENST00000425492	ENST00000425492.5			3817528	3937855	3843857				3817528	3843857
ENSG00000285756	ENST00000648217	ENST00000648217.1			3817528	3937855	3903471	GENCODE basic			3817528	3903471
ENSG00000285756	ENST00000471090	ENST00000471090.5			3817528	3937855	3824598				3817535	3824598
ENSG00000285756	ENST00000486571	ENST00000486571.1			3817528	3937855	3828597				3821681	3828597
ENSG00000285756	ENST00000662024	ENST00000662024.1			3817528	3937855	3843566				3817528	3843566
ENSG00000285756	ENST00000650456	ENST00000650456.1			3817528	3937855	3903471	GENCODE basic			3848206	3903471
ENSG00000285756	ENST00000381108	ENST00000381108.3			3817528	3937855	3863574				3853010	3863574
ENSG00000285756	ENST00000456563	ENST00000456563.1			3817528	3937855	3867135				3854349	3867135
ENSG00000285756	ENST00000650538	ENST00000650538.1			3817528	3937855	3931573	GENCODE basic			3860799	3931573
ENSG00000285756	ENST00000438107	ENST00000438107.1			3817528	3937855	3882317				3864398	3882317
ENSG00000285756	ENST00000424415	ENST00000424415.2			3817528	3937855	3903602	GENCODE basic			3891438	3903602
ENSG00000285756	ENST00000451781	ENST00000451781.1			3817528	3937855	3905709				3893292	3905709
ENSG00000285756	ENST00000381106	ENST00000381106.4			3817528	3937855	3920746				3905687	3920746
ENSG00000285756	ENST00000381105	ENST00000381105.2			3817528	3937855	3937855				3929869	3937855
ENSG00000285756	ENST00000655273	ENST00000655273.1			3817528	3937855	3867541				3854181	3867541
ENSG00000285756	ENST00000661924	ENST00000661924.1			3817528	3937855	3866970				3853005	3866970
ENSG00000285756	ENST00000669719	ENST00000669719.1			3817528	3937855	3867567				3854181	3867567
ENSG00000285756	ENST00000461011	ENST00000461011.6			3817528	3937855	3822622				3817528	3822622
ENSG00000285756	ENST00000657193	ENST00000657193.1			3817528	3937855	3822541				3817534	3822541
ENSG00000285756	ENST00000669937	ENST00000669937.1			3817528	3937855	3826631	GENCODE basic			3817528	3826631
ENSG00000285756	ENST00000475317	ENST00000475317.5			3817528	3937855	3843415				3817528	3843415
ENSG00000285756	ENST00000657698	ENST00000657698.1			3817528	3937855	3867445				3848225	3867445
ENSG00000285756	ENST00000671495	ENST00000671495.1			3817528	3937855	3828979				3817727	3828979
ENSG00000285756	ENST00000671583	ENST00000671583.1			3817528	3937855	3843771	GENCODE basic			3827151	3843771
ENSG00000285756	ENST00000661656	ENST00000661656.1			3817528	3937855	3867769	GENCODE basic			3852734	3867769
ENSG00000286431	ENST00000660920	ENST00000660920.1			3819924	3823898	3819924	GENCODE basic			3819924	3823898
ENSG00000225722	ENST00000427883	ENST00000427883.1	HGNC:54886	RPL24P9	3953056	3953561	3953056	GENCODE basic			3953056	3953561
ENSG00000236513	ENST00000420725	ENST00000420725.1			4627200	4633572	4633572	GENCODE basic			4627200	4633572
ENSG00000235039	ENST00000428247	ENST00000428247.1	HGNC:39475	MTND6P12	5168918	5169439	5169439	GENCODE basic			5168918	5169439
