Gene stable ID	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC ID	HGNC symbol
ENSG00000056998	p22.33	X	2828822	2882820	HGNC:4700	GYG2
ENSG00000235483	p22.33	X	2852740	2853760	HGNC:40270	GYG2-AS1
ENSG00000006756	p22.33	X	2903972	2929349	HGNC:717	ARSD
ENSG00000229851	p22.33	X	2904904	2906081	HGNC:40085	ARSD-AS1
ENSG00000157399	p22.33	X	2934521	2968475	HGNC:719	ARSL
ENSG00000205667	p22.33	X	3006546	3034111	HGNC:32488	ARSH
ENSG00000062096	p22.33	X	3041471	3112727	HGNC:721	ARSF
ENSG00000239228	p22.33	X	3058220	3058502	HGNC:46594	RN7SL578P
ENSG00000230249	p22.33	X	3112900	3113596		
ENSG00000228459	p22.33	X	3271544	3286138	HGNC:27336	LINC01546
ENSG00000101825	p22.33	X	3308565	3346652	HGNC:7539	MXRA5
ENSG00000213487	p22.33	X	3367149	3368382	HGNC:767	ASS1P4
ENSG00000212214	p22.33	X	3532117	3532251	HGNC:52207	SNORA48B
ENSG00000207435	p22.33	X	3572857	3572961	HGNC:47077	RNU6-114P
ENSG00000183943	p22.33	X	3604340	3713649	HGNC:9441	PRKX
ENSG00000207332	p22.33	X	3607258	3607365	HGNC:47109	RNU6-146P
ENSG00000207320	p22.33	X	3641443	3641555		
ENSG00000236188	p22.33	X	3659487	3668192	HGNC:40479	PRKX-AS1
ENSG00000182888	p22.33	X	3717149	3717600		
ENSG00000285756	p22.33	X	3817528	3937855		
ENSG00000286431	p22.33	X	3819924	3823898		
ENSG00000225722	p22.33	X	3953056	3953561		
ENSG00000236513	p22.32	X	4627200	4633572		
ENSG00000235039	p22.32	X	5168918	5169439	HGNC:39475	MTND6P12
ENSG00000226313	p22.32	X	5169512	5170645	HGNC:51963	MTCYBP12
ENSG00000238193	p22.32	X	5305714	5307128		
ENSG00000201660	p22.32	X	5410122	5410251		
ENSG00000236120	p22.32	X	5653418	5726326		
ENSG00000146938	p22.31	X	5840637	6228867	HGNC:14287	NLGN4X
ENSG00000252291	p22.32	X	6061644	6061749		
ENSG00000265284	p22.31	X	6383906	6383963	HGNC:41542	MIR4770
ENSG00000237730	p22.31	X	6422092	6422701		
ENSG00000169059	p22.31	X	6533618	6535118	HGNC:18159	VCX3A
ENSG00000130021	p22.31	X	6667865	7148158	HGNC:16818	PUDP
ENSG00000237490	p22.31	X	6989329	6989783	HGNC:36877	RPS27AP17
ENSG00000228550	p22.31	X	7113005	7113404		
ENSG00000101846	p22.31	X	7147237	7804358	HGNC:11425	STS
ENSG00000264268	p22.31	X	7147860	7147937	HGNC:41548	MIR4767
ENSG00000279682	p22.31	X	7489659	7491199		
ENSG00000182583	p22.31	X	7842262	7844143	HGNC:12667	VCX
ENSG00000274923	p22.31	X	7896514	7896722		
ENSG00000006757	p22.31	X	7898247	7927739	HGNC:24887	PNPLA4
ENSG00000285679	p22.31	X	7928443	8374386		
ENSG00000207628	p22.31	X	8126965	8127061	HGNC:32907	MIR651
ENSG00000177504	p22.31	X	8169944	8171267	HGNC:18158	VCX2
ENSG00000205642	p22.31	X	8464830	8466510	HGNC:31838	VCX3B
ENSG00000287171	p22.31	X	8487165	8504564		
ENSG00000011201	p22.31	X	8528874	8732137	HGNC:6211	ANOS1
ENSG00000225574	p22.31	X	8783514	8784461	HGNC:44334	DRAXINP1
ENSG00000183304	p22.31	X	8790795	8801383	HGNC:18403	FAM9A
ENSG00000231619	p22.31	X	8856665	8857059		
ENSG00000229012	p22.31	X	8863861	8867601		
ENSG00000285896	p22.31	X	8897642	8927153		
ENSG00000225271	p22.31	X	8980425	8982505		
ENSG00000177138	p22.31	X	9024232	9295682	HGNC:18404	FAM9B
ENSG00000200852	p22.31	X	9133828	9133946	HGNC:43399	RNA5SP499
ENSG00000219870	p22.31	X	9179385	9179606	HGNC:42020	BRK1P1
ENSG00000228543	p22.31	X	9249920	9275206		
ENSG00000232111	p22.31	X	9402751	9404802		
ENSG00000282306	p22.31	X	9404954	9405731		
ENSG00000282501	p22.31	X	9406025	9406778		
ENSG00000282358	p22.31	X	9406952	9407708		
ENSG00000282668	p22.31	X	9407861	9408638		
ENSG00000282299	p22.31	X	9408818	9409571		
ENSG00000282697	p22.31	X	9409748	9410501		
ENSG00000282222	p22.31	X	9410789	9411545		
ENSG00000281955	p22.31	X	9411701	9412478		
ENSG00000281941	p22.31	X	9412772	9413522		
ENSG00000282300	p22.31	X	9413816	9414569		
ENSG00000101849	p22.31	X	9463295	9741037	HGNC:11585	TBL1X
ENSG00000101850	p22.2	X	9725346	9786297	HGNC:20145	GPR143
ENSG00000146950	p22.2	X	9786429	9949443	HGNC:630	SHROOM2
ENSG00000215319	p22.2	X	9818239	9819469	HGNC:51465	EIF5P1
ENSG00000230326	p22.2	X	9865093	9865543	HGNC:39377	HMGN1P33
ENSG00000206844	p22.2	X	9874601	9874701		
ENSG00000234469	p22.2	X	9967358	9968352	HGNC:51259	CLDN34
ENSG00000047644	p22.2	X	10015254	10144474	HGNC:29237	WWC3
ENSG00000225076	p22.2	X	10024842	10038654	HGNC:41236	WWC3-AS1
ENSG00000202469	p22.2	X	10061222	10061323		
ENSG00000073464	p22.2	X	10156975	10237660	HGNC:2022	CLCN4
ENSG00000227042	p22.2	X	10242339	10365323		
ENSG00000101871	p22.2	X	10445310	10833654	HGNC:7095	MID1
ENSG00000207202	p22.2	X	10582817	10582919	HGNC:47763	RNU6-800P
ENSG00000234129	p22.2	X	10847578	11111220		
ENSG00000004961	p22.2	X	11111301	11123086	HGNC:4837	HCCS
ENSG00000207151	p22.2	X	11116092	11116193		
ENSG00000047648	p22.2	X	11117651	11665920	HGNC:676	ARHGAP6
ENSG00000278218	p22.2	X	11148584	11148769		
ENSG00000275194	p22.2	X	11221348	11225731		
ENSG00000125363	p22.2	X	11293413	11300761	HGNC:461	AMELX
ENSG00000263652	p22.2	X	11318614	11318686	HGNC:43528	MIR548AX
ENSG00000232392	p22.2	X	11334233	11335901		
ENSG00000282840	p22.2	X	11668401	11757718		
ENSG00000223418	p22.2	X	11704123	11705590		
ENSG00000005302	p22.2	X	11758159	11775772	HGNC:7370	MSL3
ENSG00000169933	p22.2	X	11822423	12724523	HGNC:29007	FRMPD4
ENSG00000206792	p22.2	X	12054824	12054926		
ENSG00000206795	p22.2	X	12149126	12149238		
ENSG00000223487	p22.2	X	12373167	12375133	HGNC:41222	FRMPD4-AS1
ENSG00000231211	p22.2	X	12395757	12396167	HGNC:37009	RPL17P49
ENSG00000273800	p22.2	X	12583415	12583526		
ENSG00000271814	p22.2	X	12614003	12614197	HGNC:46014	RN7SKP290
ENSG00000101911	p22.2	X	12791355	12824222	HGNC:9465	PRPS2
ENSG00000229083	p22.2	X	12825840	12826833	HGNC:39607	PSMA6P2
ENSG00000230691	p22.2	X	12844865	12845430	HGNC:29707	MRPL35P4
ENSG00000196664	p22.2	X	12867072	12890361	HGNC:15631	TLR7
ENSG00000233338	p22.2	X	12902817	12908333	HGNC:40720	TLR8-AS1
ENSG00000101916	p22.2	X	12906620	12923169	HGNC:15632	TLR8
ENSG00000205542	p22.2	X	12975110	12977227	HGNC:11881	TMSB4X
ENSG00000187268	p22.2	X	13035617	13044682	HGNC:18405	FAM9C
ENSG00000261030	p22.2	X	13093660	13094573		
ENSG00000235385	p22.2	X	13266048	13303452	HGNC:53015	LINC02154
ENSG00000231216	p22.2	X	13310652	13319933		
ENSG00000123594	p22.2	X	13318236	13320399	HGNC:24173	ATXN3L
ENSG00000235592	p22.2	X	13327937	13329867		
ENSG00000226985	p22.2	X	13333952	13403035	HGNC:49634	LINC01203
ENSG00000197582	p22.2	X	13378735	13379340	HGNC:4560	GPX1P1
ENSG00000198759	p22.2	X	13569601	13633575	HGNC:3235	EGFL6
ENSG00000233357	p22.2	X	13574746	13575066	HGNC:36542	RPL30P15
ENSG00000283493	p22.2	X	13590292	13590346	HGNC:49986	MIR6086
ENSG00000199622	p22.2	X	13596236	13596548	HGNC:45744	RN7SKP20
ENSG00000176896	p22.2	X	13653189	13681964	HGNC:28277	TCEANC
ENSG00000123595	p22.2	X	13689128	13710504	HGNC:9792	RAB9A
ENSG00000196459	p22.2	X	13712244	13734635	HGNC:23068	TRAPPC2
ENSG00000046651	p22.2	X	13734745	13769357	HGNC:2567	OFD1
ENSG00000046653	p22.2	X	13770939	13938638	HGNC:4461	GPM6B
ENSG00000233535	p22.2	X	13955393	13963904		
ENSG00000212663	p22.2	X	13980066	13988820		
ENSG00000046647	p22.2	X	14008279	14029893	HGNC:26044	GEMIN8
ENSG00000233247	p22.2	X	14244382	14244928		
ENSG00000101958	p22.2	X	14529298	14731812	HGNC:4327	GLRA2
ENSG00000231066	p22.2	X	14834476	14835319	HGNC:7929	NPM1P9
ENSG00000181544	p22.2	X	14835961	14873069	HGNC:3583	FANCB
ENSG00000130150	p22.2	X	14873421	14922327	HGNC:28381	MOSPD2
ENSG00000235929	p22.2	X	14977959	14978463	HGNC:49305	TPT1P14
ENSG00000236929	p22.2	X	15117437	15117768		
ENSG00000102048	p22.2	X	15235288	15270467	HGNC:17184	ASB9
ENSG00000165192	p22.2	X	15281697	15315640	HGNC:17186	ASB11
ENSG00000165195	p22.2	X	15319452	15335554	HGNC:8957	PIGA
ENSG00000165197	p22.2	X	15345596	15384413	HGNC:3708	VEGFD
ENSG00000087842	p22.2	X	15384799	15493564	HGNC:30048	PIR
ENSG00000102010	p22.2	X	15464246	15556529	HGNC:1079	BMX
ENSG00000130234	p22.2	X	15561033	15602148	HGNC:13557	ACE2
ENSG00000285602	p22.2	X	15561047	15675608		
ENSG00000225833	p22.2	X	15602881	15621484		
ENSG00000147003	p22.2	X	15627318	15675012	HGNC:29437	CLTRN
ENSG00000237539	p22.2	X	15646167	15646875		
ENSG00000186312	p22.2	X	15674932	15703724	HGNC:29544	CA5BP1
ENSG00000169239	p22.2	X	15688830	15788411	HGNC:1378	CA5B
ENSG00000279413	p22.2	X	15702602	15703243		
ENSG00000200620	p22.2	X	15716208	15716346		
ENSG00000281371	p22.2	X	15785716	15787589	HGNC:6061	INE2
ENSG00000169249	p22.2	X	15790472	15823260	HGNC:23019	ZRSR2
ENSG00000182287	p22.2	X	15825806	15854931	HGNC:560	AP1S2
ENSG00000200566	p22.2	X	15916189	15916303	HGNC:42524	RNU5F-7P
ENSG00000226536	p22.2	X	15917548	15918631	HGNC:42934	SETP15
ENSG00000126010	p22.2	X	16123565	16153518	HGNC:4609	GRPR
ENSG00000238178	p22.2	X	16152941	16170869		
ENSG00000182798	p22.2	X	16167481	16171464	HGNC:17418	MAGEB17
ENSG00000215313	p22.2	X	16198428	16199289	HGNC:36171	RPL6P30
ENSG00000235071	p22.2	X	16474342	16475340		
ENSG00000239333	p22.2	X	16539137	16539439	HGNC:46674	RN7SL658P
ENSG00000047230	p22.2	X	16587999	16712936	HGNC:2520	CTPS2
ENSG00000265144	p22.2	X	16627012	16627085	HGNC:41637	MIR548AM
ENSG00000169906	p22.2	X	16650158	16654670	HGNC:1436	S100G
ENSG00000169895	p22.2	X	16719612	16765340	HGNC:16273	SYAP1
ENSG00000238709	p22.2	X	16767844	16767905	HGNC:34152	RNU7-56P
ENSG00000086712	p22.2	X	16786432	16844519	HGNC:18578	TXLNG
ENSG00000230180	p22.2	X	16803233	16803353	HGNC:51941	RPL12P49
ENSG00000102054	p22.2	X	16839283	16870362	HGNC:9890	RBBP7
ENSG00000222736	p22.2	X	16875146	16875267	HGNC:10199	RNU4-6P
ENSG00000223498	p22.2	X	16897651	16898521		
ENSG00000199410	p22.2	X	16912215	16912317		
ENSG00000169891	p22.2	X	16946658	17153272	HGNC:9963	REPS2
ENSG00000201467	p22.2	X	17044380	17044511		
ENSG00000214322	p22.2	X	17099782	17100239	HGNC:38656	CBX1P2
ENSG00000214321	p22.2	X	17282637	17283093	HGNC:38658	CBX1P4
ENSG00000238764	p22.2	X	17357930	17358033		
ENSG00000188158	p22.2	X	17375200	17735994	HGNC:7820	NHS
ENSG00000265465	p22.13	X	17425881	17425954	HGNC:41592	MIR4768
ENSG00000235834	p22.13	X	17528435	17587160		
ENSG00000230020	p22.13	X	17552349	17557387	HGNC:40403	NHS-AS1
ENSG00000226153	p22.13	X	17705339	17705691		
ENSG00000047634	p22.13	X	17737449	17754988	HGNC:10580	SCML1
ENSG00000227873	p22.13	X	17769005	17769398		
ENSG00000131831	p22.13	X	17800049	17861337	HGNC:9835	RAI2
ENSG00000276467	p22.13	X	17897711	17900333		
ENSG00000225066	p22.13	X	17933349	17934823		
ENSG00000225882	p22.13	X	17970197	18104644	HGNC:50846	LINC01456
ENSG00000177324	p22.13	X	18162931	18220886	HGNC:28509	BEND2
ENSG00000102098	p22.13	X	18239313	18354688	HGNC:10581	SCML2
ENSG00000235211	p22.13	X	18341216	18341346	HGNC:41950	TMSB10P2
ENSG00000207025	p22.13	X	18395994	18396095		
ENSG00000008086	p22.13	X	18425583	18653629	HGNC:11411	CDKL5
ENSG00000236187	p22.13	X	18535079	18536120	HGNC:32542	GJA6P
ENSG00000102104	p22.13	X	18639688	18672108	HGNC:10457	RS1
ENSG00000086717	p22.13	X	18675909	18827921	HGNC:9243	PPEF1
ENSG00000237221	p22.13	X	18688643	18691604	HGNC:40463	PPEF1-AS1
ENSG00000196564	p22.13	X	18838709	18839452		
ENSG00000224224	p22.13	X	18865771	18866554	HGNC:43761	HAUS1P2
ENSG00000237836	p22.13	X	18890296	18894974	HGNC:44110	PHKA2-AS1
ENSG00000044446	p22.13	X	18892298	18984114	HGNC:8926	PHKA2
ENSG00000266710	p22.13	X	18915243	18915535	HGNC:46064	RN7SL48P
ENSG00000286724	p22.13	X	18984291	19060329		
ENSG00000173698	p22.13	X	18989307	19122637	HGNC:4516	ADGRG2
ENSG00000131828	p22.12	X	19343893	19361718	HGNC:8806	PDHA1
ENSG00000180815	p22.12	X	19360056	19515261	HGNC:31689	MAP3K15
ENSG00000202144	p22.12	X	19376774	19376875		
ENSG00000275800	p22.12	X	19496378	19497721	HGNC:51466	EIF5P2
ENSG00000147010	p22.12	X	19533977	19887600	HGNC:13867	SH3KBP1
ENSG00000173681	p22.12	X	19912860	19970298	HGNC:27413	BCLAF3
ENSG00000206663	p22.12	X	19985058	19985159		
ENSG00000184368	p22.12	X	20006713	20116907	HGNC:25899	MAP7D2
ENSG00000264566	p22.12	X	20017088	20017187	HGNC:38913	MIR23C
ENSG00000173674	p22.12	X	20124525	20141838	HGNC:3250	EIF1AX
ENSG00000201882	p22.12	X	20136066	20136135		
ENSG00000201592	p22.12	X	20136306	20136385		
ENSG00000225037	p22.12	X	20139968	20140444	HGNC:40208	EIF1AX-AS1
ENSG00000177189	p22.12	X	20149911	20267519	HGNC:10432	RPS6KA3
ENSG00000283631	p22.12	X	20311838	20317783		
ENSG00000283400	p22.12	X	20443326	20492349		
ENSG00000252978	p22.12	X	20452108	20452431	HGNC:45907	RN7SKP183
ENSG00000283380	p22.12	X	20769718	21374265		
ENSG00000283546	p22.12	X	21131496	21163726		
ENSG00000206716	p22.12	X	21214637	21214743	HGNC:47096	RNU6-133P
ENSG00000149970	p22.12	X	21372801	21654695	HGNC:19701	CNKSR2
ENSG00000231913	p22.12	X	21421822	21422294	HGNC:48702	RARRES2P3
ENSG00000185915	p22.12	X	21654690	21658330	HGNC:26634	KLHL34
ENSG00000091482	p22.12	X	21705978	21758116	HGNC:11122	SMPX
ENSG00000012174	p22.12	X	21839617	21885423	HGNC:15455	MBTPS2
ENSG00000275681	p22.12	X	21841794	21841961		
ENSG00000230797	p22.12	X	21855987	21858740	HGNC:31684	YY2
ENSG00000206639	p22.12	X	21872707	21872808		
ENSG00000271286	p22.11	X	21939461	21940160		
ENSG00000102172	p22.11	X	21940709	21994837	HGNC:11123	SMS
ENSG00000102174	p22.11	X	22032325	22251310	HGNC:8918	PHEX
ENSG00000224204	p22.11	X	22162733	22172983	HGNC:40445	PHEX-AS1
ENSG00000233067	p22.11	X	22191895	22235358	HGNC:37703	PTCHD1-AS
ENSG00000288546	p22.11	X	22259797	23293146		
ENSG00000175809	p22.11	X	22272913	22274461	HGNC:26371	CBLL2
ENSG00000231846	p22.11	X	22428132	22494713		
ENSG00000224396	p22.11	X	22435598	22436818	HGNC:39558	METTL15P3
ENSG00000201095	p22.11	X	22527835	22527941	HGNC:47229	RNU6-266P
ENSG00000231011	p22.11	X	22616744	22617143		
ENSG00000237019	p22.11	X	22698457	22768966		
ENSG00000184735	p22.11	X	22999960	23003589	HGNC:20083	DDX53
ENSG00000174028	p22.11	X	23075758	23076767	HGNC:34501	FAM3C2
ENSG00000228610	p22.11	X	23198339	23198690	HGNC:50340	PDCL2P1
ENSG00000165186	p22.11	X	23334849	23404374	HGNC:26392	PTCHD1
ENSG00000226774	p22.11	X	23351013	23351450		
ENSG00000123131	p22.11	X	23664262	23686397	HGNC:17169	PRDX4
ENSG00000123130	p22.11	X	23701055	23766475	HGNC:17152	ACOT9
ENSG00000233785	p22.11	X	23772992	23782956		
ENSG00000202272	p22.11	X	23782210	23782310		
ENSG00000130066	p22.11	X	23783173	23786226	HGNC:10540	SAT1
ENSG00000184831	p22.11	X	23833353	23907938	HGNC:28727	APOO
ENSG00000238103	p22.11	X	23836742	23837321	HGNC:30335	RPL9P7
ENSG00000165182	p22.11	X	23908006	23939509	HGNC:26356	CXorf58
ENSG00000174010	p22.11	X	23983720	24027186	HGNC:29347	KLHL15
ENSG00000130741	p22.11	X	24054946	24078810	HGNC:3267	EIF2S3
ENSG00000201407	p22.11	X	24133186	24133317		
ENSG00000234230	p22.11	X	24146225	24149654	HGNC:40617	ZFX-AS1
ENSG00000005889	p22.11	X	24149173	24216255	HGNC:12869	ZFX
ENSG00000223611	p22.11	X	24310907	24313315	HGNC:31797	SUPT20HL2
ENSG00000223731	p22.11	X	24362761	24365378	HGNC:30773	SUPT20HL1
ENSG00000225071	p22.11	X	24429573	24429920		
ENSG00000067992	p22.11	X	24465270	24550466	HGNC:8811	PDK3
ENSG00000214124	p22.11	X	24513450	24513687	HGNC:43574	SNRPEP9
ENSG00000102230	p22.11	X	24558087	24672677	HGNC:8755	PCYT1B
ENSG00000226222	p22.11	X	24632257	24632601	HGNC:54444	H2BP7
ENSG00000236836	p22.11	X	24650073	24658237	HGNC:40431	PCYT1B-AS1
ENSG00000236487	p22.11	X	24681909	24682634		
ENSG00000101868	p22.11	X	24693909	24996986	HGNC:9173	POLA1
ENSG00000251869	p22.11	X	24744441	24744570	HGNC:32581	SCARNA23
ENSG00000232472	p22.11	X	24788392	24789069	HGNC:3210	EEF1B2P3
ENSG00000004848	p21.3	X	25003694	25016420	HGNC:18060	ARX
ENSG00000214111	p21.3	X	25029545	25030235		
ENSG00000240439	p21.3	X	25060649	25060939	HGNC:46107	RN7SL91P
ENSG00000176812	p21.3	X	25194381	25195207		
ENSG00000229310	p21.3	X	25591353	25591808	HGNC:39769	RPP40P1
ENSG00000228519	p21.3	X	25645722	25646327		
ENSG00000233403	p21.3	X	25878339	25893544		
ENSG00000176774	p21.3	X	26138343	26140736	HGNC:28515	MAGEB18
ENSG00000232446	p21.3	X	26147774	26148281		
ENSG00000232030	p21.3	X	26160601	26161824	HGNC:28824	MAGEB6B
ENSG00000227511	p21.3	X	26170052	26170913		
ENSG00000176746	p21.3	X	26192440	26195646	HGNC:23796	MAGEB6
ENSG00000232644	p21.3	X	26200042	26200647		
ENSG00000188408	p21.3	X	26216169	26218270	HGNC:23795	MAGEB5
ENSG00000237171	p21.3	X	26223903	26224658		
ENSG00000228464	p21.3	X	26345236	26346242		
ENSG00000231388	p21.3	X	26496936	26505603		
ENSG00000259849	p21.3	X	26557675	26881029	HGNC:30900	VENTXP1
ENSG00000236160	p21.3	X	26657291	26657507		
ENSG00000216938	p21.3	X	26686026	26687955	HGNC:49214	RPL7P58
ENSG00000236683	p21.3	X	26748029	26749090	HGNC:13321	HMGA1P1
ENSG00000252491	p21.3	X	26790142	26790286	HGNC:48484	RNU1-142P
ENSG00000242021	p21.3	X	27042907	27176298		
ENSG00000228933	p21.3	X	27174920	27399006		
ENSG00000233807	p21.3	X	27218131	27218678		
ENSG00000252486	p21.3	X	27252119	27252235		
ENSG00000235642	p21.3	X	27427777	27428231	HGNC:41932	PTP4A1P5
ENSG00000224960	p21.3	X	27460207	27463341	HGNC:33146	PPP4R3C
ENSG00000223391	p21.3	X	27517771	27517881		
ENSG00000238247	p21.3	X	27517884	27519759		
ENSG00000189186	p21.3	X	27590382	27748821	HGNC:31811	DCAF8L2
ENSG00000177689	p21.3	X	27807990	27823014	HGNC:25377	MAGEB10
ENSG00000229731	p21.3	X	27811885	27812902		
ENSG00000226199	p21.3	X	27832175	27833204		
ENSG00000232834	p21.3	X	27847588	27847939		
ENSG00000228345	p21.3	X	27854323	27855353		
ENSG00000233243	p21.3	X	27863893	27864349		
ENSG00000224589	p21.3	X	27893348	27894059		
ENSG00000226372	p21.3	X	27977992	27981449	HGNC:31810	DCAF8L1
ENSG00000277569	p21.3	X	28495555	28495663	HGNC:49951	MIR6134
ENSG00000223742	p21.3	X	28571532	28586395		
ENSG00000169306	p21.3	X	28587446	29956718	HGNC:5996	IL1RAPL1
ENSG00000226436	p21.3	X	28659065	28659469	HGNC:54472	H3P43
ENSG00000201666	p21.3	X	28924069	28924138		
ENSG00000237994	p21.3	X	28942050	28942568		
ENSG00000201356	p21.3	X	28982852	28982970	HGNC:43400	RNA5SP500
ENSG00000227393	p21.2	X	29369001	29369845		
ENSG00000264090	p21.2	X	29574278	29574358	HGNC:43486	MIR4666B
ENSG00000227592	p21.2	X	30017160	30017881	HGNC:45151	PIGFP3
ENSG00000270794	p21.2	X	30209423	30210209		
ENSG00000099399	p21.2	X	30215563	30220089	HGNC:6809	MAGEB2
ENSG00000198798	p21.2	X	30230436	30237492	HGNC:6810	MAGEB3
ENSG00000120289	p21.2	X	30242000	30244187	HGNC:6811	MAGEB4
ENSG00000214107	p21.2	X	30243730	30252040	HGNC:6808	MAGEB1
ENSG00000276940	p21.2	X	30290047	30290351	HGNC:51906	PLCE1P1
ENSG00000169297	p21.2	X	30304206	30309390	HGNC:7960	NR0B1
ENSG00000120280	p21.2	X	30558809	30577766	HGNC:25667	CXorf21
ENSG00000178556	p21.2	X	30617454	30617693	HGNC:24608	CKS1BP6
ENSG00000232368	p21.2	X	30630298	30630825	HGNC:4001	FTLP2
ENSG00000198814	p21.2	X	30653359	30731456	HGNC:4289	GK
ENSG00000229331	p21.2	X	30671635	30672166	HGNC:41339	GK-IT1
ENSG00000241886	p21.2	X	30698207	30721932		
ENSG00000243055	p21.2	X	30699998	30724174	HGNC:40255	GK-AS1
ENSG00000277876	p21.2	X	30821815	30823407		
ENSG00000157625	p21.2	X	30827442	30975084	HGNC:30681	TAB3
ENSG00000231542	p21.2	X	30834623	30835300	HGNC:20176	TAB3-AS1
ENSG00000235512	p21.2	X	30854321	30854707	HGNC:40013	TAB3-AS2
ENSG00000132446	p21.2	X	31071233	31072041	HGNC:3987	FTHL17
ENSG00000198947	p21.1	X	31097677	33339441	HGNC:2928	DMD
ENSG00000252903	p21.2	X	31348192	31348296	HGNC:47857	RNU6-894P
ENSG00000285900	p21.2	X	31411033	31413701		
ENSG00000222922	p21.1	X	32102065	32102176	HGNC:43401	RNA5SP501
ENSG00000236285	p21.1	X	32205902	32206738	HGNC:7928	NPM1P8
ENSG00000263600	p21.1	X	32583656	32583752	HGNC:38955	MIR3915
ENSG00000221348	p21.1	X	32641474	32641559	HGNC:35309	MIR548F5
ENSG00000236828	p21.1	X	32754940	32756400	HGNC:40185	DMD-AS3
ENSG00000226781	p21.1	X	33041395	33041721	HGNC:42630	TBCAP1
ENSG00000215310	p21.1	X	33410944	33412173		
ENSG00000287700	p21.1	X	33718958	33726013		
ENSG00000233928	p21.1	X	33726337	34346527		
ENSG00000185448	p21.1	X	34129756	34132314	HGNC:29962	FAM47A
ENSG00000185638	p21.1	X	34147036	34147586	HGNC:39090	FTH1P14
ENSG00000233571	p21.1	X	34206725	34415537		
ENSG00000236072	p21.1	X	34387722	34388464		
ENSG00000271136	p21.1	X	34516920	34517358		
ENSG00000147027	p21.1	X	34627075	34657285	HGNC:18515	TMEM47
ENSG00000225384	p21.1	X	34717440	34717992		
ENSG00000273704	p21.1	X	34768327	34768688		
ENSG00000189132	p21.1	X	34942796	34944915	HGNC:26659	FAM47B
ENSG00000229347	p21.1	X	35058927	35059974		
ENSG00000252411	p21.1	X	35594173	35594273	HGNC:48050	RNU6-1087P
ENSG00000230227	p21.1	X	35626142	35627064	HGNC:30966	SIAH1P1
ENSG00000233663	p21.1	X	35710911	35711942		
ENSG00000271088	p21.1	X	35741600	35744582		
ENSG00000233880	p21.1	X	35761499	35762479		
ENSG00000189023	p21.1	X	35798342	35803735	HGNC:21188	MAGEB16
ENSG00000271519	p21.1	X	35864858	35869631		
ENSG00000165164	p21.1	X	35919734	36385317	HGNC:26708	CFAP47
ENSG00000206733	p21.1	X	36021939	36022045	HGNC:47604	RNU6-641P
ENSG00000229384	p21.1	X	36211096	36211635	HGNC:39098	HMGB1P16
ENSG00000226484	p21.1	X	36365626	36440292		
